,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.100268247220645,0,0.393658956830464,0.128433083287138,0.00398933963983979,0,0,0,0,0,0,0,0,0,0,0.0889727567410956,0,0,0,-0.0841891469143656,0,0,0,0,0,-0.0502238850029825,0.0139028622279813,0.0184362017838218,0,0.0757166582088675,0,0,0.00572027929746096,0,0,0,0,0,0,0,0,0.0795674882685806,0,0,0,0,0.1842667463849,0.313327325684949,0.112439890347926,0
X601318.CH.EQUITY,0,0,0.0377180100034288,0.137348228026382,0,0,0,0,0.12697608215391,0,0,0.0546674387147112,0.0386426775413207,0,0,0.0249443966969375,1.73472347597681e-18,0.130870388423684,0,0.185616695456589,0,0,0.121956538414718,0,0,0,0,0,0.0203547940227123,0,0.0745134138678035,0,0,0,0,0,0.0060131860761826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113141766967492
X601939.CH.EQUITY,0,0,0,0,0.211593540774453,0,0,0,0,0,-0.0361974137939726,0.148674504034772,0,0.0506238228623012,0,0,0,0,0.124470360617049,0,0.00830320634945864,0,-0.141950291961981,-0.0200844557727524,0.482378934444584,0,0.140460432901508,0,0.0277294376857253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.0427489645165863,0
X600036.CH.EQUITY,0,0.194009043742133,0,0,0,0,0.137157887815871,0.0921935422666757,0,0,0,0,0.192130666744351,0.0969470370194535,0,0,0,0,0,0,0,0,0,0,0,0.259590872052428,0,0,0,0.0608054780344217,0,0,0,0,0,0,0,0,0,0.0295138267134189,0.00512732000052659,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.122876398987536,0,0.0866476409057988,0,0,0.14424045444285,0,0.298596801584091,0,0,-3.46944695195361e-18,0.0637532671162699,0,0,0,0,0.00384281019214702,0,0,0,0,0,0,0,0,0,0,0.137589139000363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733013089093263,0,0,0,0,0.0964169299732748,0,0,0,-0.0718746087332535,-0.065619611258502
X601628.CH.EQUITY,0,0,0,-0.0280663692376266,0.0331579108253115,0,0,0,0,0,0.0763712776329507,0,0,-0.091184026354367,0,0,0,0,0.0448139004790769,0,-0.03119529941013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697211337984307,0,0,0,0,0,0,0.115537591447748,0,0,0,0,0.186731234806083,0,0,0,0,0.211802377286803
X1299.HK.EQUITY,0,0,-0.0792158951594909,0,0,0,0,-0.0453488797290465,0,0,0.140587906928419,0,0,0,0,0,0,0,0,0,0,0,0.050012010598716,0.108490575054282,0,0,0,-0.243817415120033,0,0,0,0.0189983860205224,0,0,0,0,0,0,0,0.265602940856621,0,0.236707709490097,0.116456485566286,0.225241105913487,0.0273062975514747,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0854912387014739,0,0,0.452589782514104,0.134620530341129,0,0,0,0,0,0,0,0,0,0,0,0,0.146199464451919,0,0,0,0,0,0.144092522551109,0.146938849213687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0321574014079676,0,0,0.0103137828074427,0.0188874650735311,0,0,0,0,0,0,0,0.207639316512597,0,0.0996190810161062,0,0.128283549788031,0,0,0,0,0.0296106133577309,0,0,0,0,0,0,0,0.0128287892459624,0,0.243969026444483,0,-0.0669407385035847,0,0,0.191384462141337,0,0,0,0,0.0830351469273011,0,0,0
X601166.CH.EQUITY,0,0,0.0502881228229859,0.0572492339367272,0,0.0276185297618418,0,0,0,0,0,0.0193905785562231,0.106100022613825,0.0682136420197373,0,0,0,0,0,0,0,0,0,0,0,0.163805525643622,0,0.368978178006099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.00490700074370913,0,0,0,0
