,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.246301021443436,0,0.0184220642451216,0,0,0,0,0,-3.46944695195361e-18,0.269952631988956,0,0,0,0,0,0,0,0,0,0,0,0,0.136466293827719,0,0.0263143953520899,0,0.0962198188473917,0,0.189526141967867,0,0,0,0,0,0,0,0,0,0,-0.0684165150394161,0.0267917561996846,0,0,0,0,0,0,0,-0.105773368849812,-0.23242636258884,0.00376405364507366
X601939.CH.EQUITY,0.143392454933912,0,0,0.297089643616034,0,0,0,0,0,0,0,0,0,0.324411279650764,-0.0857892785741572,0,0,0,0,0,0,0,0,0,-0.042932902344664,0.222868826806872,0,0,0,2.77555756156289e-17,-0.0402356648790788,0,0,0,0,0,-0.0447324405800129,0,0,0,-0.0240492170393482,0,0,0,-0.0780247191934406,0,0,0,0.130432358641789,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0937479241439913,0,0,0,0,0,0,0.0897709171609193,0,0,0,0,0.0624435777577071,0.171418838466083,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0360801555918003,0,0.00701027896606203,0,0,0,0,0,0.023740187800215,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.311895181709432,1.38777878078145e-17,0,0.224360794137653,0,0,0,0,0,0,0,0.192381062425429,0,0,0,0,0,0,0.17497267547867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198409309140846,0,0,0,-0.0252792263795666,0,-0.0451729493179219,0,0,0,0,0.00521351050132433,0,-0.0265835972193023,0,0,0.022635201198247,0
X601988.CH.EQUITY,0,0,0,0.339007925602247,0,0,0,0,0,0.355634604553929,0,0,0,0,0.0462931721723176,0.146664611577531,0,0.0928904384395621,0.0728201724351268,0,0,0,0,0,0,0,0.064533584652815,0,0,0,0,0,0,0,0,0,-0.480557268130115,0,0,0,0.034303537433169,0,0,0,0,0,0,0,0,0,0,0.337984657670722
X600036.CH.EQUITY,0,0.179039658204991,0.0164238739778685,0,0,0,0,0,0.0987380015135057,0,0,-0.0295744016196383,0.124293684363446,0,0,0,0,0.169811047456154,0,0,-0.0217300671588039,0,0,0.131514390763349,0.0295949454678496,0,0,0,0,0,0,0,0.36792248521203,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0310588314564235,0,0,0,0.0615519920428948,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0861041356785226,0,0,0.17546927511311,0,0,0.288849020533544,-6.93889390390723e-18,0,0,0,0.136687936317464,0,0,0,0,0,0,0.0900519931044683,0,0,0,0,0,0,0,0,0,0,0.150651824450928,0,0.0357588749431161,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436568235154326,0,0,-0.0376182563735745,0,0,0,-0.381251570994846,0.61046600717537,0,0,0.0433560676658578,0,0.690244920457752,0,0.0174761920481758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148249777579552,0,0,0.28614409343333,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.117543768836476,0,0,0,0,0,-0.105500070318583,0,0,0,0,0.078761548763625,0,0,0,0,0.346691235646796,0,0.119982153689663,0,0,0,0,0,0,0,0,0.0126382717152825,0,0,0,0,0,0,0,0,0.0603588916130416,0,0,0,0,0,0.27383004309036,0,0,-0.0253880278981407,0.0134523098277732
X601658.CH.Equity,0,0,0,0,0.118492773675586,0,0,0,0,0,0,-0.106914137359211,0,0.114732424558407,0,0,0,0.0968003278888423,0.227102020242308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157175198026604,0.323860136643122,0,-0.147232860041286,-0.135905163202141,0,0,0,0,0.104319326483097,-4.33680868994202e-19,0,0,0,0,0
