,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,-6.93889390390723e-18,0.126294367139305,0,0,0,0,0,-0.0745049058724422,0,0,0,0,0,0,0,0,0,0,-0.0590819083025553,0,0.00410892337577504,0.233576342694701,0.50370319500671,-0.110240818196524,0,0,0,0.205970441303111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510903880530726
X601318.CH.EQUITY,0,0,0,0.00470266419637649,0,0,0,0,0,-0.0260640557376407,0,0,0.0271502875807491,0,0.0555482392654132,0,0.0160529333055313,0,0.498080314907203,0.0193270911039083,0,0,0,0,0,0,0,0,0.118181992972968,0,0,0,0,0,0,0.0652381735292902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.107529775886514,0,0.755440871672161,0,0,0,0,0,0.0246948234704317,0.0874594617729602,0,0,0,0.027037051160657,0,0.018148541737051,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0580000835624504,0,0.00743595517454002,0,0,0,0,0,0,0.0159183072271546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.909005203952653,0,0,0,0,0,0,0,0,0,0.00555315639644242,0,0,0,0,0,0,0.0173517447880377,0.0804848546883016,0,0,0,0,0,0,0,0,0.0355508724892588,0,0,0,0,0,0,0,0,0,0,-0.142398918849846,0,0,0,0,0.0486540024112634,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.027559209746788,0.301708131479555,0,0.268563944959841,0,0,0,0,0,0,0.437181291532872,0,0,0,0,0,0,0,0,-0.0751052243301664,0,0,0,0,0,0,0,0,0.0358070540077014,0,0,0,0,0,0,0,0,0.129207109486633,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.333933809883509,0,0,0,0,0.0775057553631868,0,0,0,0,0,0.0209518389591173,0,0.0309647336049982,0.13808325466661,0,0,0,0,0,0,0,0,0,0,0.1167601122776,0.159357256764483,0.0399704806426824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345814331546578,0,0,0.0551784862757992,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.00353107969086941,0.232272986891186,0,0,0,0,0,0.00224914975076595,0,0,0,0,0,0,0.305530756237357,0,0,0,0.0787467680398949,0,0,0.020057920601894,0,0,0,0.18538631758964,0,0,0,0,0.0214706509268021,0,0,0.0601922451063869,0,0,0,-0.0516682665285317,0,0,0,0.171800981402449,-0.0919717221497249,0
X601988.CH.EQUITY,0,0,0,0.0644096312991678,0,0.00940649196782246,0,0,-0.0552916889444358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728439971195398,0,0,0,0,0,0,-0.0241066120554179,0,0,0,0,0,0,0,0,0,0,0.000213722234397275,-0.134338590093117,0,0.999515630133397,0,0,0.000799926304724349
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148548038629952,0,0.0281811173906759,0,0,0,0.156030906099809,0,0.341678769960524,0,0,0,0,0,0,0,0,0,0,0,0.0041803010892861,-0.0275936371964813,0,0,0,0.212233119571139,0.112305044368361,0,0,0.0572211371494759,0,-0.327019989743918,0,0
X388.HK.EQUITY,0,0,0,0,0.222947320753394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127154863901215,0,0.256018964826255,0,0,0.115480423997048,-0.0087921849676373,0,0,0,0,0,0,0.1113334156915,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177408419626573,0,0,0,0.281801088357705
