,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0870540384218392,0,0,0.370280236973346,0,0,0,0,0,0.190584184631178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118946084573838,0,0,-0.154825560219955,0.0571893973068773,0,0,0,0,0.137792256782707,0,0.0532989767623634,0,0,0,0,-0.135890648832636,0,0,0,0.0270309792194463,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.129320817020535,0,0,0,0.0186073743593833,0,0,0.21685096638771,0.0154736852764335,0.0279827532173224,0,0,0,0,0,0,0,0.054548133898328,0,0,0,0,0.0443906727568889,0,0,0,0,0,0,0.00534242651825204,0,0,0,0.516256815470639,-0.0679511293773644,0,0,0,0,0.0864810430620096,0,0,0,0,0
X601939.CH.EQUITY,0.236195898852658,0,0,0,0,0,0,1.73472347597681e-18,0.0399450278848143,0.020000025204319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386684058501764,0,0,0,0,0,0,0.0956265584436506,0,0.0134706411191811,-0.0491831114458725,0,0,0.0215137160380836,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.232839293683934,0,0,0,0,0.00875442548079582,0,0.0903012262288948,0,0,0,0,0,0,0,0.121755495588886,0,0,0,0,0.160677095941198,0,0,0,0,0,0,-0.0857778227035436,0,0,0.0225263992527612,0,0.043004003425387,0,0.214403244054636,0,0.118758354270146,0,0,0,0,0,0.0596988879002469,0,0,0
X5.HK.EQUITY,0,-0.243937101482393,0,0.0417973096944902,0,0,0,0.124543783862293,0,0.104430331110787,0,0,0,0,0,0.285399758247041,0,0.211596622092704,0,0.260975783894532,0,0,0,-0.246400808369977,0.380982083222155,0,-0.0186710661718849,0,-0.204684643041729,0,0,0,-0.0543485808102706,0,0,0,0,0,0,0,0,0,0.163592541552643,0.222737801464482,0,-0.0245694062043378,0,-0.191000517273751,0,-0.0823331380192056,0
X601988.CH.EQUITY,0.190861110832363,0,0,0.409484571921971,0,0,0,0,0,0.108333463350736,0,0,0.148297591418035,0,0,0,0,0,0.0271166388524685,0,0,0,0,0,0,0,0,0.00884183215088259,0.0219208763504546,0,0,0,0,0,0,0.123904325274819,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.131447468327253
X600036.CH.EQUITY,0,0.729984640680262,0.0478014845017236,0,0,0,0,0,-0.216520722369201,0,0,0,-0.151663290412355,0,0,0,0,0,0.161708938274572,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.142816292460942,0,0,0,0.191488989803872,0,0,0.020043126535186,0,-0.0443457431984197,0,0.150840504768907
X1299.HK.EQUITY,0,0,0.00737699117857035,0,0,0,0,0,0,-0.0983142254612567,0,0,0,-0.130464068505359,0,0,0,0.24377443770583,0.0563089096209597,0,0.249851105427506,0,0,0.326560094507592,0,0,0.0850335333818732,0,0,0,0,0,0,0,0,0.0361234120005282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15796001167884
X601628.CH.EQUITY,0,0.160773724979377,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0032992800837424,0,0.273234028936214,0,0,0,0,0,0.00731734182126226,0,0,0.163856377812441,0,0,0,0,-0.0515694938484337,0,0,0,0,0,0,0,0,0.14036004889448,0,0.0983222509717227,0,0,0,0,0,0,0,0,0.109693514415673,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.284136840146012,0.250747898566726,0,-6.93889390390723e-18,0,0,0,0,0,0.400890855576924,0,0,0,0,0,0,0,0,0,-0.0628310470060708,0,0,0.00705286706764253,0,0,0.377895407245652,0,-0.0737467279930546,0,0,0.325257180216253,0,0,0,0,0,0,-0.117964181582993,-0.192798878696986,0,0,0,-0.0352523551576968,0,0,0
