,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.111460159132269,0.560722144186502,0,0,0,0.0852283199727291,0,0,0.00790727456363619,0,0,0,0.182147376607681,-0.024571324203978,0,0,0.0765302756658902,0,0,0,0,0,0,0,0,0,0,0,0,0.0216762309035674,0,0,0,0,0,0,-0.0322353354768881,0,0,0,0,0.00224886530534214,0,0,0,0,0,0,0,0.072320581154389
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.118595688431618,0.285375142696463,0,0,0,0,0,0,0,0,0.318931752408653,0.0877436005755612,0,0.0724889377401805,0,0,0,0.0644418633627648,0,0,0,0,-0.0278552354067585,0,0,0,0,0,0,0,0.0060648377821177,0,0.0442249019531052,0,0,0,0,0,0,0,0,0.0198757510251702,0,0.00935183404137666
X601939.CH.EQUITY,0.172973615666975,0,0,0.525459153583321,0.098377512277058,0.0857356896781845,0,0,0,0.0183953076228538,0,0,0,0,0,0,0,-0.0793601289337958,0,0,0,0,0.0421933796106285,0,0,0,0,0.139448204873909,0,-0.0205790565559681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216237872327258,0,0,-0.0121254212152061,0.0745840192645825
X601288.CH.EQUITY,0,0,0.211662817539313,0,0,0,0,0,0.0118923660805281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273507222656542,0,0.195558886069021,0,0,0,0.047427431718602,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0961872025394876,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0565774610441605,0,0,0.207410176605105,0,0.206202767842503,0,0,0,0.212019155781259,-0.0085147420222741,0,0,0,0,0,0.195624136474956,0,-0.244551721890283,0,0,0,0.0459802601086867,0,0,0,-0.0612350382131279,0,0,0,0,0,0.189897300178228,0,0,0,0,0.0806385233517318,0,0,0,0,0,0,0.171380251958502,-0.00758921275873337,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.37634070500357,0,0,0,0.107606742444282,0,0,0,0,0,0,0,0,0,0,-0.0111817131896706,0,0,0,0,0,0.132058456114834,0,0,0,-0.257279893836657,0,0.0350160438484138,0.0692974009663766,0,0,0,0,0,0,0,0,0.0707239528024711,0,0,0,0,0,0,0,-0.14758273562762,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173441761490838,-0.0944271494926859,0,0.103978610831141,0,-0.0345347102874494,0,0,0.0345110866517067,0,0,0,0.471920542484518,0.0314491256195467,0.0414475318824117,0,0,0.082629491745404,0.111312632656413,-0.0371513007914456,0,0,0,0.089538231346804,0,0,0,0,0,0.266153024932905,0,0,0,0.111877552455401,0,0,0,0.0752414651009021
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303375545998493,0,0,0,0,0,0,0,0.0734537744781541,0,0.0629067934869312,0,0.118943824899592,0,0.0375229728480158,0,0,0,0.230299734688509,0,0,0,0,0,0,0,0,0,-0.0765582819758675,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.148196328749516,0,0.0503291891338484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104568418062669,0,0,0,0,0,0,0,0.147771912512448,0,0,0,0,0,0,0,0,0,0.0208902375500339,0.366355429529002,0,0,0,0.11893417312535,0,0.0565680880368718,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.391229273092117,0,0,0,1.35525271560688e-20,0,0,0,0,0.401755140233713,0,0,0,0,0,0,0,0,0.00895656361829275,0.0570227454094268,0.0850698421033043,0,0,0,0,0,0,0,-0.0116682757067332,0,0,0.0256154039205192,0,0,0,0,0,0.103890901712017,0,-0.0139435356742323,0.222564378394525,0,0,0,0.0693058420863287,0,0,0,0
