,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.300117631236515,0,0.397752788349446,0,0,0,0,-1.73472347597681e-18,0,0.0897868425177569,0,0,0,0,0,0,0,0,0,0.045968279787773,0,-0.0538144379034242,0,0,0,0,0,0,0,0.0258371376388112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209433005044477,0.0550924461724027,0,0.105772980315732,0,0
X601939.CH.EQUITY,0.373535507716387,0,0,0.243195381825421,0,0,-0.0878078658814291,0,0,0,0.0244858711399696,0,0.173831403532937,-0.0644244540708976,0,0,0,0,0,0,0,0,0,0,0,0.00303738932868746,0,0,0,0,0,0,0,0,0,0,0,-0.0127281436302304,0,0,0,0,0,0,0,0,0.213092735008855,0,0,0,-0.023915122512144,0,0
X601318.CH.EQUITY,0.0238766222102825,0,0,0,0,0,0,0,0,0,0.257268719686473,0,0,0,0,0,0,0,0,0,0.178937085270962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192879330794717,0,0,0,0,0,0,0,0.0601294247612293,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.313358533845149,0.138193505402041,0,0,0.131881708011902,0,0,0,0,0,0,0,0.0122473214939461,0,0,0,0,0,0,0,0.160688880748526,0,0,0,0,0,0,0,0,0,0,0,0.0367923399917681,0,0.0172415162138632,0,0,0,0,0,0.100079560906376,0,0.0734685250213379,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0738824592929632,0,0.438359171504902,0,0,0,0,0,0.271059056618011,0,0,0,0,0.100096816992759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147025143613127,0,0,0,0,0,0,0,0,0,0,0,0.0177227517347786,0
X600036.CH.EQUITY,0,0,0.0350771605655424,0,0,0,0,0,0,0,0,0.371415305698398,0,0,0,0,0,0,0,0,0,0,0.0355281764039263,0.124142617726221,0.0245496253593315,0,0,0,0,0,0,0,0.0130979410662018,0.0876378042043958,0,0,0,0,0,0.0546181736472303,0,0,0,0,0,0,0,0,0.279390810034743,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0849346501900416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554133260619825,0.245365182154192,0,0,0.130143780534978,0,0,0,0.134493711783765,0,0,0,0,0,0,0,0,0,0,0,0.146786978283314,0.0446220485799819,0,0,0,0
X5.HK.EQUITY,0,-0.151898187854072,0,-0.144945405621891,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,1.2052013296248,0,-0.759018769250474,0,0.478248182821231,-0.039730140676307,0,0,0,0,0,0,0,0,0,0,0,0,0.447620056578811,0,0,0,0,0,0,0,0,0,0.106171713837373,0,0
X601628.CH.EQUITY,0,0.0315182337845361,0,0,0,0,0,0,0,0,0,0.182490733773818,0,0,0,0,0,0.128957463382434,0,0,0,0,0,0,0,0,0,0,0.172863440258386,0,0,0,0.0680766799188749,0,0,0,0,0,0,0,0,0,0.192569564619112,0,0,0,0.038526258490441,0,0,0,0.0660094994921408,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894406115127639,0.274956673986008,0.071008380065407,0,0,0.332367646947113,6.93889390390723e-18,0,0,0,0,0,0,0.0803890477160091,0,0,0,0,0.132876707802849,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.199209347927501,0,0,0.176719822226326,0,0,0,0,0,0,0,0,0.148988858720277,0,0,0,0,0,0,0.128986740608386,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0193824230601666,0,0,0,0,0,0,0.0688140973353184,0,0.171957481757915,0,0,0,0.124793729559051,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0282687249939826,0.0612124304428454,0,0,0,0.284848209184288,0,0,0,0,0.0764582305105422,0,0,0,0.0182513783641444,0,0,0.0899465199941058,0,0.0563637264559755,0,0,0,0,0,0,0,0,0,0,0.163561879227377,0,0,0,0.0283401614096371,0,0,0.00188165635197925,0,0,0,0,0,0,0.0552130862367499,0,0.118482069105035,8.67361737988404e-19,0.0335548234521698,0,0,0,0
X600000.CH.EQUITY,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.270655523060828,0,0,0,0,0,0,0,0,0.200547064081886,0,0,0,0,0,0.231992061306624,0,0,0,0,0,0,0.00686901007465866,0,0,0,0,0,0,0,0,0,0.13482048109935,0,0,0.12256440679518,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.0324060905537096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00544881584166318,0,0,0,0,0,0,0,0,0,0.103372960325364,0,0.420826781871596,0,0,0,0,0,0.24186915485575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,-0.0548789523606049,0,0,0,0,0,0,0,0,0,0,0.0533889569850462,0,0,0,0,0,0.119237958696531,0,0,0,0,0,0,0.0544107130977811,0,0,0,0.276092356307578,0,0,0,0,0.0158342168950634,-0.00474055208865181,0,0,0.182675269795536,0,0.34327990610189,0,0,0,0.0176353495787159,0.0312176248201938,0,0
X388.HK.EQUITY,0,0,0.286235667368924,0,0,0.0120706106335604,0.318175055373207,0,0,0,0,0,0,0,0,0,0,0,0.0190886597367766,0,0,0,0,0.0382975866580779,0,0,0,0.0289899153128697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0.0297517953532117,0,0,0,0,0,0,0,0,0,0,0.405837287624251,0,0,0,0.240654816598054,0,0,0,0,0,0,0.000624552014518862,0,0.0683555359012244,0,0,6.93889390390723e-18,0,-0.122287361319972,0,0.16354066818462,0,0.176011557937326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0.0110202857794607,0,0.35319257780087,0,0,0,0,0,0,0,0,0,0.155103586382549,0.125959673450314,0,0,0,0,0,0,0,0,0,0.0760320831255399,0,0.151682450111524,0,0,0,0,0,0.0264776953093355,0,0,0,0,0,0,0,0,0.0855133724651302,0,0,0,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0.319209370034565,0,0.0319357064485188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497243568903149,0,0,0,0,0,0,0,0,0.0444880514758273,0,0,0,0,0,0,0,0,0,0,0,0.0665606009068364,0.0644010471442326,0,0.0526349149195009,0,0
