,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.234327416946546,0,0.129605442814542,0,0,0,0,0.25209940667015,0.0622380326830695,0,0.136721989336442,0,0,0,0,0,0,0.0956978551362501,0,0,0,-0.0786136878655317,0,0,0,0,0,0,0,0,0,0,0,0,0.073942781876351,0,0,0,0,0,0,0,0,0,0.0187083195934125,0.0250762951299418,0,0,0,0,0,0
X601939.CH.EQUITY,0.360442215999816,0,0,0.288956893632684,0,0,-0.0973371126798461,0,0,0,0.00285443642327454,0,0.139749633861309,-0.0660068939048436,0,0,0,0,0,0,0,0,0,0,0.0319401750307258,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-3.46944695195361e-18,0.200825134229641,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0878397617346353,0,0,0,0,0,0,0,0,0,0.028950217176592,0,0,0,0,0,0,0,0,0,0,0,0,0.363277892341185,0,0,0,0,0,0,0.0864093520202241,0,0,0,0,0,0.188744803242353,0,0,0,0,0,0
X601288.CH.EQUITY,0.406915038547621,0.0988978543188101,0.0745066230365333,0,0.145229189419736,0,0,0,0,0,0,0,0,0,0,0,0,0.00132007830984362,0,0,0.0348557061874616,0,0,0,0,0,0,0,0,0,0.101391097210754,0,0.0472231208327266,0,0,0,0,0,0,0,0.0608930297806885,0,0,0,0,0,0,0.00371572871801646,0,0,0,0,0
X601988.CH.EQUITY,0,0.115536730162708,0,0.360525038611296,0,0,0,0,0,0.255682773689707,0,0,0,0,0,0,0.115399292242252,0,0,0,0,0,0,0,0,0,0,0,0,0.0437416994985761,0,0,0,0,0,0,0,0,0,0,0,0.140585504198863,0,0,0,0,0,0,0,0,0,0.0329586556637107,0
X600036.CH.EQUITY,0,0,0.0198381416240746,0,0,0,0,0,0,0,0,0.410445433966577,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0530872460822947,0.0138610994424168,0,0.127675634783219,0,0,0,0,0,0,0,0,0,0,0.0866190380832979,0,0,0,0,0.0584355151425778,0,0,0,0,0,0,0,0.265551466067633,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.114259755152218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053659429806582,0,0.201204463019539,0,0,0.0542582571618174,0,0,0.194642938590565,0,0,0,0,0,0,0,0,0.00136875152091851,0,0,0,0.190909200478942,0,0,0,0,0
X5.HK.EQUITY,0,-0.148799386580175,0,-0.152770278872742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24939921811915,-0.791985411821714,0,0,-0.0395983118394642,0.468699476056015,0,0,0,0,0,0,0,0,0,0,0,0.429643588127017,0,0,0,0,0,0,0,0,0,0,0.109789324255726,-0.00585714758703205,0
X601628.CH.EQUITY,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.0586832119355194,0,0,0,0,0,0,0.108246351991478,0,0.215074496959136,0,0,0,0.343210099439052,0,0,0,0.0558299157661121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429580632815166,0,0
X601658.CH.Equity,0,0,-0.0372347962476667,0.546002707927328,0.0258226000170316,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.357099373012758,0,0,0,0,0,0,0,0.114438694398166,0,0,0.0782817716111778,0,0,0.88107763507719,0,0,0,0,0,0,0,0,0,0,-0.0921412137735652,0,0,0,0,0,0,0,0,0,-0.112599192184476,0,0,0
