,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.29493342912757,0,0.0288355282693187,0,0,0.431668683128631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107788161917338,0,0.0237437776747916,0,0,0,0,0,0,0,0,0,0,0.0889319908736062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.233347853687324,0,0,0,0,0,0.0714281877434204,0,0,0,0.0495903067305315,0,0,0.221869434507463,0.00498407829524233,0.0421007363187943,0,0,0.095464533505495,0,0,0,0,0,0,0,0,0,0.0812266280985781,0,0,0,0,0,0,0,0,0.0364527893908803,0,0.0829462570485616,0,0,0,0,0.00520422454131863,0,0,0,0,0,-0.0864278886340058
X601939.CH.EQUITY,0.470073256572629,0.148910485158662,0,0,0,0,0,0.256213754967932,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177618101496543,0,0,0,0,0,0,-0.00284890111303919,0,0,0,0.116592364431477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137381134780974,0.195475570692462,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.537801526050639,0,-0.0869367039752259,0,0.0602460293921061,0,0,0,0,0,0,0,0,0,0,0.0609123325516222,0,0.119347312291391,0,0,0,0,0,0.102124415026818,0,0.0575864559190088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397381809163137,0,0,0,0.0138252708290428,0,0
X600036.CH.EQUITY,0,0.118323813632692,0,0,0,0.0800151557436725,0,0.0897136577497802,0,0,0,1.73472347597681e-18,0.105173698762855,0,0.0022206506715191,0,0,0,0,0,0,0,0.0142302695705669,0,0.0930565226087375,0,0,0,0,0,0.0801383105290114,0,0,0,0,0,0,0.0398581157067614,0,0,0,0,0,0,0,0,0,0,0,0.34463368757713,-0.219110781928593,0.00259050504348019,0
X1299.HK.EQUITY,0,0,-0.152804777527654,0,0,0,0,0,0,0.21249592316868,0,0,0,0,0,0,0,0,0,0,0,0,0.0211029467337927,0,0,0,0,0,0,0,0,0,0.224114735102801,0,0,0,0,0.13540164237124,0,0.193762470213823,0,0,0,0.277512411375952,0,0,0,0.133909458629407,0,0,0,0,0
X601628.CH.EQUITY,0.172991597774451,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,-0.0222649705953125,0,-0.296141122824909,0,0,0,0,0,-0.0318308060455866,0.131899053079677,0,0,0,0,-0.0656656023291299,0,0,0,0,0,0,0.147952099557278,0.58100594392192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205811891563632,0,0.0302806254282901,0.143893389911356,0
X601988.CH.EQUITY,0.0802920801216211,0,0.090977026094498,0.343845728333457,0,0,0,0,0,0,0,0,0.232648968136323,0,0,0,0.112759122341022,0,0,0,0,0,0.0169139579826217,0,0.0385015504107899,0,0,0,3.46944695195361e-18,0.131047027406452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20
X5.HK.EQUITY,0,0.249500520855823,0.103332680099983,0,0,0,0,0,0,-0.0346841620512356,0,0,0,0,0,0,0,0,0,0,0,-0.292352168890839,0.127041001815564,0,0,0.150472110494829,0.0373843631610504,0,0,0,0,0,0.0208471362452661,0,0,0,0,0,0,-0.0792337335827439,0.199636469635236,0.0418303206890592,0,0,0,0,0,0,0,-0.0643360131231202,0.129604154228529,-0.119618969458102,0
X388.HK.EQUITY,0,0,0,0,-0.122298437571479,0.215681452420257,0,0,0,0,0,0,0,0,0,-0.0763618625112803,0,0,0,-0.118537365691139,0,0.463695526252078,0.0272245874343065,0,0,0,0,0.0837876629979294,0,0,0,0,-0.0587436196601039,0,0,0,0,0,0.144095447878539,0.0762331430276429,0,0,0,0,0.149817140043229,-0.182477364205031,0,0,-0.0471982994313149,0,0.158138463079787,0,0
