,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.244210902959451,0,0.133782348667385,0,0.0384405095251111,0,0,0.250284551780012,0.0714598751324469,0,0.10749390148945,0,0,0,0,0,0,0.0598108096570023,0,0,-0.0873052432616526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590472795929654,0,0,0,0,0,0,0,0,0,0.0518153087070171,0.0131530611230758,0,0,0,0,0,0
X601939.CH.EQUITY,0.462074219346527,0,0,0.0176401936930514,0.0003884615525239,0,-0.0311088160298942,0,0,0,0.192525845322698,0,0,0.226272316508578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00858602074187621,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.232925704869547,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019979175808148,0,0,0,0,0,0,0.152663598154382,0,0,0.0792287041461669,0,0.173923576305147,0.183717057666238,0,0,0,0,0,0
X601288.CH.EQUITY,0.358190798876942,0.0429125837205626,0,0,0.392882346039983,0,0,-0.0202984145187143,0,0,0.0691197521216928,0,0,0,0.107200018609735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201888157947594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143211177684378
X601988.CH.EQUITY,0,0.052496489199095,0,0.318611758746791,0,0,0,0,0,0,0.181463142953863,0,0.0821975958783878,0,0,0,0,0,0.199318003959295,0,0,0,0,0,0,0.0400579220304697,0,-0.00841059258239477,0,0,0.0784664944460113,0,0,1.38777878078145e-17,0,0,0,0,0,0.0645684200233541,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0210325840011211,0,0,0,0,0,0,0,0,0.413718643106049,0,0,0,0,0,0,0,0,0,0.0529784871734491,0,0,0,0.129785431578302,0,0,0,0,0,0,0,0,0,0,0.0833123517033475,0,0,0.0595002586455015,0,0,0,0,0,0,0,0,0,0.260757858902234,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0197352688134544,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.030532231624499,0,0.178047300899309,0.0698197132510386,0,0,0.0921044164703443,0,0,0,0,0,0,0.130842897531963,0,0,0,0,0.237371339473793,0,0,0,0,0,0,0,0,0,0.0228342722004271,0,0,0,0.208595288173773,0,0,0,0,0
X5.HK.EQUITY,0,-0.142779800783514,0,-0.160091450469685,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0109990308582891,0,0,1.24984526319464,0,-0.78784714907114,0,0,-0.0411695061562838,0.476276297216186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425452513096223,0,0,0,0,0,0,0,0,0.126715538622711,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.109519495559187,0,0,0,0,0,0,0,0,0.229454342362145,0,0.121077035644323,0,0.196902180332468,0,0,0,0.0816858011061058,0,0,0,0,0,0,0.0161813096345681,0,0,0,0,0,0,0,0,0,0,0.0460663309996185,0,0,0,0.0522849209618046,0,0
X601658.CH.Equity,0,0,-0.220942284330655,0.285732694040401,0,0,0,0.0936738415150275,0,0,0,0,0,0,-0.263657311300881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710469154947787,-0.0149862910362178,0,0,0,0,0,0,0,0,0,0,0,-0.10222421491307,0,0,0,0.745683063727931,0.0998851995489208,0,0,-0.108340337654927,0,0,0.123262542421452
