,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,2.77555756156289e-17,0,0.426790899831775,0,0,0,0,0,0.00331954552590279,0,0,0,0,0.365233775605372,0,0,0,0,-0.0458174297349839,0,0,0,0,0,0,0,0,0,0.0758118969961334,0,0,0,0,0,0,0.000824932716852283,0,0,0,0,0,0,0,0,0.00467708834647478,0,0.111280679119507,0,0,0,0,0
X601939.CH.EQUITY,0.143634833074609,0,0,0,0,0,0,0,0,0,0,0.0262574840748814,0,0.263074916737666,0.297097418324094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116490107738671,0,0,0,0,0,0,0,0,0,0,0,0.132323916594649,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0852644646054619,0,0.0884246193312928,0,0,0,0,0,0,0,0,0,0,0.239884551192559,0.0598377556819693,0.0274971888241719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100208632429558,0,0.0360338286561363,0,0,0,0,0.236609432155239,0,0,0.0701228235533663,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.37793036012288,0.0839641131147356,0,0,0.313251346829857,0,0,0,0,0,0.111469155358891,0,0,0,0,0.0478350622704776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153506247107123,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.184620993177982,0,0,0,0,0,0,0.186123080906546,0,0,0.0605885744112378,0,0,0,0,0,0,0,0.0322639414064436,0,0,0,0.13692314355721,0,0,0.0167119489940554,0,0,0,0,0,0,0.0652174268450305,0,0,0,0.120310662548073,0,0,0,0,0,0.119244134479065,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.191825757764976,0,0,0.221666775371391,0,0,0.0606343589695019,0.714993561938244,0.019191065440512,0,0,0,0,0.447296871465095,-0.71040782193359,0,0,0.206498553643122,0,0.147854693573068,0,0,0,0,-0.124146477963727,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.184643105093033,-0.00916705646261238,0
X600036.CH.EQUITY,0.120643167232439,0,0,0.0407680047472239,0,0,0,0.00317506656391537,0,0,0,0.0713624513221965,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0931302961218201,0,0,0,0,0,0,0,0,0,0.08820693737326,0.0908868475417657,0,0.21164836014808,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0766688693455447,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0643838175984593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174512876451258,0,0,0.100620124273656,0,0,0.0778435985961132,0.0785199276383282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364348028156663,0,0,0
X601628.CH.EQUITY,0,0.416319992506277,0,0.0410992735356901,0.179353007695219,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.113932271357279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489436110818247,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.216197026151276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482872358881177,0,0,0,-0.0798353526142881,0.236318734436594,0.140866264702974,0,0,0,0.415914233704895,0,0,-0.112457016509826,0,0,0,1.04345975171208,0,0,-0.630527525724681,0,0,-0.101845024514186
