,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0918754922564295,0,0.327819121403364,0.0930009213186207,0.0727291535806095,0,0,0,0,0,0,0,0,0,0,0,0.296882452584799,0,0,0,0,0,0,0,0,0.000838674762236591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754997887252526,0,0,0.0613400736776306,-3.46944695195361e-18,0.0327410682969191,0,0,0.102471490266745,-0.0736277347375158,0.00943549039018221,0
X601318.CH.EQUITY,0,0,0,0.0649710638535578,0,0,0,0.00438863174622475,0.128718876185468,0,0,0.0797505602615276,0.109981010040849,0,0,0,6.93889390390723e-18,0,0.118536398104056,0,0.215836478258121,0.0651689692313292,0,0,0,0,0,0,0,0.0478792268481593,0.101173200892261,0,0,0,0,0,0.015700232617468,0,0,0,0,0,0,0,0,0.0850409874678577,0,0,0,0,0,0.112292438506254,0
X601939.CH.EQUITY,0,0,0,0,0.369544655037982,0,0,0,0,0,0,0.221094364912017,0,0,0.000327004012014752,0,0,0.12574949071826,0,0.0757871543077513,0,-0.094515659324346,0,0,0.244588517571431,0.236687620562569,-0.066739460893804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494787444538209,0.0126706492965628
X600036.CH.EQUITY,0,0.115150861103735,0,0,0,0.0114166169254685,0,0.166723973437198,0,0,0,0,0.149540040642306,0,0,0,0,0,0,0,0,0,0.25001030894075,0.00783563646869775,0,0,0,0.0111048333820078,0,0.0554820528958892,0,0,0,0,0,0,0.00822153947767755,0,0,0,0.0850904574929063,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.133909716484665,0,0.0490778714278259,0,0,0.055982567160439,0,0.418839880486651,0,0,0,0,0,0,-0.0156887100074401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152044192524585,0,0,0,0,0,0,0,0,0,0,0,0,0.0536069306137743,0,0,0,0.127696931432668,0,0,0,0,0.0719223968468816,-0.0861410064190386,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0561696781333387,0,0,0,0,0,0.190761514449914,0,0,0,0,0.147051954588852,-0.0570199422627561,0,0,0,0,0,0,0.0205807686695668,0,0.131424739872356,0,0,0,0.627149368269252,0,0,0,0,-0.032512686887874,0.157352401711109,0,0,0,0,0,0,0,0,0,0.117298885163626,-0.0672083223161587
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.146019914732909,0,0,0,0,0,0,0,0,0.0299383054193046,0,0,0,0,0,0,0.110781343853148,0,-0.190482047304129,0,0,0,0.0104157886843916,0,0,0,0,0,0.0784052146214583,0,0.238985854685536,0.12245092645253,0.0562926012827965,0.0457860294888642,0.10459249994661,0,0,0,0,0,0,0,0.0346042822030807
X601988.CH.EQUITY,0,0,0.0928042999961447,0.106146916573619,0.166162425509399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230506810171213,0,0,0,0.210998555591989,0,0.0440668125764335,0,0.33138664475705,-0.0298373227585478,0,0,0.142515410828464,-0.0742537089538834,0,0,0,0,0,0,0,0.0902118166241968,0,0,0,0,0,0.0286964393511311,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.111616738865809,0,0,0,0,0,0.213872635302231,0,-0.0487536243296509,0.0630286284586548,0,0,0,0,0,0,0,0,0,0.0881717561963466,0,0,0.126019364528402,0,-6.93889390390723e-18,0.204361034155061,0,0,0.0376329726116668,0,0,0,0,0,0,0,0,0.180134156735682,-0.116680489362207,0,0.144799744113771,0,0,0.10517938120944,0,0,0.0695066406807899,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.033604219962683,0.101201193109957,0,0,0,0,0,0,0,0.0325845544048597,0.0871287165475749,0,0.0510095316808802,0,0,0,0,0,0,0,0.165956780809183,0,0,0,0,0,0.362185701007377,0,0,0,0,0,0,0.0254674897351138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
