,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.295425115129392,0.0273520008375411,0,0,0,0.447044162073096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105024703990348,0.0519767967886998,0,0,0,0,0,0,0,0,0,0,0.0796418778082589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.189387143272921,0,0,0,0,0,0.17780286479384,0,0,0,0.0808989119026986,0,0.0932023220812696,0,0,0.0195017101507116,0,0,0.19558591519201,0,0,0,0,0,0,0,0,0,0.0675172554628482,0,0,0,0,0,0,0.0593166354809026,0,0,0,0.0255188143616901,-0.0385196763756606,0,0,0,0,0.0509732799821022,0,0,0,0,-0.0880192640462737
X601939.CH.EQUITY,0.455161766538053,0.133284117612668,0,0,0,0,0,0.244164316172364,0,0,0,0,0,0,0,0,0.0117341196746363,0,0,0,0,-0.139384178797702,0,0,0,0,0,0,0.160631041128323,0,0,0,0.118900495540865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117169405189202,0.156789231257146,0,0
X600036.CH.EQUITY,0,0.126244757689738,0,0,0,0,0.0746544390695575,0.0919746454995566,0,0,0,0,0.100503417514422,0,0,0.00405361950091821,0,0,0,0,0,0,0.0122659337706397,0,0,0.0923449615532519,0,0,0.0846095231238211,0.0033881975251185,0,0,0,0,0,0,0,0.0345004125060886,0,0,0,0,0,0,0,0,0,0,0,0.342732568519369,-0.223497093559993,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.562248381162626,0,0,-0.0818920574408485,0.0379718649414167,0,0,0,0,0,0,0,0,0,0.0597377724880561,0.0757408624487642,0,0,0.105288602791086,0,0,0.112941021431113,0,0,0,0.055430617497559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530514033369832,0,0,0.00565945743977034,0,0
X601628.CH.EQUITY,0.0977290996321747,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0549900999996628,0,0,-0.269751103750053,0,0,0,0,0,0.106996210617754,0,0,0,0,-0.0363806036139975,0,0,0,0,0,0,0.573093452744004,0.141089479575158,0,0,0,0,0,0.00148660950722628,0,0,0,0,0.0878543593047867,0,0,0.00218080283484593,0,0.035767817252297,0.136964542961244,0
X1299.HK.EQUITY,0,0,-0.053245105694398,0.0366542621111464,0,0,0,0,0,0,0.149340105963658,0,0,0,0,0,0,0,0,0.165930593484997,0,0,0.212640720081025,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0605990368196921,0,0,0,0.160538412013207,0.0342781525047067,0,0.149706775284009,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.13838679733903,0,0.0943772927511329,0,0.372696560877836,0,0,0,0,0,0,0,0.218413822880666,0,0,0,0.110984237208153,0,0,0,0,0,0.0172093688515827,0,0,0,0,0,0,0,0.12043148103842,0,0,0,0,0,0.0109078683856523,0,0,0,0,0,0.00593937914899767,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.12983990309968,0,0,0,0,0,0,0,0,0,0,0,-0.0646680529329079,0,0,0,0,0,0,0.226692449677901,0,0.18207322439932,0,0.143973571307637,0,0,0,0,0,0,0,0.0564707418638769,0,0,0,0,0,-0.0785021459766659,0.182844068961496,0.0422078911346538,0,0.284457369897882,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0644169865291015,0.123450257681299,0,0,0.0894437711711875,0,0,0,0,0,0,0,0,0,0,0.172175849229645,0.0198613869296223,0.42826975936012,0,0,0,0,0.0495063368206965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354794570998739,0
