,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.271345315159313,0,0.0567163366427053,0,0,0.300533420133951,0,0,0.00465261656942326,0.104887697063992,0,0,0,0.00411779940921139,0,0,0,0,0,0,0,-0.0248799053814524,0.15643873575052,0,0,0,0,0,0,0.0635933869994361,0,0,0,0.00242737765719756,0,0.114244430343394,0,0,0,0,0,0,0,0,0,0,-0.0221088683599879,0,0,-0.0306964635198805,0
X601318.CH.EQUITY,0,0,0.268445194586457,0,0,0,0,0,0.0659221392484814,0,6.93889390390723e-18,0,0,0,0.185332610698519,0,0,0,0,0,0,0.0882255955194236,0,0,0,0,0,0.163336759439823,0,0,0,0,0,0,0,0,0,0,0,0,0.0644170733329636,0,0,0,0.0768724358402274,0,0,0,0,0,0.0199575697592377,0,-0.0722770197773156
X601939.CH.EQUITY,0.362942310267403,0.27170611282497,0,0,0,0,0,0.409533392283524,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.0558008686745309,0,0,0,0,0,0.0311222290444398,0,0.0289624922615895,0,-0.0228445292821295,0,0,0,0,0,0.0612615273543951,0,0,0,0,0,0.0839930176700852,0,0,0,0,0,0,0,0,0.167433538236473,0,0
X601288.CH.EQUITY,0,0,0.128183124078441,0,0,0,0,0.464141416000135,0,-0.048432799488907,0,0.041582282302217,0,0,0,0,0,0,0,0,0,0,0.14306817512361,0,0.04419764092477,0,0,0.145647665922974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136069036165414,0.0219010136486587,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.170163366269318,0,0,0,0,0,0,0.074765397030899,0,0,0,0,0.0440914724698697,0,0,0,0,0,0,0.033986614075789,0.496786149073754,0,0.158928205694253,0,0,0,0,0,0,0,0.034962906202723,0,0,0,-0.0904729822439586,0,0,0,0,0,0,0,0,0,0,0,0,-0.101272497569873
X1299.HK.EQUITY,0,0,0,-0.086332991682441,0,0,0,0,0,0.185266875670321,0,-0.0530058557324377,0,0,0,0,0,0,0,0,0.0597795534211126,0,0.147897595345677,0,0,0,0,0,0,0,0,0,0,0,0,0.0995487176031913,0,0.147509746537687,0,0,0.13481141887089,0.108971425953854,0.0520586003278565,0,0,0,0,0,0.209370118118682,0,0,0,0
X601628.CH.EQUITY,0.0364288847180821,0,0,0,-0.000473837041036871,0,0,0,0,0,0,0,-0.0184704274421937,0,0,-0.275749035703011,0,0,0,0.232627452148387,0,0,0,0,0,0,-0.0660159315218712,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.636757503139313,0.0583235092650387,0,0,0.0187089211731862,0,0,0,0,0,0,0,0,0,0.0395541754220449,0.103323497923574,0
X601988.CH.EQUITY,0,0,0.0748484859479462,0.441794545626067,0,0,0,0,-0.0916540848850243,0,0,0,0,0,0,0,0.280068630239858,0,0,0,0,0,0,0,0.0834999155659664,0,0.0452693733377458,0,0,0,0,0,0,0,0,0,0,0.00189674047135185,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.220668058816544,0.114328175778737,0,0,0,0,0,0,-0.132132728599723,0,0,0,0,0,0,0,0,0,-0.159007961207186,0,0,0.118548535879248,0.179286852697072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175519489830232,0,0,0.189786206399236,0,0,0,0,0,0,0,0.0406001643956076,-0.140434624329994,0
X388.HK.EQUITY,0,0,0,0,-0.177203516866282,0.292211588904667,0,0,0,0,0,-0.0484573280976877,0,0,-0.0443908743106255,0,0,0,0,0.457960298256954,-0.117590846688245,0,0,0,0,0,0,0,0,0,0,0.0412571032627021,0,0,0,-0.148311433838469,0,0,0.143518986801947,0,0,0,0,0,0,0,0,0.0766289159118092,0,0,0.135932094649942,0,0
