,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.301086026126634,0,0,0,0,0.407602946504027,0,0,0,0.00241115525437197,0,0,0,0,0,0,0,0,0,0,0,0,0.120172219529348,0.0651075451703848,0,0.0535561647575976,0,0,0,0,0,0,0,0,0,0.083481349175416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.332887756286984,0,0,0.172565039045328,0,0,0.0133324132754887,0,0,0,-8.67361737988404e-19,0,0,0.138556153266413,0,0,0,0.0169668734382227,0,0,0,0,0,0,0,0,0,0.155757183723599,0,2.71050543121376e-20,0,0,0,0.0926036783416943,0,0,0,0,0,0,0,0,0.00549740884786,0,0.0330009834186702,0,0,0,0,0,-0.00121592240090323
X601939.CH.EQUITY,0.458518922169565,0.117704732533268,0,0,0,0,0,0.178920608825629,0,0,0,0,0,0,0,0,0.00982081879895089,0,0,0,0,-0.137407400035183,0,0,0,0,0,0,0,0.138042166568099,-0.0113142361992927,0,0.138616446717269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197780134836285,0.144384743192572,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.563739956964625,0,-0.0847768035950165,0,0.0390789401408333,0,0,0,0,0,0,0,0.000346097328969126,0,0.0606111660252156,0.0756523623816711,0,0.104087710553633,0,0,0,0,0.115599090254864,0,0,0.0561861602082938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540678549641979,0,0,0,0.00558427568889086,0,0
X600036.CH.EQUITY,0,0.13709295255368,0,0,0,0.0449655431304038,0,0.0469305198377835,0,0,0,0,0.128956520303584,0,0.0183661157875609,0,0,0,0,0,0,0,0,0,0.0950032215794346,0.024195349111656,0,0,1.73472347597681e-18,0.0366173219495257,0,0,0,0,0,0,0,0.0547775786043771,0,0,0,0,0.0484210412418426,0,0,0,0,0,0,0.355163751981759,-0.268623133485265,0,0
X1299.HK.EQUITY,0,0,-0.0700183740143487,0,0,0,0,0,0,0.134354618389385,0,0,0,0,0,0,0,0,0,0,0.155765648215752,0,0.202583311518177,0,0.0383786667306846,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.142117412312458,0,0.00274711128415155,0.0131763791150078,0,0.163574166791457,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.131617455386538,0,0,0,0,0,0,0,0,0,0,0,-0.0361077080319279,0,-0.30600005425586,0,0,0,0,0,0,0.143685093457671,0,0,0,-0.0405092167418667,0,0,0,0,0,0,0,0.142246262744592,0.578390043212765,0,0,0.0182513354459805,0,0,0,0,0,0,0,0,0,0,0.0172589188447163,0,0.0411800998390891,0.163639919300629,0
X601988.CH.EQUITY,0.225135276711679,0,0.0553745239597796,0.498925168159978,0,0,0,0,0,0.116443591816258,0,0,0.154622629688023,0,0,0,0,0,0,0,0,0,0.135723961819354,0,0,0.0114690826387431,0,0,0.0542649376938864,0,0.0384644466504362,0,0,0,0,0,0.0737193419591785,0,0.0309576480634783,0,0,0,0,0,0,0,0,0,0,0,-0.0459505841935684,0,0
X5.HK.EQUITY,0,0.215815343774221,0.0235794185949712,0,0,0,0,0,0,-0.0131618512334243,0,0,0,0,0,0,0,0,0,0,0,-0.208035554799645,0.172174933134659,0,0,0.0558477282712954,0.130819321970047,0,0,0,0,0,0.0817609783554716,0,0,0,0,0,0,0,0,0.110785142541715,0.197059963027742,0,0,0,0,0,0,0,0.0390742941467836,-0.156817152594717,0
X388.HK.EQUITY,0,0,0,0,-0.12126114661822,0.216382626915507,0,0,0,0,0,0,0,0,0,-0.075622273470794,0,0,0,0,-0.118136823773496,0.467541792663325,0.0269435471766171,0,0,0,0,0.0836049198654546,0,0,0,0,-0.0592085849617233,0,0,0,0,0,0.145488293200828,0.0765541837845709,0,0,0,0.150405186529774,0,-0.182008889830202,0,0,-0.0497668731452452,0,0.157571736360824,0,0
