,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.226534998319017,0,0,0,0,0,-0.187320517533463,0,0,0,0,0,0,0,0,0,0,0,0.457908435491671,0.458582378357479,-0.0251217141503073,0,0.112390502594724,0,0,0,0,0,-0.0836201224902262,0,-0.185939865885934,0,0,0,-0.616323452225756,0,0,-0.0697779085019775,0,0.0301657902078834,0,0,0.027797646993274,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.386367778532967,0.0722441559653987,0,0,0,0,0,0,0,0,0,0,0,0,0.164384812070415,0.0490155759514522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154385537457668,0,0,0,0,0,0,0,0.0532641689805236,0,0,0
X601939.CH.EQUITY,0.0618611136450553,0,0,0.17596938090624,0,0,0,0,0.0716805147940144,0,0,0.373524755365064,0.117095841875192,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.00360529210789523,0,0,-0.00695343952401883,0,0,0,-0.0404337009654861,0,0,0,0,0,-0.0407421952942085,0,0,-0.0339574891489455,0,0,0,0,0,0,0.0541400473774725,0.322817551734292,0,0,0.0357285651167933,-0.0733713208511438
X601288.CH.EQUITY,0,0,0.219307890600655,0,0.401034517105399,0,0,0.0620026884902183,0,0,0.0169913297867823,0,0.140321764802347,0,0.0540110547579867,-0.015073063819764,0,0,0.059295013220935,0,0,0.0183354391785127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735583984155472,0,0,0,0,0.0263676022479767
X601988.CH.EQUITY,0,-6.93889390390723e-18,0.352921579044834,0,0,0,0,0,0,0.221697129570958,0,0,0,0,0,0,0.205917781408094,0,0.0616147751171111,0,0,0.0440045730522284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.407385063710867,0,0,0.0374118060782718,0,0,0,0,0,0,0,0,-0.139566026748131
X600036.CH.EQUITY,0,0.00735510008624821,0.0911822222684027,0,0,0,0.0312408884628701,0.0622539378062677,0,0,0,0.105193255700503,0,0,0,0,0,0,0,0.1279377853208,0,0,0,0,0.00975161203872453,0,0,0,0,0,0,0,0,0.390264512054606,0,0,0,0,0,0,0,0,0,0,0,0.0782706750436703,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.293151498115181,0,0,0,0,-0.0677914587230955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377698852678785,0,0,0,0,0,0,0,0,0,0,0.0820835418789768,0.189207089174859,0,0,0.140728198191716,0.0510234826338215,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.162739542293161,0,0,0,0,0,0,0,0,0.0774490637466183,0,0,0,0,0.283463974520268,0,0,-0.0371351416690711,0,0,0,0,0,0,0.096834729326344,0,0,-0.051959170954578,0,0,0.00585145738557181,0,0,0,0,0.0520451811430931,0,0,0,0.444699249628263,0.130460904933299,0,0,0,-0.0301382754261856,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687485391943747,0,0.0122283736904126,0,0,0,0,-0.510746734643593,0.723582138817381,0,0,0.137840249978314,0.613196996108839,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507283746630625,0,0,0,0,0,0.13735564765574,0,0
X601658.CH.Equity,0,0,0,0.0294773188425162,0.00542490003447631,0,0,0,0,0,0,0,0,0,0,0,0,0.254899468137769,0.120293679890766,0,-0.0850571560209331,0,8.67361737988404e-19,0,0,0,-0.00595948046991578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270119724295281,0,0,0,-0.0321699630015221,0,0,0,0,0,0
