,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.294932614248871,0,0.0288314463474665,0,0,0.431663985541326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107789866700456,0,0.0237421372263332,0,0,0,0,0,0,0,0,0,0,0.0889354968594945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.221376600719215,0,0,0,0,0,0.0288642786692647,0,0,0,0.0642036236716818,0,0,0.241543370692939,0.0011072295679079,0,0,0,0.102566063052442,0,0,0,0,0,0,0,0,0,0.0865053176451827,0,0.0649959405395474,0,0,0,0,0,0,0.0257688183826613,0,0.0220440594967032,0,0,0,0,0,0,0,0,-0.0368451104484991,-0.0736866954861096
X601939.CH.EQUITY,0.417551527495385,0.0803406345689957,0,0,0,0,0.0647208953235868,0,0,0,0,0,0,0,0,0,0.158797026511027,0,0,0,0,-0.148997707159196,0,0,0.0299497941012947,0,0,0,0,0,0.164218102447492,0,0.260617346447359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174710548870984,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.00167299805154464,0.556370856683685,0,-0.0848486049539413,0,0.0567142151056732,0,0,0,0,0,0,0,0,0,0,0.0576303011981245,0,0.109818263192983,0,0,0,0,0,0.112352471243813,0,0.0471207164880293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377689309865141,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.178405011582078,0,0.141183193534797,0,0,0,-0.0881640303212366,0.143611228014586,0,0.0691948832272116,0,0,0,0,0,0,0,0,0,0.0654292719686933,0,0.0255699410981078,0,0.0271329344251241,0,0.0934265061858738,0,0,0,0,0,0,0,0,0,0.046084068118348,0,0,0,0,0,0,0,0,0.365001262830947,0.0528815520096754,0
X1299.HK.EQUITY,0,0,-0.164206510409783,0,0,0,0,0,0,0.195016954049384,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0340532954149499,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.214835602822129,0,0,0,0,0.0429650795697387,0,0.224014069102412,0,0.0313089879567778,0,0.361656083216088,0,0,0,0.201124338589831,0,0,0,0
X601628.CH.EQUITY,0.150931307397923,0,0,0,0,0,0,0,0,0,0,0,-0.00293040209484696,0,-0.264824733188015,0,0,0,0,0,-0.0870206450645298,0.214308672949498,0,0.0301005911128645,0,0,-0.143132244600762,0,0,0,0,-1.73472347597681e-18,0,0,0.627426263699711,0,0,0,-1.73472347597681e-18,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0312173267984601,0,-0.00624999568216303,0
X601988.CH.EQUITY,0.0914642206613559,0,0.0941288287339339,0.336937546461966,0,0,0,0,0,0.0265627190857428,0,0,0.208331645325682,0,0,0,0.134593098865763,0,0,0,0,0,0.013385213931487,0,0.0416655479112236,0,0,0,3.46944695195361e-18,0.119902495880228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.210695783693309,0.101012256461171,0,0,0,0,0,0,-0.115827759381082,0,0,-0.0434001248447239,0,0,0,0,0,0,0,0,-0.14427355347435,0,0,0,0.148370214303044,0.0901968033089381,0,0,0,0,0,0.153838954822614,0,0,0,0,0,0,0,0.166790175060252,0.077618348050702,0,0,0,0,0,0,0,-0.156855353936507,0,0
X388.HK.EQUITY,0,0,0,0,-0.267327117370437,0.272856484974401,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0924200438652733,0,0.383935951594,0,0,0,0,0,0.0204076271635203,-0.0115159377256068,0,0,0,-0.183654737179825,0,0,0,0,0,0.109244029464287,0.126331019222659,0,0,0,0,0,0,0,0.0777251656361185,0,0,-0.00985799561309279,0
