,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.232685160288962,0,0.116797503230485,0,0,0,0,0.253903403695954,0.0582981720165334,0,0.16087531793959,0,0,0,0,0,0.107286101329071,0,0,0.0148641255579667,0,-0.0664399202798569,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366897737594537,0,0,0,0,0,0,0,0,0.0301788581524857,0,0,0,0,0,0
X601939.CH.EQUITY,0.45849639628705,0,0,0.0178191593169619,0,0,-0.0321521393816196,0,0,0,0.191737164858125,0,0.228220243861646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862023348658102,0,0,0,0,0,0,0,0,0,0.000197051359498459,0,0
X601318.CH.EQUITY,0,0,0,0,0.14816451182442,0,0,0,0,0,0.00573460084819226,0.287472823480299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241653507378286,0,0,0,0,0,0,0.00686959858051907,0,0,0.0738477717429958,0,0,0.0691909860722673,0,0,0,0,0
X601288.CH.EQUITY,0.424675994055647,0,0.0178103161353751,0,0.209108547531107,0,0,0,0,0,0,0,0.0162952363875637,0,0,0,0,0,0,0.0720913771628932,0.119486551152491,0.0417463035489177,0,0,0,0,0,0,0,0,0.0183661893998166,0,0,0,0,0,0,0,0,0,0.0307610492782109,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.255702046630418,0,0,0,0,0,0,0.277345135081775,0.269847734133652,0,0.0771659454428446,0.0571825251525827,0,0.00399440228010704,0,0,0,0,0,-0.0356561761024166,0,0.032012536321667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491859175588812,0,0,0,0,0,0,0,0.0420401479428825,0,0,0.019694612353457,0
X600036.CH.EQUITY,0,0,0.0196609344102839,0,0,0,0,0,0,0,0,0.409571068856041,0,0,0,0,0,0,0,0,0,0,0.0527905766034461,0.0138072110035432,0.126798096259507,0,0,0,0,0,0,0,0,0,0,0.0863293017559446,0,0,0,0.0580437570259459,0,0,0,0,0,0,0,0,0,0.265162483595709,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.117635429939635,0,0,0,0,0,0,0,0,0,0,0,0.00564785077614251,0,0,0,0,0,0,0,0,0.074373379882204,0,0,0.158495730657838,0,0.0455335466453391,0,0,0.1984930811111,0,0,0,0,0,0,0,0,0,0,0,0,0.199582869779804,0,0,0,0
X5.HK.EQUITY,0,-0.164289380360894,0,-0.11234204080687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21878820928183,-0.793133386817377,0,0,-0.0083296825275431,0.491407252542344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422790085042415,0,0,0,0,0,0,0,0,-0.0878342764413046,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.14312222787461,6.93889390390723e-18,0,0,0,0,0.231846394939127,0,-6.93889390390723e-18,0.134747710745261,0.0773518848420344,0,0,0,0.0857807189910471,0,0,0,0.031331275460938,0,0,0,0,0,0,0.0639918602250034,0,0,0,0,0,0,0.0297109793392352,0,0,0,0,0,0,-0.0444820649434559,0
X601658.CH.Equity,0,0,0,0.286588871484142,0,0,0,0.124936316548594,0,0,0,0,0,0,-0.222789733434659,0,0,0,0,0,0,0,0,0,0,0,0,-0.184397229641956,-0.0271465606890769,0.871217315612791,0,0,0,0,0,0,0,0,0,0,0,-0.113288228168603,0,0,0,0.602849220764335,0.0124811964876743,0,0,-0.151431949741506,0,0.202548791526115
