,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.506054206061231,0.260012503252699,0.017975056138371,0,0,-0.0631197841882283,0,0,0,0,0,0,0,0,0.0102053427227183,0,-0.0720280493879627,-0.0360379477323594,0,0,0,0,0.038855956429338,0,0,0,0,0.105198491428209,0,0,0,0,0.0145974896666667,0,0,0,0,0,0,0,0.354641489938532,0,0,-0.0181811288527799,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.0104606956532435,0,0.16477287315226,0,0,0,0.377600129008601,0,0,0,0,0,0,0,0,0,0,0.0720239149543195,0,0,0,0.271144726830362,0.0153187959706875,0,0.0670926856613119,0,0,0,0,0,0,0,0.0140643704532405,0,0,0,0,0,-0.148841359210585
X601939.CH.EQUITY,0,0,0,0,0.665864420910585,0,0,0,0,0.00634377785128217,0,0.306121463534501,0,-0.036808725844248,0.0442017533962264,0.0245242842241932,0,0,0.0232555803771835,0,0,0,0,0.0277967746930878,0,0.0460480698628796,0.0209421380286139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592053236045343,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.159667509739917,0.108638122658654,0,0,0,0,0,0,0.319363946686059,0,0,0,0,0.140568041688501,0.0824949790875048,0,0,-0.0413067148490301,0,0,0,0.0221752650553365,0,0.0524136846476772,0.0941019432142784,0,0.143227321217544,0,0,0,0,0,0,0,0,0,0,0,0.136960786537265,0,0,0.00133636930857933,0
X601288.CH.EQUITY,0.173737876237664,0,0.810609109430603,0,0,0,0,-0.0831667038409621,0,0,0,0.0503231040526374,0,0,0,0,0.024008100350572,0,0,0,0.00613476004484551,0,0,0,0,0,0,0,0,0.00912677615063802,0,0,0,0,0,0.0297780583743948,0,0,-0.088905651706535,0,-0.1482562048876,0,0,0,0,0,0,0,0,0.073521769357072,-0.00892650517927607,0
X600036.CH.EQUITY,0.230231508787404,0.0383348920692792,0.216992364993272,0,0,0,0,0,0,0,0,0,0,0,0,0.183103390826713,0,0,0.0291736462272513,0,0,0,0,0,0,0.240880320833615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212772676898471,0,0,0.0101033838582351,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0740586056978474,0,0,-0.0270210132034317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602539966320658,0,-0.00738383617935429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282852261631318,0,0,0,0,0,0,0,0.930134408572197,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0533446522881231,0.331176868710155,0,0,0,0.113703062680206,0.0322043017657177,0,0,-0.187915492143976,0.0111288106354712,0,0,0,0,0,0.0628275741302311,0.106412717252385,0,0,0,0,0.208927371885746,0.162140548333775,0,0,0,-0.0532085580097954,0,0,0,-0.0555007890288458
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0759397062949998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295685433489842,0.0648293207422612,0,0,0,0,0,-0.252980007317722,0,0,0,0,0,0,0.0697413197797142,0.341177729531706,0.1041927633173,0,0,0.0589330951358406,0,0,0,0
X388.HK.EQUITY,0,0.0077480577548947,0,0.13551338013899,0,0,0,0.122861889992865,0,0,0,0,0,0,0,0,0,0,0,0,0.109242575455076,0.426682049750044,0.0551609965636238,0,0,0,0,0,0,0,0,0,0,0.0658427233430958,0,0,0,0.0826907131700384,0.278762129441561,0,-0.305449320691904,0,0,0.0417915914633826,0,0,0,0.0160395067445065,0,0,0,0
X600030.CH.EQUITY,0,0,0,0.0209267102062515,0,0,0,0,0,0,0,0,0,0.40998588853972,0,0,0.006945028297289,0,0,0.12603302999857,-0.000997239436327542,0,0,0,0,0,0,0,0,0,0,0,0.00988487946554725,0.241278377254249,0,0,0,0,0.190614115679569,0,0,-0.0168932604280461,0,0.0364192676680798,0,0,0.11082963013722,-0.083269795819046,0,0,0,0
X601658.CH.Equity,0.146705741800733,0.0444274107294982,0.32588523074628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212373081448284,0.00633740629573467,0,0,0,0,0,0,0,0.149452895152056,0,0,0,0.181301218487829,0,0,0,0,0,0,0,0.102393735825223,0,0,-0.0713433155602017,0.0642274124863542,0,0.0299011479550615,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.00300030541430087,0,0.0399356051581647,0,0.132751512647832,0,0,0,0,0,0,0,0.0341387716693036,0.0214719897510757,0,0,0,0.0380433282092293,0,0.055387958066235,0,0.0579091607761921,0.37066863495421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225215870966039,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.686974149810824,0,0,0,0.0386809794063036,0,0,0,0,-0.0606778334708922,0,0.0247416238797522,0,0,0,0,0,0,0,0,0.0269605420091346,0,0,0,0,0.00597628924746601,-0.0437136479195099,0,0.19901242065074,0,0,0,0,0,-0.0354918358597373,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,-0.249265351491148,0.177895755425994,0,0,0,0.299534475168516,0,0,0,0.129689929847758,0.418123108990611,0,0,0,0,0,0,0,0.074210702852571,0,0,0,-0.016826610497933,0,0,0,-0.0449329128211162,0.02473611994997,0,0,0,0,0,0,0,0,0,0,0,0,0.0130827564235762,0,0,0,0,0,0,0,0.0465757572483326
X000001.CH.EQUITY,0,0.0960995834163766,0,0,0,0.656226148638485,0,0,0,0,0,0,0.0444361826899248,0,0,0,0,0,0,0,0,0,0,0,0,0.0551255631857245,0,0,0.110861955937723,0,-0.0712002346937847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190230081251959,0
X601328.CH.EQUITY,0.314561050667451,0,0.0483770295631833,0,0,0,0,0,0,0,0.0491812627168755,0,0,0,0,0,0,0,0.129762489713912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712737063729808,0,0,0,0,0,0.0466847919199873,0,0,0,0,0,0,0
