,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600061.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0.0362785796204879,-1.73472347597681e-18,0.148643525102824,0,0,0.14851730985362,0,0,0,0.197333640812874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514492998895995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143712554934014,0,0,0,0.0334316082227375,0,0
X002142.CH.EQUITY,0.0470193843548821,0,0,0,0,0.170754285977621,0,0.474101919355406,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954734883400274,0,0,0,0,0,0.12658939279636,0.0435940715789445,0,0,0.00336764405522502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.12136430040267,0,0,0,0.16738874813412,0.166833320723635,0,0.209453551255506,0,0.0634654650113526,0,0,0.0208164996943502,0,0,0,0,0,0,0,0,0,0,0,0.178508917949026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319765833949553,0,0,0.0144975885081917,0,0.00522767264543687,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.587644131501375,0,0,0.14387819734012,0,0.027532678507959,0,0,0,0.0396132980810974,0,0,0.041561889697483,0,0,0,0,0.0819216686466337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434948749927267,0,0,0,0,0,0,0,0,0.0532459051565335,0,0,0
X600016.CH.EQUITY,0,0,0,0.116363029165217,0,0,0,0,0.141186280005642,0,0.00695532349176034,0,0.256042144577722,0,0,0,0.220422288895629,0,0,0,0,0,0.028070156147584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.151287432782469,0,0,0
X600036.CH.EQUITY,0.407159958389864,0,0.221515306349321,0,0,0,0,0,0.0958891628508092,0,0,0,0,0,0,0,0,0,0,-0.0484549903218961,-0.0757384538901108,0,0,0,0,-0.0229300660964189,0,0,0,0.0320704190612801,0,0,0,0,0.0102488545977145,0,0,0.0633582140831419,0.160046432683428,0,0,0,0,0.0369440131004995,0,0.0658505537857453,0,0,0,0.0429208283766092
X600919.CH.EQUITY,0,0,0,0.266950772121819,0,0,0,0,0,0,0,0,0,0,0.0261050792530302,0,0.264024996530799,0,-0.0485921321133141,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,1.73472347597681e-18,0,0.288120701273711,0,0,0,0.0239139911791515,0,0.0983437278293895,0,0,0.0161543157719106,0,0,0,0,0,-0.0159422486732422,-0.008140428229734
X601009.CH.EQUITY,0,0,0,0,0,0,0.076112524165289,0,0.363542547317439,0.0365095649564662,0,0,0,0,0,0.0665302526000063,0,0,0,0,0.021330269989856,0,0,0,0,0,0,0,0,0,0.0485492784696197,0,0,0,0,0,0,0,0.0855974073482427,0.0333142057581715,0,0,0,0,0,-0.0432177169925791,0,0.331557516155557,0,0
X601166.CH.EQUITY,0,0.074470330481026,0,0,0.267432734065865,0.146689553801473,0,0,0,0,0,0,0,0,0,0.158031461534179,0,0,0,0,0,-0.00124553972204079,0,0,0,-0.00866972647260564,0,0,0,0,0,0,0,0,0,0,0,0,0.0731079240751757,0,0,0,0.117546411761675,0.00748512243993907,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.103288231631247,0,0.166436137372002,0,0,0,0,0,0,0,0,0,0.022014698909961,0.164781174297913,0,0,0,0,0,0,0,0.244209413386278,0,0.0384513621146924,0.0697107326470693,0,0,0,0,0,0,0,0,0,0.0272809869264991,0,0,0.031824091383834,0,1.73472347597681e-18,0.0308204872037668,0,0,0,0,0,0
