,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0.0156480663365177,0,0,0,0,0,0,0,0.681289388291948,0,0,0,0,0,0,0,0,0.103781356028758,0,0,0,0,0,0,0.0470484588455668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104628305943511,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0.0967686935738271,0,0.270936361131564,0,0,0,0,0,0,0,0,0,0.0659788239488514,0,-1.73472347597681e-18,0,0,0,0,0,0.0954708140542436,0,0,0,0,0,0,0,-0.178668959369243,0,0,0,-0.0694566580870032,0,0,0,0,0,0.0235222863470281,0,0,0,0,0,-0.00765267941220678,0,0,-0.00316477324737872
X002958.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.185179921627086,0,0,0,0.0687517124295136,0.0875477553633167,0,0,0.180402673799862,0,0,0,0,0.258571450925278,0,0,0.0344634236468733,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0800363443083757,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0169130569219528,0,-0.0898983017514661,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.325389593949182,0,-0.0573376753778699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659484706348934,0,0,0,0,0.00468190142737146,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0737409791568962,0,0,0.168288997947171,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.00710455288669302,0,0,0,0,0,0,0,0,0,0.129851669739539,0.0876578961941348,0,0.0223427101793101,0,0.100294236781566,0.0260953222044887,0,0,0.14059575087274,0.061118697892016,0,0,0,0.119810054070465,0.131264345122578,0,0,0.104993617373373,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,6.93889390390723e-18,0.140756181684944,0,0.177773079619963,0,0,0,0,0,0,0,0,0.0430808417476594,0.244172505379044,0,0,0,0.119758815308532,0,0,1.73472347597681e-18,0,0.233859686490555,0,0,0,0,0,0,0,0,0.115633526939634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0583053159787245,0.0880870704541996,0,0.472652632362649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879478942796659,0,0,0.1816194932149,0,0,0,0,0.0649431938944171,0,0.326741068341492,0,0.134167564828775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.419789348436839,0,0,0,0,0,0,0,0,0.27080369909588,0,0.310455602076377,-0.110788231607841,0,0.294294173788718,0,0,0,0,0,0.0209017297115766,0.152775089316516,0,-0.124204376402372,0,0,0.0479605828635708,0,0,0,0.167677259880318,0,0.0142178921859867,0,0,-0.064441649953087,0,-0.291364088662869,0,0,0,0
X600926.CH.EQUITY,0,0,0,-0.0628095718347179,0,0,0,0.062237041297527,0,0,0,0,0,0.164733102342507,0,0,0,0.00923514659772388,0,0.457960912289289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874840362321453,0,0,0,0,0,0,0,0,0.0516086803318232,0,0.174883833624347,0,0,0,-0.174535398818227,0,0.0589700959089584,0
X600928.CH.EQUITY,0.0783138153946017,0,0.392932057740799,0,0,0,0,0,0,0,0,0.125178905525748,0,0,0,-0.0663482009133495,0,0,0,0,0,0,0,-0.0928225648407324,0,0.370235130157729,0,0,0,0,0,0,0,0,0,0,0.117942541085634,0.112149920652428,0,0,0,-0.0411460659559105,-0.0201955196787244,0,0.0328510088059818,0,0,0,0,-0.133846750687836,0,-0.00641807216294016
X601009.CH.EQUITY,0.232577166311115,0,0,0,0,0,0,0.171824257679824,0,0,0,0.346765544182663,-6.93889390390723e-18,0,0,0,0,0,0.151366143281502,0,0,0,0,0,0,0,0,-0.10123964015648,0,0,0.0129996437291031,0,0,-0.143289061110986,0.0108534045000013,0,0.0536777546497343,0,0,0,0,0,0,0,-0.0555710837521474,0,0,0.0394280537935995,0,0,0.0445389351696433,0
X601166.CH.EQUITY,0.114835741876668,0,0,0,0,0,0,0,0,0,0.20068391966284,0,0,0.0559330291612,0,0,0.106947157872573,0,0,0.100544445901152,0,0,0.0950221563802285,0.036857864410708,0,0,0,0,0,0,0,0.0974925678707732,0,0,-0.0238140049173269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852176186385491,0,0
X601169.CH.EQUITY,0,0,0,0,0,0.0774297235769622,0,0,0,0,0,0,0,0,0.300338193054787,0.0306198956835159,0,0,0.151813199065517,0,0,0,0.060064046092483,0.130105969550116,0,0,0.0517288459099264,0,0,0,0,0,0.13134810406233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.015871894355275,0.123629010529578,0,0,0,0.119354194174998,0,0,0,0,0,0,0,0.171075352135582,0.1818060207756,0,0,0,0,0,0,0,0.123323914688323,0.0987556142866932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235542823623413,0.0766628307420579,0,0.0279002423052365,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.0909818552380307,0.0473360872504295,0,0,-0.10415738394939,0,0.00328191568125664,0.244620849772429,0,0,0.0703398543683965,0,0,0,0,0.141301253032106,0.157528749162852,0,0,0,-0.010943690462901,0,0,0,0,0,0,0,0,0,0,0,0,0.0328033486647971,0,0,0,0,0.215036533483245,0,0,0,0,0,0,-0.103946599672886,-0.0541047827034935
