,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.0656438013762681,0,0,0,0,0.0227546587627486,0,0.247062982277794,0,0,0,0,0.346420785173675,0,0,0,0,-0.0357547096440217,0,0,0,0,0,0,0,0,0,0,0,0.0237816713112312,0,0,0,0,0,0,0,0,0,0,0,0,0.121238591421621,0.189107358682078,0.00885913538668971
X601398.CH.EQUITY,0,0,0,0,0,0,0.255335254362088,0.0333163423891,-0.129369776852818,0,0,0,0,0,0,-0.132444125552902,0,0,0.785595939015185,0,0,0,0,0,0.0560088718457566,0.0322812506669885,0,0,0,0,0,0,0.0186914625727055,-0.0853441505078467,0,0,0,0,0,0,0,0,-0.150949866157356,0,0,0,0,0,0,0,0,0.0319624665277523
X601577.CH.EQUITY,0,0,0,0,0,0,0,0,0.0780295595452412,0.0387337331740492,0,0,0,0,0,0,0,-0.120901478432013,0,0,0,0,0.331094118278509,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0454867646927887,0,0.244741178407801,0,0,0,0.0346585244883055,0,0,0,0,0,0,0.0131025779246294,0,0.0625874089814859,0.0287860170679046,0,0
X601818.CH.EQUITY,0.129356156960133,0,0,0.243831639919469,0,0,0,0,0,0,0.0767748272173671,0,0.00416946940739572,0,0,0,0,0,0,0.172503195232318,0.137156074723243,0.0713635143610102,0,0,0,0,0.161118607645025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551632347277341
X601838.CH.EQUITY,0,0.360323432200589,0,0,-0.0511006231788862,0,0,0.142416483153735,0,0,0,0,0,0.047960089540609,0,-0.109621820839397,0,0,0.240264212745794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221841666692593,0,0,0,0,0,0,-0.0183726403581173,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.115292096942337,0,0,0,0,0.0369758579032919,0.359069576110053,0,0.150820109402102,0,0,0.142482052785467,0,0,0,0.0299790043001318,0,0.212792554168024,0,0,0,0,0,0,0,0,0,0.026102713216049,0,0,0,0,0,0,0,0.023801991756943,0,0,-0.0736144618763283,0,0,0,-0.0460617843682849,0.0261523461149355,0,0.162859743046149
X601988.CH.EQUITY,0,0,0.133982328803081,0,0,0,0,0,0.0267239386776238,0,0,0,0.0985307887757395,0.0469713258568678,0.15779200616002,0,0,0,0.137237100380071,0,0.15423948500847,0.0868369640287105,0,0,0,0,0,0,0,0,0,0,0,0.0709626415226302,0.0461110340456917,0,0.0139266814244202,0,0,0,0,0,0,0,-0.226173989872517,0.01004701766613,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.352420937214996,0,0,0.00202684383278084,0,0,0,0,0,0,0,0,0,0,0,0.0015668925412928,0.272041971039271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.168876209726653,0,0,0,-0.197281367918597,0,0,-0.0149397797456425,0,0,0
X601658.CH.Equity,0.356373218099399,0,0,0,-0.182842908603959,0.673727312780762,0,0.0397914040621207,0,0,0,0,0,0,0,0,0,0.0855696983303591,0,0.0226400348483793,0,0,0,-0.180692065358715,0,0,0.0367321446863247,0,0,0,0.194568397240224,0,0,0,0,0,0,0,0.11713028932538,0,0,0,0,-1.73472347597681e-18,-0.124960107212692,0,0,0,0.0592504925534197,0,0.0116979364898744,0
X601916.CH.Equity,0,0,0,0,0.426503253895771,0,0,0,0,0,0,0,0,-0.0582908463176524,-0.0953893869072647,0,0,0,0,0,0.126109748088974,0,0,0,0,0,0.350103781057342,0,0,0,0,0,0,0.206564784074032,0.0444465426428738,0,0,0,0,0.0460906461691014,0,0,0.235708912125977,0,0,-0.0239738441922635,0,0,0,-0.0132702390647871,0,0
