,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601658.CH.Equity,0.166443656150836,0.161229957229304,0,0,0,0.0362442807261316,3.46944695195361e-18,0.0388417385612061,0,0.067648399429846,0,0,0,0.299307595504675,0,0.172603649323832,0,0,0.135416672762823,0,0,0,0,0,0,0.0455294032735674,0,0,0,0,0,-3.46944695195361e-18,0.0396407419412963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323011949477123,0,0,0
X601916.CH.Equity,0,0,0,0,0.0460704281042958,0,0,0.3605723339678,0.202755594784017,0,0,0,0,0,0,0,0,0,0,0,-0.191056822109293,0,-0.124090618513004,0,0,0,0,-0.00934659117971676,0.0250858805015921,0,0.266047943025223,0,0,0,0,0.319238595208631,0,0,0,0,0.317073350555798,0,0,0,0,0,0,0,0,0,-0.25390733495739,0.104629993250877
X601077.CH.Equity,0,0,0,0,0,0,0,0,-0.0504430029373512,0,0.00158138785955797,0,0,0,-0.131171785797963,0,0.878615540253466,0,0,0,0,0,0,6.93889390390723e-18,0,-0.111760764313563,0,0,0,0,0,0,0,-0.0466985108373501,0,0,0,0,0,0,0,0.134182913019416,0,0,0,0.059264546429952,1.73472347597681e-18,0,0,0.133283678809712,0,0.026496613200059
X11.HK.EQUITY,-0.0671554599308744,0,0,0,0,0,0,-0.300398393689542,0,0,0,0,0,0,0,0,0,0,0,0.213390333952085,0,0,0.104119735499891,-0.0659273907535414,0,0,0,0.530114315958835,-0.0325161114323334,-0.257950632850535,0,0.2942734753762,0,0,0,0.117021163495395,0,0,0,0,0,0.261983266279055,0,0,0,0,0,0,0,0,0,0.0662463735422822
X2388.HK.EQUITY,0,0,0,0.0935151030469771,-0.015448172947967,0,0,0.0496063855573723,0,0,0,0,0,-0.0412813956921265,0,0.0690875093222215,0.0583825654704119,0,0,0.0904221134389325,0,0,0,0,0.0882881575951425,0,0,0.556158875495129,0,0,0,0,0,-0.0932342422213587,0,0,0,0,0,0,0,-0.325309855728653,0,-0.0113723184998472,0,0.143146987940153,0,0.0756405277486923,0,0,0,0
X5.HK.EQUITY,0.0670093070894015,0.0983995407149291,0,0,0,0,0,0,-0.0253096765481447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454512828498466,0.158004256790116,0,0,0,0,0,0,0.23420219485475,0,0.0832245949590473,0,0,0,0,0,0,0,0,0.163330856493458,0,0,0,0,0.11529116126981,-0.0809649194740958,1.38777878078145e-17
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931827118757497,0,0,0,0.0191855130544051,0,0,0,0.0246488731451733,0.0147659170333188,0,0,0,0,0,0.123082917848014,0.0892336444338236,0,0.370070025277264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771591657815628,0.117451520981239,0,-0.0536834712086349,0
X2884.TT.EQUITY,0,0.180682983617942,0,-0.0586355287622228,0,0,0.0134648663541201,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0723992804096981,-0.0796699874436839,-0.0314606459741888,0,0,-0.0422378970855506,0,0,0,0,0,0,0.0843141793935638,0,0.707145481394807,0,0,0,0,0,0,0,0,0,0,0,0.0671024554097981,0,0.0583137582966701,0,-0.0576071701522798,0,0,0,0,-0.150427025763962
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313030405278018,-0.0880675076691309,0,0,0,0,0,0,0,0,0,0,0.0970071405359161,0.426611243757094,0,0.0513412183770938,0.189663787925697,0.0119553075481472,0,0,0,0,0,0,0,0,-0.0958489752478036,0,0,0,0,0,0.0623951198365284,0,0,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0306044409913322,0.0260048212502828,0,0,0,0,0,0,0.164688402700433,0.0853737025556428,0,-0.0334738418235139,0,0.134045329072264,0,-0.0439417903491139,0,0,0.374219502328308,0,0.00947722301378718,0,0,0,0,0,0.0433666964782561,0.383672563624104,0,0,0,0.0349050398175164,0,0,0.022330361257554,0,0,0,0.0249605282589478,-0.0907112865025864
X2892.TT.EQUITY,0,0,0,-0.0173503958255903,0,0,0,0,0,0,0,0,0,0,0.0421636479542035,0,0,-0.0416339752024073,0,0,0,0,0.0773377155015915,0,0,-0.0791002319109627,0,0,0,0.183516608891668,0.157122269420396,0.258991157891512,0,0.395490690238308,0,0,0,0,0,-0.0154993170256597,0,0,0,0,0,0,0.03982985956644,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0.0577006438115472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242785675479173,0.231603509444439,0.162162794764984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191269859837869,0,0,0,0,0,0.0644699280052549
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.0372948445077758,0,0,0,0.0583250407962012,0,0,-0.0813723489032359,0,0,0,0,-0.0208191102098733,0.00869125784499726,0,0,0,0,0,0,0,0,0,0,0,0,0.0902261910687725,0,0.143377295699529,0,0.546058420258364,0,0,0,0,0.142343267522588,0,0,0,-0.0262526645415742,0,0,0.0887848196068185,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.0529388648541398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166174785322702,0,0.133226028862439,0,0,-0.078063172240993,0,0,0,0,0,0.162748013257637,0,0.409484398160205,0.099163019065869,0,1.38777878078145e-17,0,0.038773816525472,0.115809569618056,0,0,0,0,0,0,0,0,0.0473804621951327
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.369804041925345,0,0,0,-0.011679479720066,0,0,-0.127571159411515,0,0.113019442147066,0,0,0,0.141394548074465,0,0,0,0,0,0,0.065565359008219,0,0,0.00569004670274712,0.161449022668717,0.428827753012503,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325412910939527
X601688.CH.EQUITY,0,-0.0567913341779895,0,0,0.0361383317043062,0,0,0,0,0,0,0,0,0,0,0.0893769829625162,0.0877970642635412,0,0,0,0,0,0,0,0,0,0,-0.0652316059765015,0,0,0,0,0,0,0.222885063055644,0.471870268483746,0,0,0,0.0638949133807856,0,0.154286707398844,0,0.00480976475795931,0,0,0,0,0,-0.0482876892601765,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0,-0.277834395850748,0,0,0,0,6.93889390390723e-18,0,0,0,0.0420085546948896,0.328390019356639,0,0.0836009509087959,0,0,0,0,0,-0.275720489401973,0,0,0,0,0,0.311130408876896,0.088773063979609,0,0,0,0,0,0,0,0,0,0,0.263771214077608,0,0,0,0.0256595064207609,0.132292088480468,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0654808326251032,0,-0.0504594251207739,0.0320938058916937,0.0270908686058142,0,0,0,0,0,0,0,0,0,0,0,0,0.047449807179278,0.0419341731290809,0,0.121729025199421,0,0,0,0,0,0.100079511743572,0,0,0.00394366151447641,0,0,0.12813614163022,0,0,0,0,0,0.519896000348799,0.00495231432954898,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,-0.10879973463845,0,0,0.128570520266297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844329155612403,0,0,0,-0.113654623388561,0,0,0,0,0,0.0321149833087527,0,0.422117389766148,0,8.67361737988404e-19,0,0,0,0,0,0.143475669808639,0,0,0,0,0,0.212764640774476,0,0
X601336.CH.EQUITY,0.032940835931917,0.116343608706269,0,0,0,0,0,0,0,0.0190886192531073,0,0,0,0.100120290139075,0,0.0272484974604141,0,0,0,0,0,0.102855657982867,0,-0.164192297439884,0,0.112702959192478,0,0.202823720570745,0,0,0,0,0,0,0,0,0,0.772516836396966,0,0,0,0,0,0,0,-0.168390000799377,0,0,0,-6.93889390390723e-18,0.020384405643291,0
X601601.CH.EQUITY,0,0.363573278903125,0,0,0.00179310206303586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327705422559576,0,0.140942896597598,0,0,0,0,0.288524552424356,0.160623782325402,0,0,0,0,0,0.10684381369255,0,0,0.0489075870131272,0,-0.124818841577861,0,0,4.33680868994202e-19,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0359938231284729,0,0,0,0,0,0,0,0.0317433505206559,0,0,0,0,0,-0.0542673274157679,0,0,0,0,0,-0.0855419920430359,0,0,0,0,0,0,0,0,0.106902970189927,0.169825249885792,0.384798546227698,0.233865712853819,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0389328597974105,0
X1299.HK.EQUITY,0,0,0.403904557594009,0,0,0,0,0,0,0,0,0,-0.0666151208290148,0,0,0,-0.0938296973024193,0,0,0,0,0.019021318813936,0,0,0,0,0,0.0742163680347756,0,0.0608404924985972,0,0,0,0,0,0.074013941604453,0,0,0,0,0,0,0,0,0,0.172743312107773,0.0993025105065904,0,0,0,0,0.0279180081150539
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.159538099668446,0,0,0,0,0,0.0717945286376937,0,0,0,0,0,0,0,0,0,0,0,0.017626580587427,0.0679392478794381,0.150172635883386,0.0181080104661802,0.0111555042513242,0,0,0,0,0,0,0,0,0.0114808319134569,0,0,0,0,0,0,0,0.549660223073227,0,0.0309950815403231,0,0.146720510245776,0
X2882.TT.EQUITY,-0.0776236985554775,0,0,-0.0225013855962049,0,-0.0215277010733022,0,0,0,0,0,0,0,-0.0860962394431394,0,0,0,0.0907592199193824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500479237683669,0,-0.0100929195573432,0,0,0,0.0418455941624245,0.430139870217014,0,0.49364505659349,0,0,0.0608971230782951,-0.0768511867353908
X2883.TT.EQUITY,0,0,0,0,0,0,0.0553289217956681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250819230571993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563113434399075,0,0,0.0673440205146484,-0.0388761889552386,0.138494112006758
X2888.TT.EQUITY,0,-0.0482704611576059,0.00316113783605026,0,0,0.1442677129055,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,-0.0572265960614541,0,0.0880890057883281,0,0,0,0,0,0,0.042912794579403,0,0,0,0,0,0,0,0,0,0.183214746519047,0,0,0,0,0,0,0.46315419390123,0,0.160567104165391,0,0,-0.311985853782495,0
X267.HK.EQUITY,0,-0.27619132250303,0,0,0,0,0,0,0,0.959091316046374,0,-0.169077956072462,0,0,0,-0.0929839832290276,0,0,0,0,0.0853795650096552,0,-0.243633097514886,0,0,0,0,0,0,0,0,-0.0987940193319052,0,0,0,0,0,0,0,0,0.320861021799943,0,0,0,0.0766268102864358,0,0,0,0,0,-0.0255549177254909,0
TED,0,0,0.195880706583869,-0.214920492564776,-0.0839315083824492,0,0,0,0.149460191808089,0,0,0,0,0.0362311988356327,0,0,0.014637251114253,0,0.108763599149983,0.044742148770632,0,-0.0758647005843249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0652500652523706,0,0,0,0,0,0,0,-0.192825689182447
RealEstateDiff,0,0,0,0,0,0,0,0,0,0,0,0,-0.124788656550329,0,-0.0446824605038171,0.0861116426860619,0,0,0,0,0,-0.186647984230523,0,0.481771378995507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140582332808853,0,0,0,-0.301269243290405,-0.0552565582863876,0,0,0,0,0.101397890698417,0,-0.0486293414616633,0
