,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.192997407094614,0,0.132273498637812,0,0,0,0,0,0.102271726001383,0,0,0,0,0,0,0.111350264858225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104370709105058,0,0,0,0,0.0375827920419405,0,0,0,0.117188959237929,0.051242073349556,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.321490035807848,0,0,0,0,0.350995493900975,0,0,0,0,0,0,-0.204715435020365,0,0,0,0,0,0,0,0,0,0.0402998351589894,0,0,0,0,0,0,0,0,0,0,0,0.0677988115554246,0,0,0.0543171209241312,0.217891313364732,0,0.00256125670184844,0,0.165875383753966,0,0.0813747882250598,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.0398509275068591,0.0730525287905393,0,0.351698704405677,0,0,0,0.262003566002229,0,0,0,0,0,0,0,0,0,0.128880775843177,0.0157799812521099,0.188469563706592,0,0,0,-0.0550156916818024,0,0,0,0,0,-0.0218490169678859,0,0,0,0,0,0,0,0,0.0725063936028798,0,-0.0519292679517595,0,0,-0.0457074487755716,0
X600015.CH.EQUITY,-1.73472347597681e-18,0,-0.384555534998351,0,0,0.00769324516610243,0,0,0,0,0,0,0,0,0.515720863568299,0.113438124805278,0,0.621345845370709,0,0,0,0,-0.0175689759483894,-0.0516794012119992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,-0.195812505796061,0.0851568908505168
X600016.CH.EQUITY,0,0.16439507906678,0.146321170625321,0.270429435750795,0,0,0,0.0400522013781049,0,0,0,0,0.0301712482138374,0,0.0697104482591445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.175057251188953,0,0.219277709689906,0,0,-0.110566094383925,0,0,-0.0501103967659788,0,0,0.468598386571648,0,0.0627765682389665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623773792023759,0.0365337380364264,0,0,0,0,0,0.0658422386977614,0,0.056365004548931
X600919.CH.EQUITY,0,0.0119955301288571,0.0010165659250605,0,0,0,0,0.201445239931524,0,0.150508395974377,0.114756151502914,0,0,0,0,0,0,0.277929317404006,0,0.194156078919153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0420787016359341,0,0,0,0,0,0,0,-0.00533561593806346,-0.00240787999883307,0
X601009.CH.EQUITY,0.0950370513976791,0,0,0,0,0,0.307447947672767,0,0.0985357222614359,0,0,0,0,0,0,0.226330126611079,0,0,0,0.145166052343997,0,-0.0696535324578113,0,-0.0119217981981005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0.138148789838141,0,0.0965414449164656
X601166.CH.EQUITY,0,0,0.25211908254296,0,0,0,0.0246676914077075,0.131503259048897,0,0,0,0.270693051175329,0.214202382067874,0.0326357442066915,0,0.0783622694620061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0.0916101723989009,0,0,0,0,0.230925756107631,0.132264740839154,0,0,0,0,0,0.189234000063796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740627855133937,0,0,0.146789760603792,0,0,0,0.0430030837087636,0,0,0,0.00830947214851264,0.0623343531242378,0,0.0847195515447433,0.016370738644382,0,0,0
