,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2823.TT.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.190841200807798,0,0.165668663791758,0,0.125917406031627,0,0.311828260939976,0,0,0,0.0381475656851092,0,0.0895286279978636,0,0.0695591859678759,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.168651647698619,0,0,0,0,0.114983057329508,0,0,0,0,0,0,0,-0.190049327788967,0,0,0,0,0,0,-0.0673085280198299,0
X002142.CH.EQUITY,0,0,0,0,0,0.189265519373445,0,0.39880445414894,0,0.060296776060945,0,0,-0.212987375756827,0,0,0,0,-0.177837312595855,0.273201667238908,0,0,0,0,0,0,0.0694515233348834,0,0,0,0,0,0,0,0.102533303783443,0,0,-0.0461554251673319,0,0,0,0,0,0.0371040266750513,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.195134166021696,0,0.112395342244612,0.154085422695438,0,0,0,0,0,0,0,0,0,0,0,0.346671270111544,0,0,-0.0112997154230802,-0.104088128256444,0,0,0,0,0,0.0508592315024355,0,0.23064855809943,-0.0355289687730864,0,0,0,0,0,0,0,0,0,0.00622471803732388,0,-0.0070494832101179,0,0,0,0,0,0
X600015.CH.EQUITY,0.196520735958798,0,0,0,0,0,0,0,0,0,0.347808514121452,0.122948372262511,0,0,0,0,0,0.138798495186397,-0.00626462203883214,0,0,0.0315279660393772,0,-0.0445730476618079,3.46944695195361e-18,0,-0.122291686395253,0,0,0,0,0,0,0,0,0.0303536926063734,0,0,0,0,0,0,-0.00729433651417991,0,0,0,0,0,0,0,0.0673218379163223,0
X600016.CH.EQUITY,0,0.348421766763971,0.119075332575208,0,0,0,-0.0639382674553369,0,0,0,0,0,0,0,0,0,0.03289063810256,0,0,-0.265185804478603,0,0.0760880114313763,0,0,0.829744366050183,0,0,0,0,0,0,0,0,-0.106949445004084,0,0,0,0,0.202127895906204,0,0,0,0,0,0,0,-0.20352753666474,0,0,0,0.0929319867229918,0
X600036.CH.EQUITY,1.38777878078145e-17,0.178156162695153,0.0688377033168978,0,0,0,0,0,0.0444015337814631,0.148879423767047,0,0,0,0,0,0,0.196176696500272,0.0257209197867414,0,0,0,0,0,0,0.0309933399648515,0.0154804259516022,0,0,0,0,0,0,0,0,0.0404964913219073,0,0,0,0,0,0,0,0,0,0.237388560619384,0,0,0,0,0,-0.0344340145117554,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.225928153200571,0,0,0.0570995857856389,0.141051895275295,0,0,0,0,0,0,0.0589980338754911,0,0.224657894470661,0,0,0,0,0,-0.12684455297507,0,0,0,0,0,0,0,0,-0.0132987064857016,0,0,0,0,0,0,0,0.040282319031778,0,0,0,0,0,0,-0.0306707572743447,0
X600926.CH.EQUITY,0.166057622089878,0.183306379157455,0,0,0,0,0.0706022363832109,0,0,0,-0.0719665827110346,0,0,0,0,0.411899373489782,0,0,-0.0565721289105079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00890457621457932,0,0,0,0,0.0780083233248102,0,0,-0.115315644150412,0,0,0,0
X601009.CH.EQUITY,0,0.0970185562059877,0,-0.0326948948323398,-0.0814208742517788,0,0,0,0,0,0,0.295703733821739,0,0.0694742300118862,0,0,0,-0.0778092659847139,0,0,0.348026425887571,0,0.106282804983253,0,0,0,0,0,0,0,0,0,0,0.0229653081713958,0,0,0.082565860470297,0,0,0,0,0,0,0,0,-0.130246620370165,0,0,0,0,0,-0.0859585925218378
X601166.CH.EQUITY,0.237276569468165,0,0,0,0,0.632962930485872,0,0,0,0,-3.46944695195361e-18,0.195370996330575,0,0,0,0,0,0,0,0,0,0,0.0158340074207426,0,0,0,0,-0.0940367451318612,0,0,0,0,0,0,0,0,-0.136379592931584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499123061140576
