,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.464481165635393,0,0,0,0.363645175381977,0,0,0.0634819739823557,0,0,0.157554234030284,0.0119840663149574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103823613379771,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.172703336368389
X002142.CH.EQUITY,0,0,0,0,0,0.854578062201183,0,0,0,0,0,0,0,0,0,0,0,0.148638529421468,0,0,0,0,0,0,0.0643946610032133,-0.00791161357149627,-0.0871443300327558,0.129625718439165,0,0,0,-0.0222975167408397,0,0,0,0,0,0,0,0,0.0487511909201272,0,0,0,0,0,-0.186547292552353,0,0,-0.239808951576085,0,0
X600000.CH.EQUITY,0,0,0,-1.38777878078145e-17,0,0.343461324334509,0,-0.0553945806868833,0,0,0,0,0,0.541162196855631,0,0,0,0,0,0.22284512177255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149207947703173,0,0,-0.0389635657709614,0,0,0,0.0594948917690766,0,0,0,0
X600015.CH.EQUITY,0,0,0.0595335556059062,0,0,0.187888630974286,0,0,0,0,0,0,0,0,0,0,0,0.120838750290062,0,0.362172660165336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762861794435362,0,0,0,0,0,0.0073787451791817,0.0409504318046238,0,0,0,0,0.0320143556673442,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.21487761768763,0.0360853375581561,0,3.46944695195361e-18,0,0,0,0.147439010719438,0.18467812276862,0,0,0,0,0,0,0,0,0,0,0,0,-0.139428751622103,0,0,0,0,0,0,0,0,0,0,0,0.0777135008691766,0,0.207824546339894,0,0,0,0.0753418324582589,0,0
X600036.CH.EQUITY,0.194517222886114,0.133127495512225,0.0887687862164892,0,0,0,0.114631099872092,0,0.083772022038786,0,0,0,0,0,0,0,0,0.0661204499396568,0,0,0.0648692421606294,0.0265777383009225,0,0,-0.0209709453256832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25824525244429,0,0,0,0.0237879539257775,0,0,0,0.0639220121049108,0,0
X600919.CH.EQUITY,-0.0406514413444249,0,0,0,0,0.270031998965213,0,0.0292848108348421,0,0,0,0.465819692882863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505198032459689,0,0,0,0,0,-0.0470464489784992,0,0,0,0,0,0,0,0.321012776989323,0,0,-0.0308133412526917,0,-0.0567963381424558,0.146020736095001,-0.0911523116863892
X600926.CH.EQUITY,0,0,0,0,0,0,0.10175079056019,0,0,0,0,0,0.265603273912689,0.0792183558880807,0,0,0,0.0846507251160693,0,0,0,0,0,0,0,0,0,0,0,0,0.109674787247778,0,0,0.169405609938727,0,0.0147682589512619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0.395440306111314,0.0262914413013372,0,0,0,0,0,0,0,0,0,0,0.0974922408214581,0,0.177550488817704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149948017495647,0,0.0621603180513286,0,0.166610272778968,0,0,0,0,0.197535117858602,0,0
X601166.CH.EQUITY,0.10300824883619,0,0.0575957144224472,1.73472347597681e-18,0,0,0,0.113233283078918,0,0,0,0.0545770886419848,-3.46944695195361e-18,0,0,0.228792062976066,0,0,0,0.0405476459024953,0,0,0,0,0,0,0.181713376458234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107842818640097,0,0,0,0.0773075500843098,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.13596411503605,0.0836223403261324,0.0877633725841515,0.12780447615342,0,0,0,0.0879175431262574,0.0963447525083736,0,0,0,0,0,0.0645760303808566,0,0.0896661939457592,0,0,0.0377791193904293,0,0.0856832524763812,0,0,0,0,0,0,0,-0.0607302003196777,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0.0144721842758149,0.274526874643728,0,0.099945901698621,0,0,0,0,0,0,0.315148373805889,0,0,0.117629263805218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.196702554581407,0.0368360466353374,0,0,0,0,0,0,0.180965851935187,0
X601288.CH.EQUITY,0,0,0,0.0340818554181911,1.35525271560688e-20,0,0,0,0,0,0.000589823038398065,0,0,0.188192201038922,0.162945682557456,0,0.178208710944987,0.0859436583617248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210612411429248,0,0,0.00297687966924974,0.203775563667801,0,0,0,0,-0.0189529397503093,-0.0138097528677147,0,-0.0713344497512844,0,0
X601328.CH.EQUITY,0,0,0.134881652704014,0,0.0233070206341975,0,0,0,0,0,0.122403940405305,0,0.0140444813057392,0,0,0,0.00865182875425901,0.120419742031937,0,0.107296091427527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181568143201178,0,0.132826629661976,0,0,0,0,0,0,0,0,0,0,0,0.160568633341045,0,0
