,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.308352123854957,0,0,0,0,0.368206497616829,0,0,0,0,0,0,0,0.0349679934647511,0,0,0,0,0,0,0,0.131251450856619,0,0,0.0292639751126867,0,0,0,0,0,0,0,0,0,0,0.105984611498161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.21006204061539,0,0,0,0,0,0.204866869896024,0,0,0,0.0176512403348422,0,0.154260711005073,0,0.0267464469189498,0.00583034932278165,0,0,0.104544605175575,0,0,0,0,0,0,0,0,0,0.0906502824286674,0,0,0,0,0.0881941326708345,0,0.0668139879219042,0,0,0,0,0,0,0,0,0.00177532050170186,0,0,0,0,-0.0498480596356765
X601939.CH.EQUITY,0.470285047115372,0.0814099758876744,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0919163632163374,0,0,0,0,-0.134885753933886,0,0.079709884777754,0,0,0,-0.0650664714228024,0,0,0.210361973732579,0,0.245205083545971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147578793594348,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.527232896383943,0,-0.0769150462964847,0,0.075085739010837,0,0,0,0,0,0.00730483797957299,0,0,0,0,0.0700140679862947,0.139793431483686,0,0,0,0,0,0,0.120082158246017,0,0.0333763737246284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425032617983218,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.20792706767096,0,0.114634429207585,0,0,0,-0.0767421375815755,0.202106462389972,0,0,0.0966674918644042,0,0,0,0,0,0,0,0.103692918152043,0,0,0.00347990062056862,0.0260964772891404,0,0,0.0261118652088448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371141747774648,0.0323084332918194,0
X1299.HK.EQUITY,0,0,-0.271334870542536,0,0,0,0,0,0,0.173204098983741,0,0,0,0,0.104758026485698,0,0,0,0,0,0,0,0.0710731667096023,0.0128144869127579,0,0,0,0,0,0,0,0,0.228615130548285,0,0,0,0,0,0.188247059963164,0,0.0347220210465591,0.0931647291013046,0.308334812646396,0,0,0,0,0.218365889214607,0,0,0,0
X601628.CH.EQUITY,0.173030706848946,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.0162470889245373,0,0,-0.238464181336477,0,0,0,0,-0.0629044225566705,0.189889549353179,0,0,0.00215877384929019,0,-0.14282682094483,0,0,0,0,1.73472347597681e-18,0,0,0.613242900353473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.080021133516303,0,0.0906754663838317,0.34214250017533,0,0,0,0,0,0,0,0,0.231829186891078,0,0,0,0.11263602435693,0,0,0,0,0,0.0170751701820502,0.0383980734283597,0,0,0,0,0,0.130697472663023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19
X5.HK.EQUITY,0,0.275958772472672,0,0,0,0,0,0,0,0,0,0,0,-0.209196650277715,-0.0212755389297262,0,0,0,0,0,0,0,0.26637944739496,0,0,0.142792109906734,0,-0.0430070339311808,0,0,-0.0391682459619432,0,0.0848226859507672,0,0,0,0,0,0,0,0.354690378429534,0,0.137812443260623,0,0,0,0.0124316570060585,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.282815958526227,0.200032717856241,-0.0481018683278315,0,0,0,0,0,0.0549624028540737,0,0,0,0,0,0,-0.0499524552171666,0,0.495696944231833,0,0,0,0,0,0,0.0526690024766923,0,0,0,-0.123829621180817,0,0,0,0,0,0.119213924595875,0.137128072728384,0,0,0,0,0,-0.157534273529014,0,0.0865291888729104,0,0,3.46944695195361e-18,0
