,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0319702971730846,0,0.310781189626619,0.125691618350994,0,0,0,0,0,0,0,0,0,0,0,0.265355017068267,0,0,0,0,0,0,0,0,0.0280955515364097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106543486578552,0,0.047068869955282,0,0.0246707893489706,0,0.0431310914436952,0,0.11754871164398,0.0637393161710611,0.0496221873438586
X601318.CH.EQUITY,0,0,0,0.256900980166827,0,0,0,0,0.179555102197461,0,0,0.00735932826766,0.0280274829031541,0,0,3.46944695195361e-18,1.73472347597681e-18,0.0817710364593734,0,0.0981375620447924,0,0,0,0,0,0,0,0,0.0246333693353386,0,0.0887557562556851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112939649965561
X601939.CH.EQUITY,0,0,0,0,0.132651847430701,0,-0.00812762944954714,0,0,0,0,0.123034002380956,0,0.0804500307198941,0,0,0,0,0.0413404007436703,0,0,0,-0.103323673543946,-0.0169419659113978,0.582825054262577,0,0.152843976710625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310240430678373,0.0359561207876474
X600036.CH.EQUITY,0,0.201073957102411,0,0,0,0,0.134117277763385,0.0967049364386739,0,0,0,0,0.189113659703234,0.0855229598444754,0,0,0,0,0,0,0,0,0,0,0,0.254554640009698,0,0,0,0.0610002505762649,0,0,0,0,0,0,0,0,0,0.0271489578712545,0.01054967985364,0,0,0,0,0,0,0,0,0,0,0.00291731128832567
X601288.CH.EQUITY,0.0761312824749059,0,0.195063934270101,0,0,0.11280237845017,0,0.232442691564146,0,0,0,0,0,-0.0405318998815837,0,0.0350794143763789,0,0,0,0,0,0,0,0,0,0,0,0.0629216201878926,0,0,0,0.102402529191062,0,0,0,0,0,0,0,0,0,0.13256916071824,0,0,0,0,0.138903273632924,0,0,0,-0.0943810187057787,0
X601628.CH.EQUITY,0.010145197295389,0,0,0,0,0,0,0,0,0,0,0,0,-0.181775165978421,0,0,-0.0558203100817034,0,0.0643305447897332,0,1.73472347597681e-18,0,0.107685041172501,0,0,-0.085350324937523,0,0,0,0,-0.0360310255793368,0,0,0,0.738001812634032,0,0,0,0,0,0,0.087716969931466,0,0,0,0,0.207663490225856,0,0,0,-0.0553232089124375,0
X1299.HK.EQUITY,0,0,-0.0792155985887133,0,0,0,0,-0.0453496386714783,0,0,0.140583938186715,0,0,0,0,0,0,0,0,0,0,0,0.0500137288024596,0.108492031846139,0,0,0,-0.243820840646739,0,0,0,0.0189985052552057,0,0,0,0,0,0,0,0.265605496789621,0,0.236707302726375,0.116459484416629,0.225242000446279,0.0273051378806607,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.394126612227883,0.170407909181635,0,0,0,0,0,0,0,0,0,0,0,0,0.200354290057817,0,0,0.0115949757274072,0,0,0.168940114178014,0.135808872622873,0.0397623061160013,0,0,0,0,0.0755945581657927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327563883014576
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0321417362226602,0,0,0.0102978590500505,0.0189067355936199,0,0,0,0,0,0,0,0.207579517807252,0,0.0995959605696495,0,0.128283488832825,0,0,0,0,0.0296042071873062,0,0,0,0,0,0,0,0.0128469018861841,0,0.243997196374554,0,-0.0669064109754708,0,0,0.191378691863904,0,0,0,0,0.0830381402733988,0,0,0
X601166.CH.EQUITY,0,0,0.0502891637275625,0.0572480191547245,0,0.0276197282403534,0,0,0,0,0,0.0193902668288553,0.106100295051727,0.0682136422803028,0,0,0,0,0,0,0,0,0,0,0,0.163805283118531,0,0.368978664875556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00490714768127694,0,0,0,0
