,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.243677502795989,0,0.178320030729,0,0,0,0,0,0,0.198883266936196,0,0,0,0,0,0,0,0,0,0,0,0.0492128872771042,0,0,0,0,0,0,0.129546120267001,0,0,0,0,0,0,0,0,0,0,-0.0640384647634882,0.0398882641716012,0,0,0,0,0,0,0.0232983795317467,-0.0109082784369355,-0.209673416972567,0
X601939.CH.EQUITY,0.440489004491415,0,0,0.287786788161952,0,0,0,0,0,0,0,0,0,0.0593432038957268,-0.185973354001566,0,0,0,0,0,0,0,0,0,-0.0198441091277453,0.1899626776256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629374960705297,0.0641568902561084,0,0.00523240037202188,0
X601318.CH.EQUITY,0,0,0,0,0.152115166501465,0.160675004362274,0,0,0,0,0,0,0.0309731349727221,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.136964652411634,0,0,0,0,0,0.0569381609425964,0,0.0308150399255032,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.296449276161337,0.0946192502339664,0,0,0.174297170430356,0,0,0,0,0,0,0,0,0.185029069917145,0,0,0,0,0.0448072092773537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119220086116092,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.483246582085253,0,0,0,0,0,0.309383214235508,0,0,0,0,0,0.1900112425051,0,0.142600268172884,0,0,0.0541285967688393,0,0,0,0.0378384597918113,0,0,0,0,0,0,0,0,0,0,0,0,-0.528310568655008,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.258416726016235
X600036.CH.EQUITY,0,0.0497155769118132,0,0,0,0,0,0,0,0,0,0,0.169956245410219,0,0,0,0,0.0286581620071508,0,0,0,0,0.207922070839346,0.0133369061141834,0,0,0,0,0,0,0,0,0.357851777411675,0,0,0,0,0,0,0,0,0.112122804037779,0,0.142496506280359,0,0,0,0.00287919795755973,0,0,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.212712225115564,0,0,0.434887920551538,6.93889390390723e-18,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0708877243005617,0,0,0,0,0,0,0,0,0,0,0.0405805293098921,0,0.0777521349194106,2.16840434497101e-19,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,-0.166164828075996,0,0,0,0,0.164918119143149,0,0,0,0.073390845031868,0,0.219283650731903,0.0668152302263719,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.215452714507341,0,0,0,0,0,0.183303080786451,0,0,-0.0746925370250192,-0.0181933193228369
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363041620748175,0,0,-0.0781773693335529,0,0,0,-0.405456192643432,0,0.629779554417928,0,0.0661278580007786,0,0.695753463613482,0,0,0,0,0,0,0,0,0,0,0.0433631222816394,0,0,0,0,0,0,-0.135913218946036,0,0.257831407142272,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.0832432618321012,0,0,0,0,0,0,-0.0971891651629834,0,0.189830664241166,0,0,-0.209069187209649,0.125362136293634,0,0,0.230004736955504,0,0,0,0,0,0,0,0,0.10653243355586,0,0,0,0,0,0.477426644513164,0,0.163454755379831,0,-0.171495533143942,-0.145741939850468,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0
