,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.393426614233277,0.0210244133328935,8.67361737988404e-19,0,0,0,0,0,0,0.191057671712726,0,0,0,0,0,0,0,0.108200986961186,0,0,0,0,-0.00416023299181537,0,0.0997965390247375,0,0,0,0,0.00219249528614972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607334779384131,-0.122887355912949,0
X601939.CH.EQUITY,0.485330790514247,0,0,0.104705730140857,0,0,0,0,0,0,0.184465290940117,0,0,0,-0.0118603298198826,0,0,0,-0.0387451339546187,0,0,0,0,0,0,0.164492975717558,0,0,0,0,-0.0427720157514588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370917469155107,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.198156499375944,0.0621907706688688,0,0,0,0,0,0,0,0,0.128575101110016,0,0,0,0.298399979833065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128483813635319,0,0,0,0.137835043980967,0,0,0.0024695014786768,0,0,0,0,0,0
X601288.CH.EQUITY,0.297060460328565,0.0954214774983057,0,0,0.176922060728795,0,0,0,0,0,0.00184121587445264,0,0,0.190623831894814,0,0,0,0,0,0,0,0.0461937861121602,0,0,0,0,0,0,0,0,0,0,0,0.123627320505983,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.412308800261847,0,0,0,0,0,0.292040961502681,0,0,0,0,0,0.299394628523896,0,0.0810538605810051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.383508738241955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158094355018572
X600036.CH.EQUITY,0,0.0701972807741554,0,0,0,0,0,0,0,0,0,0,0.18392108593983,0,0,0,0,0,0.283818284866045,0,0,0.00825164070547075,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.283112441305676,0,0,0,0,0,0.00524398792776536,0,0,0.0664365613614318,0.0509361291130863,0,0.0209442353884179,0,0,0,0.0947243138612384,0,0,0,0
X1299.HK.EQUITY,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0886131500631273,0,0,0.182195509932174,0,0,0.292118501785189,0,0,0,0,0,0,0.136809405439325,0,0,0,0,0.0906373082281115,0,0,0,0,0,0,0,0,0,0.150536458713782,0,0.0365261062105145,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255933440845894,0,0,-0.222294616554644,0,0,0,0,0.269289882469945,-0.150280726947219,0,0.226036449711313,0,0.799355476071714,0,0,0.0930466751433813,0,0,0,0,0,0,0,-0.0295136175365718,0,0,0,0,0,-0.158507003413962,0,0,0.271652909233044,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0418042815659573,0,-0.14441757706869,0,0,0,0,0,0,0.346851785875308,0,0,0,0,0,0,0,0,0,0,0,0.00805620927417035,0.0323794681211045,0,0,0,0,0,0,0,0,0.343446729791939,0,0,0,0,0,0,0.0271323432184522,0,0,-0.174781680717185,-0.0307606790959098
X601658.CH.Equity,0,0,0,0.141296064092241,0.140231995186326,0,0,0,0,0,0,0,0,0.107869176697364,0,0,0,0,0,0,0,0,0,0,0,0,0.0626258240943918,0,0.0988726716182839,0,0,0,0,0,0,0,0,0.259908534991455,0,0,0,0,0,0,0,0,0,0,0.37307023889184,0,0.0394884216460915,0
