,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.525942324631805,0,0,0,0,-0.0254381355237575,0,0.0419953781424823,0.177549829833766,0,0.187617675021679,0,-0.0234953155461266,-0.0164891269366052,0.0474610974697096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697321244259754,0,0,0,0,0,0,0,0,0,0,0.0673322668221636,-0.0273318330832949,0.0394397067646298,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0346433515434479,0.0945445840210649,0.277248370637709,0,0,0,0,0,0,0.0579182988992768,0.343648635499048,0.0896270218671563,0,0,0.0649152263144058,0,0,0,0,0.018273906169947,0,0,0,-0.0415729025961222,0,0,0,0.00118415628160615,0,0,0,0,0,0.0623225822696578,0,0,0.00108603778837392,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.145566473083027,0,0,0.509688518051234,0,0.0756772977361696,0,0,0,0,0.0293969065561184,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0565237161588871,0,-0.0219473962178653,0,0,0,0.0882514117874084,0,0,0,0,0,0,0,0,0,0,0,0,0.0244874680095684,0,0,-0.0187159669959445,0
X601288.CH.EQUITY,0,0,0.203920921916171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185909705166257,0,0,0.175075879961946,0,-0.00877474717702851,0,0,0,0,0,0,0,0,0,0,0.0112520375650036,0.23415775802745,0,0,0,0,0,0,0,0,-0.0170375008977454
X5.HK.EQUITY,0,0,0.0811544216742227,0,0,0.232755485603618,0,0.169426670116358,0,0,0,0.311242144683264,0,0,0,0,0,0.112769593551028,0.00317666457789988,0,-0.221109934184896,0,0,0,0,0.274016658571774,0,0,-0.122183289218003,0,0.0209040220942964,-0.0610602838621036,0,0,0.142720627129642,0,0,0,0,0,0,0,0,0,0,0,0.119731014201466,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.24770764557176,0,0,0.0942865623568071,0.0224132187870155,0.228664366138289,0,0,0.0456827706496907,0,0,0,0,0,0.0981594892622567,0,0,0,0,0,0.212403859002606,0.0622659051846623,0,0,0,-0.0851295453282101,0,0,0,0,0,0,0,0,-0.0756542716800951,0,0,0,0.202757433751413,0,0,0,-0.016103940393578,0,0,-0.057854783120133,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.00622947882497065,0,0,0,0,0,0,0,0,-0.0447403788353147,0,0,0,0,0,0,0.732564355681834,-0.0175144698863657,0,0.0694807597876325,0,0,0.102019555183628,0,0,0,0.0166767228648256,0,0,0,0,0,0,0.105284163974008,0,0.0657440983942339,0,0,0,-0.0147005032890261,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.23283541797318,0,0,0,0,0,0,0,0.0485956319149767,0,0,0,0,0,0.0719014061062176,0,0,0,0,0,0,0.0259020682320554,0.0286543219388933,0,0.110417593304609,0,0,0.240950714487733,0,0,0.177243312885104,0,0,0,0,0,0,0,0,-0.0365826039548072,0,0.0812101146080779,0,0,0,0,0.0945512568850911
X601628.CH.EQUITY,0,0.156185063513296,0,0.0394612177284657,0,0,0,0,0,0,0,0,0,0,0,0,0.0672580476261659,0,0,0,0,0,0,0,0.146672328199558,0,0,0,0,0,0,0,0,0,0,0,0,0.377294316328517,0,0,0.126307405846673,0.0634492795539157,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.232240163919677,0,0.0704156203195173,0,0,0,0,0,0,0,0,0.340339427441318,0,0,0,0,0,0,0.00745988911033271,0,0,0,0.34693812610623,0,0,0,0,0,0,0,-0.0234147792295507,0,0,0.057120797230444,0,0,0,0,0,0,-3.46944695195361e-18,0.0481841592014877,0,0,0,-0.0338675173372229,0.103130945211546,0,0,-0.0409719415835069,0
