,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0799728484167638,0,0.66020821697486,0,0,0,0,-0.0264454350378533,0,0,0,0,0,0,0,0,0.118454181053127,0,0,0,0.031277225117691,0.0117929793793038,0,0,0,0,0,0.0503884988299666,-0.0172623202895929,0,0,0,0,0,0,0.00164589137944107,-8.67361737988404e-19,0,0,0,0,0,0.00345379577053147,0,0,0,0,0,0.0286756074667234,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.140590171101797,0,0,0,0,0,0.473352464591733,0,0,0,0,0,0,0,0,0,0,0,0.036078660030765,0,0,0,0,0,0.0882344443091586,0,0,0,0,0,0.0678141964668381,0,0,0,0,0.00403565795049772,0,0,-0.115650175031368
X601939.CH.EQUITY,0,0,0,0,0.216435406480054,0,0,0,0,0.11999523664013,0.144435995763931,0,0,0.0231004726273243,-0.0189844045077696,0.172615363869289,0.163518279510961,0,0,0,0,0,0,0,0,0.0348688763447358,0,0,0,0,0,0,0,0,0,0,0,0,0.120381909878571,0,0,0,0,0,0,0,0,0,0,0,0,0.0476198567718686
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.148510461125239,0,0,0.240565115599956,0,0,0,0,0.347095939178371,0,0,0,0.166311548687524,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.00889264489612704,0,0,0,0.063763804991491,0,0,0,0,0,0,0,0.0752279432785497,0,0,0.1544048470146,0,0,0,0,0
X601288.CH.EQUITY,0.161109469266473,0,0.00248435210287095,0,0,0,0,-0.0483116913280037,0,0.0156414074029134,0,0,0,0.021097697611866,0,0,0.621521716845169,0,0,0,0,0,0,0,0,0,0,0,0.0239627535692452,0,0,0,0,0,0,0,0.0688273623976955,0,0,0,0,0,0,0,0,0,0.0411645744407552,0,0,-0.0493921894161884,0,0
X600036.CH.EQUITY,0,0.247150588042726,0,0,0,0,0,0.0488699795856213,0,0,0,0,0,0.266660668678163,0,0,0,0,0.121978212611666,0,0,0,0,0,0,0.253508835826549,0.000782197138209388,0.056494260571018,0,0.081663529533699,0,0,0,0,0,0,0,0.00910078100931154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.269069529008148,0,0,0,0,0,0,0,0,0,-0.105551761036276,0,0,0,0,0.0116774089372921,0,0,0,0.0215846857725752,0,0,0,-0.0644987467851206,0,0,0,-0.15373857677967,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0228591555695271,0,0.0234467500388408,-0.0477897221410089,0.938848030071618,0,0.0752745746849785,0
X1299.HK.EQUITY,0,0,-0.152138371729554,0,-0.074574109350655,0,0,0,0,0.252954121990303,0,0,0,0,0,0,0,0,0,0,-0.150251235006766,0,0,0,0.181847778481644,0,0.376557386320302,0,0,0,0,0,0,0,0,0,0.0873834092288278,0.0866459468017794,0,0,0,0.0112315094486381,0.0632288838228294,0,0.134397924282953,0,0,0.0872084766115916,0,0,-0.0295698574777486,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.270490200060291,0,0,0,0,0,-0.121811982181563,0,0,0,0,0.180271186166044,0,0,0,0.0314642657064577,0,0,0.373488971976855,0.0450687827768781,-0.0784884434841425,0,0,0,-0.0894942658380662,0,0.107028495523347,0,0,0,0,0.195289334418971,0.0193725898060475,0.187410427917116,0,0,0,0,0.140668555116379,0,0
X388.HK.EQUITY,0,0,0,0.136781364427184,0,0,0,0.0584282923497222,0,0,0,0,0,0.0600684808556706,0,0,0,0,0,0,0.0653535638761311,0.121911928700078,0,0,0.0785919611924438,0,0,0,0,0,0.178978489046363,0,0,0,0,0,0.0702370177995394,0.10220945146094,0.185329164430319,0,-0.302931232557229,0,0,0,0.034251774259342,0,0.254943511631546,0,0,0,0,0
