,n,mean,sd,median,min,max
StockReturn,973,4.91E-05,0.019763139,0,-0.448928509,1.400779294
Mktcap,973,128879.1557,526788.7246,9516.486,5.1849,5618400
MKRturn,973,-0.000462441,0.025488291,-0.000257301,-0.18727586,0.192611982
TED,973,0.442129496,0.21099134,0.4467,-0.2163,1.0958
RealEstateDiff,973,-0.000209238,0.011073645,-0.000703862,-0.046009821,0.053787203
FRM_5P,910,1.344 ,0.217 ,1.283 ,1.053 ,2.456 
FRM_1P,910,0.224 ,0.025 ,0.221 ,0.182 ,0.322 
FRM_10P,910,3.162 ,0.608 ,2.954 ,2.435 ,5.747 
VaR_5P,910,-0.026 ,0.009 ,-0.024 ,-0.101 ,0.011 
DeltaCoVaR,848,-0.085 ,0.023 ,-0.081 ,-0.370 ,-0.018 
DAG,791,6.514 ,1.561 ,6.560 ,2.880 ,11.120 
GDC,954,0.062 ,0.023 ,0.060 ,0.017 ,0.186 
PCA_1,954,47.873 ,11.451 ,46.049 ,24.093 ,82.857 
TCI,793,84.441 ,6.078 ,83.658 ,75.402 ,98.000 
MKVola,910,0.024 ,0.010 ,0.019 ,0.011 ,0.049 
