date,IND & COMM BK OF CHINA-A,PING AN INSURANCE GROUP CO-A,CHINA CONSTRUCTION BANK-A,AGRICULTURAL BANK OF CHINA-A,HSBC HOLDINGS PLC,BANK OF CHINA LTD-A,CHINA MERCHANTS BANK-A,AIA GROUP LTD,CHINA LIFE INSURANCE CO-A,POSTAL SAVINGS BANK OF CHI-A,INDUSTRIAL BANK CO LTD -A,BANK OF COMMUNICATIONS CO-A,SHANGHAI PUDONG DEVEL BANK-A,CHINA VANKE CO LTD -A,PING AN BANK CO LTD-A,SUN HUNG KAI PROPERTIES,HONG KONG EXCHANGES & CLEAR,CHINA PACIFIC INSURANCE GR-A,PICC HOLDING CO-A,CITIC SECURITIES CO-A,HANG SENG BANK LTD,CHINA OVERSEAS LAND & INVEST,CHINA MINSHENG BANKING-A,BOC HONG KONG HOLDINGS LTD,CHINA CITIC BANK CORP LTD-A,CITIC LTD,CHINA RESOURCES LAND LTD,COUNTRY GARDEN HOLDINGS CO,CSC FINANCIAL CO LTD-A,CHINA EVERBRIGHT BANK CO-A,POLY DEVELOPMENTS AND HOLD-A,CK ASSET HOLDINGS LTD,HUATAI SECURITIES CO LTD-A,HENDERSON LAND DEVELOPMENT,GUOTAI JUNAN SECURITIES CO-A,BANK OF NINGBO CO LTD -A,LINK REIT,HAITONG SECURITIES CO LTD-A,CHINA MERCHANTS SHEKOU IND-A,NEW CHINA LIFE INSURANCE C-A,BANK OF SHANGHAI CO LTD-A,CATHAY FINANCIAL HOLDING CO,WHARF REAL ESTATE INVESTMENT,CHINA MERCHANTS SECURITIES-A,SHENWAN HONGYUAN GROUP CO-A,BANK OF BEIJING CO LTD -A,HUAXIA BANK CO LTD-A,FUBON FINANCIAL HOLDING CO,EAST MONEY INFORMATION CO-A,GF SECURITIES CO LTD-A,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
IND & COMM BK OF CHINA-A,0,0.26968320675495,0,0.260291815496534,0,0,0,0,0,0,0,0,0.267646893353264,0,0,0,0.0311673130648274,0,0,0,0,-0.145929963902996,0,0,0,0,-0.0477998342601643,0,0,0,0,0,0,0,0,0,0,0,0,0.0693693022263992,0,0,0,0,0,0,0,0.0716657475406294,0,0,0,0,0,-0.0142073340143798
PING AN INSURANCE GROUP CO-A,0,0,-0.0765409430982826,0,0,0.0415651189208226,0,0,0.21258557151595,0,0,0,0.130113729193714,0,0,0,0,0.222393375621042,0,0,0,0,0,-0.0617846875384368,-0.00848631063602044,0,-0.0821640143477496,0,0,0,-0.167667001705847,0,0,0,0,0.252620859517132,0,0,0,0.196388112007694,-0.224396713953392,0,0.267342462947395,0,0,0.25116774291029,0,0,0,0,0,0,0,-0.0547185345698287
CHINA CONSTRUCTION BANK-A,0.610634828776131,0,0,0,0.0242956326816753,0,0,0,0,0,0.13695001254277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351116070232806,0.00598501472403133,0,0,0,0,0.0435150443062576,0,0,0.259046291904154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRICULTURAL BANK OF CHINA-A,0.473166780335571,0,0.00490408199386711,0,0,0.27848425828831,0,0,0,0,0,0,0,0,0,0,0.0764688784646993,0,0,-0.00919035042649157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177972760829502,0,0,0,0,0,0,0,0,0,0,0,-0.0110849506973176,-0.0553275936544769
HSBC HOLDINGS PLC,0,-0.194719969185698,0.0540002112077854,0.158176090008729,0,0.0890954871335521,0,-0.071361310252858,0,0,0,0.0277902645257045,0.165424676874279,0,0,0,0,0,0,0,0.486812126364591,0.0121781079264568,0,0,0,0,0,0,0,0,0.322987896099396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200701752367304,-0.00899286737173142,0,0,-0.0981819149576209,0,0
BANK OF CHINA LTD-A,0.163389801259037,0.144727625936231,0.231007035839653,0,0,0,0,0,0.110522566437838,0,0,0.0748601686928672,0,-0.125577559106948,0,0,0,0,0,0,0.0323113237052828,0,0,0,0,0,0,0,0,0,0,0,0,0.150326723452814,0,0,0.141589419831636,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0
CHINA MERCHANTS BANK-A,0,0,0,0,0,0,0,0.14282270168808,0,0,0.0566496215045637,0,0.122622078693598,0,0.35326700724479,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0210661206087481,0,0.0923542170675083,0,0,0.123856633488556,0,0,0,0.0663200942909286,-0.0489737846699111,0.0448911047807882,0,0,0,0,0,0,0,0,0,0.0235447602248498,0,0,0,0,0,0.00752355443107382
AIA GROUP LTD,0,0,0,0,0,0,0,0,0,0,0.0462582296333993,0,0,0,0,0,0.242720123789051,0,0,0,0.0929810081053109,0,0,0,0,0.33035957533906,0,0.180087214379814,-0.041133931877853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHINA LIFE INSURANCE CO-A,0.267656765452428,0.143444994856035,0,0,0,0,0,0.116469050736655,0,0,0,0,0,0,0,0,0,0,0,0,-0.251762826672435,0.0602445281688428,0.0710314739676055,0,0,0.0127920554782781,0,0.033116912377475,0,0,0,0.148105811931954,0.108843545996397,0,0,0,-0.0608232601240836,0,0,0,0,0,0,0,0,0,0.0649292752026608,0,0,0,0,0,0.111795209165162,0
POSTAL SAVINGS BANK OF CHI-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.356927925562843,0,0,0,0,0,0,0.502265687853251,0,0,0,0,0.111993433180804,0,0,0,0,0,0,0.241549817006585,-1.73472347597681e-18,0,0,0,-0.386216355667042,0.223364749500532,-0.123660000356015,0,0.23682495256773,0,0,0,-0.21356566417829,0,-0.0853808908419477,0,0,0,-0.256567454208604
INDUSTRIAL BANK CO LTD -A,0,0,0,0,0,0,0.469058083412125,0.0235103643684247,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0478804114653375,0.0959219594470281,0,0,0,0.353640978119649,0,0,0,0,0,0,0,-0.000831230751017383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00645067158158311,0
BANK OF COMMUNICATIONS CO-A,0,0,0.0848522476491849,0,0,0,0,0,0,0,0,0,0.548045601060475,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0342354242081059,0,0,0,0,0,0,0.0548487949007285,0.141156269312249,0,0,0,0,0,0,0.0540306906716232,0,0,0,0,0,0,0,0,0,0,0,0,0
SHANGHAI PUDONG DEVEL BANK-A,0,0.0210588145488582,0,2.16840434497101e-19,0.152215935752782,0,0.0019656468302267,0,0,0,0,0.26407982846458,0,-0.0676022600584114,0.452613018882116,0,0,0,0,0,-0.0817714012007811,0,0,0,0,0,0,0,0,0,0,0,0,-0.0326147725123366,0,0,0,0,0,0,0,0.0389931798800439,0,0,0,0.261717593016058,0,0,0,0,0,0,0,0.0705724050553043
CHINA VANKE CO LTD -A,0,0.0408265445291014,0,0.0548256557302363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951784028983753,0,0,0,0,0,0,0,0.496597076773109,0.0241346986400027,0,0,0,0,0,0,0.241759311273611,0,0,0,0,-0.155439966650031,0,0,0,0,0,0,0,0,0,0
PING AN BANK CO LTD-A,0,0.0381132579069408,0,0,0,0,0.281370909673752,0,-0.109474138779612,0,0,0,0.219912277403898,0,0,0,0,0,0.112081072771507,0,0,0,0,0,0.00903824226589637,0,0,0,0,0.23877237345865,0,0,0,0,0,0.287085088695281,0,0,0.102145731996595,0,0,0,0,0.10149668050522,0,0,0,0,0,0,0,0,0,0
SUN HUNG KAI PROPERTIES,0,0,0,0.0950147788455011,0,0,0,0,0,-0.100427146524018,0,0,0,0,0,0,0,0,0,0,0,0.00790520344113559,0,0.354006030228769,0,0,0.0112940479935124,0,0,0,0,0.296872032983127,0,0.025629536195556,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609500118051382
HONG KONG EXCHANGES & CLEAR,0,0,0,0.077089444237655,0,0,0,0.0383002954045348,0.0964232662855683,0.00429490202799662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477888130662175,0,0,0.0646112407085172,0,0,0,0,0.0606157436164918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0468377904940727,0,0,0,0
