,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.161359600280243,0,0.0962083329494002,0,0,0,-0.0790646486525115,0,0,0,0.446475851971148,0,0,0,-0.107969836445419,0,0,0,0,0,0,0,0,0,0,0,0,0.0719381377822173,0,0,0,0,0,0,0,0,0,0.118641655527467,0,2.16840434497101e-19,0,0,0.182434262196886,0,0,0,0.012814025590995,0,0,0,-0.0376221263080122
X601318.CH.EQUITY,0,0,0,0,0,0.135906882812954,0,0,0.11049434309816,0,0.17912115679454,0,0,-0.0751814077910977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125517181999792,0,0,0,0,-0.218526956701082,0.261600456257564,0,0.0739126394152303,0.129051527236037,0,0,0,0,0,0.208454998081984,0,0
X601939.CH.EQUITY,0.168881167260864,-0.00123644177221008,0,0.296580971255004,0,0.113143709081519,0,-0.0730797950995708,0,0,0,0,0,0,0.0717319607564187,0,0,-0.0188197840199281,0,0,0,0.103167212248941,0,0,0,-0.0686653178362032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486977995119806,0,-0.0311384054512169,3.46944695195361e-18,0,0,0,0,0,0,0.0205226481269567,-0.0342535195481821,0
X601288.CH.EQUITY,0.430423239683059,0,0.225897399211034,0,0.0908701233767336,0.110496484571852,0,0,0,0,0,0,0,0,0,-0.0393558044322215,0.00467540823882633,0,0,0,0,0,0,0,0,0,0.0121564826300817,0,0,0,0,0,0,0,-0.0646692476678308,0,0,0,0,0.177988155953401,0,0,0,0,0,0,0,0,0.105358625402439,0,0,0.0832030216775394
X5.HK.EQUITY,0,-0.0897789921107537,0.0137503193543322,0.283358546458902,0,0,0,-0.235386717693479,0,0,0,0,0.115179376136046,0,0,0,0,0,0,0,0.593258107778796,0,0,0,0,0.234100102353409,-0.0197450505010604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218196294314359,-0.0831087406196752,0,0,0
X601988.CH.EQUITY,0.144740097834424,0,0.125029737147816,0.152624466972852,0,0,0,0,0.10945331416624,0,0.103378235793836,0,0,-0.260234766005132,0,0,0,0,0,0,0,0,0.0692580338259583,0,0.248675422457191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116515108552065,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0874671279265292,0,0,0,0,0.0156322065732033,0,0.289933574983162,0.212425875829871,0,0,0,0.0351878606594098,0.0799357627503917,0,0.00334318441953151,0,0,0,0,0,0,0,0,0.07117761651264,0,0,0.0421928728778282,0,0,0.0176547104687572,0,0,0,0,0,0,0,0,0.108325231289933,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0341777185835343,0.0696090145139804,0,0,0,0.140514074533749,0,0,0,-0.146559465625866,6.93889390390723e-18,0,0,0.376508937312508,0,0.25405702249349,0,0.0430246346186673,0,0,0,0.104995465246691,0,0,0,-0.00407050968914174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.187708314016093,0.3251433635749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061326606004616,0,0,0,0.0574895188830261,-0.0246940345061572,0,0,0,0,0,0,-0.0278395688472986,0,0,0.0480887880000504,0.0745555319097134,0,0,0,0,0,0,-0.302914824693457,0,0,0,0,0.147486836610482,-0.115306772275597,0,0,0.193697499994646,0,0,0.064455936359457,0.0896372677422965
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504666697594911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
