,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.300112997241083,0,0.397750410194868,0,0,0,0,0,0,0.0897790121321133,0,0,0,0,0,0,0,0,0,0.0459736631103758,0,-0.0538136423474665,0,0,0,0,0,0,0,0.0258462681294857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209412345658862,0.0550935238620463,0,0.105775590508858,0
X601939.CH.EQUITY,0.373532199104277,0,0,0.243207293488525,0,0,-0.0878063707338315,0,0,0,0.0244726525048565,0,0.173834683303904,-0.064426757582418,0,0,0,0,0,0,0,0,0,0,0,0.00303915045269206,0,0,0,0,0,0,0,0,0,0,0,-0.0127291168107346,0,0,0,0,0,0,0,0,0.213093410683746,0,0,0,-0.023913135843707,0
X601318.CH.EQUITY,0.0238766222102825,0,0,0,0,0,0,0,0,0,0.257268719686473,0,0,0,0,0,0,0,0,0,0.178937085270962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192879330794717,0,0,0,0,0,0,0,0.0601294247612293,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.313390502998699,0.138147313505461,0,0,0.131893904805473,0,0,0,0,0,0,0,0.0122535534340142,0,0,0,0,0,0,0,0.160684725402708,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0368235136039883,0,0.0172122114431992,0,0,0,0,0,0.100081712027656,0,0.0734692910118853,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.500408715666173,0,0,0,0,0,0.295027458877202,0,0,0,0,0.149216692809248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795793877675744,0,0,0,0,0,0,0,0,0,0,0,-0.0661484716277908
X600036.CH.EQUITY,0,0,0.0350771605655424,0,0,0,0,0,0,0,0,0.371415305698398,0,0,0,0,0,0,0,0,0,0,0.0355281764039263,0.124142617726221,0.0245496253593315,0,0,0,0,0,0,0,0.0130979410662018,0.0876378042043958,0,0,0,0,0,0.0546181736472303,0,0,0,0,0,0,0,0,0.279390810034743,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0849340978353229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554125926567357,0.24536635036995,0,0,0.13014236918826,0,0,0,0.134494895445897,0,0,0,0,0,0,0,0,0,0,0,0.146786998794772,0.0446224531211375,0,0,0
X5.HK.EQUITY,0,-0.151898187854072,0,-0.144945405621891,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,1.2052013296248,0,-0.759018769250474,0,0.478248182821231,-0.039730140676307,0,0,0,0,0,0,0,0,0,0,0,0,0.447620056578811,0,0,0,0,0,0,0,0,0,0.106171713837373,0
X601628.CH.EQUITY,0,0.0315182337845361,0,0,0,0,0,0,0,0,0,0.182490733773818,0,0,0,0,0,0.128957463382434,0,0,0,0,0,0,0,0,0,0,0.172863440258386,0,0,0,0.0680766799188749,0,0,0,0,0,0,0,0,0,0.192569564619112,0,0,0,0.038526258490441,0,0,0,0.0660094994921408,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894105845309359,0.27493981837456,0.0710399164992615,0,0,0.332373220717256,0,0,0,0,0,0,0,0.0803833141461054,0,0,0,0,0.132877534713409,0,0,0,0,0,0,0,0,0,0,0
