,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.317994769979739,0,0.00253831391646698,0,0,0.343205216839413,0,0,0,0,0,0,0,0.0185825631830663,0,0,0,0,0,0,0,0.175417534951457,0,0,0.0201722913182093,0,0,0,0,0,0,0,0,0,0,0.107026807736177,0,0,0,0,0,0,0,0,0,0,-0.0316067148841679,0,0,0
X601318.CH.EQUITY,0,0,0.333279484306214,0,0,0.172311089461444,0,0,0.0133443691743569,0,0,0,0,0,0.138756520865571,0,0,0,0,0.0169813995319237,0,0,0,0,0,0,0,0,0,0,0.156149234867733,0,0,0,0,0.0928610095870552,0,0,0,0,0,0,0,0,0.00552455303946744,0,0.0330590604067217,0,0,0,0,-0.00124968461184779
X601939.CH.EQUITY,0.381417338238837,0.209562425509058,0,0,0,0,0,0.340633827156897,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12226556440746,0,0,0.0794199904593377,0,0,-0.0270221088155238,0,0,0.142324040039588,0,0.14906889083879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985246453484671,0
X600036.CH.EQUITY,0,0.0764690502271709,0,0,0,0.0506773744744621,0,0,0.0264344320974249,0,0,-0.0598521552525818,0.06412179012998,0,0,0.0868825417565419,0,0.218671560545212,0,0,0,0,0,0,0.319065005337107,0.101738018427118,0.0153727180267412,0,0,0,0.0680632213842469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213622446679051,0
X601288.CH.EQUITY,0,0,0,0,0,0,2.16840434497101e-19,0.534354255943548,0,-0.081577770451684,0,0.0567706450900041,0,0,0,0,0,0,0,0,0,0,0.0659051940770727,0.154721218337983,0,0,0,0,0,0,0.101522952197411,0,0.0490575682755875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437569134541771,0,0.0137331971655398,0,0.00846995932395585,0
X1299.HK.EQUITY,0,0,0,0.0369690826098086,0,0,0,-0.165139687275721,0,0.152589079197185,0,-0.0151515695129489,0,0,0.0116575527256546,0,0,0,0,0,0,0,0.138050529158741,0,0,0,0,0,0,0,0,0,0.098313791799954,0,0,0,0,0.143630194937412,0,0.091516345112396,0.166252509504559,0.0351808724323495,0.0968948155274733,0,0,0,0,0,0.294569358957337,0,0,0
X601628.CH.EQUITY,0.157134977213735,0,0,0,0,0.00190696515672734,0,0,0,0,0,0,0,0,0,-0.263581995251207,0,0,0,-0.070244849742171,0,0.20729256176361,0,0,0.0122297428443996,0,-0.156297370509152,0,0,0,0,-1.73472347597681e-18,0,0.634897229694589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437094393120708,0,0,0
X601988.CH.EQUITY,0.125259561319503,0,0.053769236398571,0,0.540349046281104,0,0,0,0,0.0940587484618805,0,0,0.154006560049946,0,0,0,0,0,0.00666802267685167,0,0,0,0.129371351950651,0,0,0,0.0144393743903974,0.0826537320842716,0,0,0,0,0,0,0,0,0.0682033875252128,0,0.0025097192525514,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.195139670083142,0.105981274944908,0,0,0,0,0,0,0,0,0,-0.0931364843249452,-0.0551664771908517,0,0,0,0,0,0,0,-0.345932860825934,0.199800333375839,0,0,0.137201681963661,0.139624915668845,0,0,0,0,0,0.0509927848900763,0,0,0,0,0,0,0,0.141883468642588,0.0804165215542067,0.0181183822150958,0,0,0,0,0,0,0,0.138588530956479,0
X388.HK.EQUITY,0,0,0,-0.130687371438819,0,0.230894852807668,0,0,0,0,0,0,0.0427280264527534,0,-0.0523920945143787,0,0,0,0,0,-0.112541799653931,0.470006671351919,0,0,0,0,0,0,0.0783926636011422,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.156247098973773,0.0751311158768,0,-0.0400809932120203,0,0.155608846178511,0,-0.3029747926109,0,0,0,-0.0366693700451189,0.154138458020418,0
