,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.235773684521108,0,0,0.087295007045448,0,0.241268516750988,0,0,0,0,0,0.128012321027759,0,0,0,0,0,0,0,0,0,0,0,0,0.038334958016912,0,0,0,0,0.0942228614325127,0,0,0,0,0,0.02262441153958,0,0,0,0,0,0,0.107205373593474,0,0,0,0,0,0
X601318.CH.EQUITY,0.13176921947467,0,0,0,0,0,0,0,0.184579513764486,0,0,0,0,0,0,0,0.241286563728763,0.0451868166611919,0,0,0,0,0,0,0.0316428580697162,0,0,0,0,0,-0.0596682287944291,0.148664724594469,0,0,0,0.122615450889343,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0557397824783551,0,0.048694567287873,0,0.0893002267379703,0,0,0
X601939.CH.EQUITY,0.0607668271249883,0,0,0.268665705350417,0,0.050333313012424,0,0,0,0,0,0,0,0.422958203096168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437565710852345,0,0.0660268503348575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.299797793075597,0,0.102323619656835,0,0,0.352323701335825,0,0,0,0,0,0,0,0,0.0250475670907107,0,0,0,0,0,0,0.00570262585205348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046177419409562,0,0,0,0.0597023371458358,0,0,0,0.106400858770615,0.00771441798037397,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749930167625983,0,0,0,0.0683126210199813,0,0,0,0,0,0.0971304907437777,0.144935556457952,0,0,0.554008558152325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352161046707966,0,0
X601988.CH.EQUITY,0.223843680635063,0,0.0103029969775515,0,0,0,0,0,0,0,0,0.195650314178229,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.168213118849866,0,0,0,0,0,0.054881736278802,0,0,0,0,0,0,0,0,0.286682454741893,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.409744093959335,0,0,0,0,0.195852022605911,0,0,0,0,0,0,0,0,0,0,0,0.00232238899481239,0.0153258113010975,0,0.106723170762228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113980253401182,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378696164655334,0,0,0.170820616579764,0.0133326438777054,0.0714929318396506,0,0,0,0,0,0,0,0,0.272648771397423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0624074554711118,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0260098364694651,0,0,0,0.133755362692448,0,0,0,0,0.22964246922419,0.0886051403245477,0,0,0,0,0,0,0,0.112432857092074,0,0,0,0,0,0,0,0,0,0,0.17868611072162,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.166201319600958,0,0,0,0,0,0.321722550777153,0,0,-0.376957099988429,0,0,0,0,0,0,0,0,0,0,0,-0.165391156629658,0,0,0.166809975470923,0,0,0,0,0,0,0,0,0,0.295123835845897,-0.681337591677169,0,0,-0.211677194690543,1.0707083448074,0.271551557972582,0,-0.208589746929606,-0.0519781153348998,0,-0.405907850611656
