,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.288734654906049,0.0981863543603154,0.080765404710802,0,0,0.268916267212628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143679401947686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946449404922799,0,0,0,0,0,0,0,0,0,0,0,-0.0506721111560372,0,0
X601318.CH.EQUITY,0,0,0.188056225859554,0,0,0,0,0,0.173225931945602,0,0,2.16840434497101e-19,0,0,0.10443373218318,0,0,0,0.0394049277608356,0,0.143079696263648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542134590295091,0,0,0.0231303176690215,0,0,0,0.0408005450097936,0,0,0,0,0,0,-0.147524455264849
X601939.CH.EQUITY,0.415592008027123,0.261042893680336,0,0,0,0,0,0.390815847052759,0,0,0,0,0,0,0,0,0.0352607556291008,0,0,0,0,-0.090843034039524,0,0,0,0,0,0.130858040035193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142685108957635,0
X601288.CH.EQUITY,0,0.0343012795852562,0,0,0,0.0752914011305241,0,0.467273116358709,0,0,-0.10939951376718,0.134391127618067,0,0,0,0,0,0,0,0,0,0,0.0644496667235595,0.0486547971835388,0,0,0,0.0487030341031458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244509670068247,0,0,0,0.0547613643832714,0,0.00353159084324179,0.0795512220731122
X600036.CH.EQUITY,-0.0176931959487116,0.0846280789011777,0,0,0,0,0.185334811496246,0,0.0162198238076056,0,0,-0.0836137763433631,0.0948327702869117,0,0,0.101288255354211,0,0,0,0,0,0,0,0,0.544650744033351,0,0.124206022446849,0.103769090139706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.082152660892737,0
X601628.CH.EQUITY,0.172393182689151,0,0,0,0,0,0,0,0,0,0.0311758737844244,0,-0.00926839690105172,0,0,-0.213585249276139,0,0,0,0,-0.0109376437339043,0.097725355900774,-0.0361342124287233,0,0,0,-0.141103522843646,0,0,0,0,0,0,0,0.66145516077059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879787460690453,0,0
X1299.HK.EQUITY,0,0,0,-0.0178745116200713,0,0,0,0,0,0,0.0736352448653463,-0.0524958519511938,0,0,0,0,0,0,0,0.0315313409406053,0,0,0.153436792907627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108623110928978,0.122895863649665,0.162392774400753,0,0.147814248886222,0,0,0,0,0,0,0.269221940355104,0,0
X601988.CH.EQUITY,0,0,0.100131175878737,0.482172981535329,0.082287760162705,0,0,0,0,-0.002768067773819,0,0,0.214020197177719,0,0,0,0.0721030219522407,0,0,0,0,0,0.0399002732118114,0,0,0,0,0,0,0,0.0219680809191069,0,0,0,0,0,0.0299704544141227,0,0,0,0,0,0.0368928779608638,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0917813965861185,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0.00047816669491731,-0.10742027691626,0,0,0,0,0,0,0.145777883314215,0,0.16781307089686,0,0,0.120091786040585,0,0,0,0,-0.044798688550263,0,0.104047368354904,0,0,0,0,0,0.331849096695792,0,0,0,0.203081134278691,0,0.0525579986384371,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.029206017775587,0.00626083601677332,0,0,0,0,0,0.0764440646365296,0.0887989043815481,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0.121961611281561,0.440023807708297,0.011191695765218,0,0,0,0,0,0.0283015767641345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962057327414469
