,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.222843165025114,0,0,0,0,0.372391306314431,0,0,0,0,0,0.0285569879376977,0,0,0,0,0,0,0,0,0,0,0,0.254587767964285,0,1.38777878078145e-17,0,0.0173400655540548,0.0257091626856149,0,0,0.0729627739509301,0,0.0608166700604727,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898762285319592,0,0,0
X601318.CH.EQUITY,0,0,0.22462736487698,0,0,0,0,0,0.143542331767812,0,0,0,0,0.127925059555806,0.0946276715216638,0,0,0,0,0.158233866582903,0,0.0833955342444723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05005775817662,0,0.0510342960354225,0,0,0,-0.0493854571770694,0,0,0,0,0,0.00456369563155405,-0.19994169950412
X601939.CH.EQUITY,0.285373850883612,0.191998464558555,0,0,0,0,0,0.499590745840146,0.0863444394629174,0,0,0,0,0,0,0,0.0145845543033078,0,0,0,0,0,0,0,0,0,0,0.063552268806578,0,-0.0183991235663913,0,0,0,0.0457474561093293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182824950831964,0
X600036.CH.EQUITY,0,0,0,0,0,0.159633445865451,0,0,0.0704822022937633,-0.112050587395547,0.0360216423093762,-0.097604147382361,0.145377261108088,0,0,0.188113852081798,0,0,0,0.153313777587814,0,0,0,0,0,0,0.383829249121844,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0594148621023555,0,0,0,0,0,0,0,0,0,-0.0274526872598634,-0.0239575104256348
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.476677764416656,0,-0.0798032246591378,0,0.0436514834300226,0,0,0,0,0,0,0,0.0403054420008261,-0.0034100928045789,0,0.058471519429386,0,0,0.173824999780196,0,0.0947473546075472,0,0,0,0,0,0.099667015388625,0,0,0,0,0,0,0,0,0,0,0,0,0.0261154304099454,0,0,0,0.0773501604387067,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.10016581430777,0,0.22375674332149,0,-0.0297817068610246,-0.0259926473617559,0,0,0,0,0,0,0,0,0,0.190089909501877,0,0,0,0,-0.00123838058079181,0,0,0,0,0,0.145870790606082,0,0.0640553299660491,0,0,0.169558809283507,0,0,0,0.186218921900256,0,0,0,0,0,0.217707457352739,0,-0.089614626864889,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899257706119037,0,0,0,0,-0.164201870050744,0,0,0,0,0,0,0,-0.0263311980349909,0,0,0,0,0,0.459961636250665,0.0266026779697128,0,0,0,0,-1.73472347597681e-18,0,0,0.0108067498498926,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.52508473520174,0,0,0,-0.0079987536387134,0,0,0,0,0,0,0,0.286916531226644,0.135134371508729,0,0.0434972489656556,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418404853801472,0,0,0,0,0,0,0,0,0,0,-0.0982196671119302,0.00137707146750349,0,0,0,0,0,0
X5.HK.EQUITY,0,0.00665770119621295,0.0636115285844233,0,0,0,0,0,0,-0.0888388999695599,0.150853935888066,0,0,0,0,0,0,0,0,0,0,0,0.188853864333311,0,0.0818129600758122,0,0,0,0,0,0,0,0,0.176039501501364,0,0.0456261510078356,0,0,0,0,0.306478353066366,0,0.216631596514655,0,0,0,0.0710376760467402,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.212599145047425,0,0.334840887838192,0,0,-0.117985081903918,0,0,0,0,0,0.00273295482569961,0,0,0,0.231435234151825,0,-0.0900688608254187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483253665647895,0,0,0,0.204935141756692,0,0,0,0.0468381435853225,0,0,0.130487398205423,0
X601166.CH.EQUITY,0,0,0,0.00591363645697331,0,0,0,0,0,-0.102422235234683,0,0,0.430981197174626,0,0,0,0,0,-0.063873384293005,0,-0.0736180470238975,0,-0.0520924159978713,0,0,0,0,0.290982452832417,0,0,-0.0242118489392186,0.107951251233771,0,0.0835739013827363,0,0,0,0.0737848252815704,0,0,-0.0632504261569395,0,0,0,0,0,0.0537785297889748,0,0,0,0,0
X601658.CH.Equity,0,0,0,-0.209390271561191,0.013498405728626,-0.0885833659391139,0.0859395202693008,0.421424994371143,0,0,0.365319154824056,0,0,0,0,0,0.256524813234957,0,0.188094775086847,0,0,0,0,0,0,0,0,0.0410386406191739,0,0,-0.365858174029913,0,0,0,0,0.1994582371741,0,-0.0875750292060241,0,0,0,0,0,0,0,0,0,0,0,0,0.0165403792270638,0
X000001.CH.EQUITY,0,0,0,0.309320707370654,0,0,0.0696602254052209,0,0,0.0222917806680302,0.369977040198801,0.0682199773160578,0,0.185806547449134,0,0,0,0,0.00197618454367937,0,0,0,0,0.13053560114259,0,0,0,0,-0.0411841448899476,0,0,0,0,-0.235421852276554,0,-0.142227058673602,0,0,0,-0.0882051529373817,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.05023041627101
X601601.CH.EQUITY,0,0.672028246899935,0,0,0,0,0.0101546791403742,0,0,0,0,0,0.0250294686569287,0,0,0,0,0,0.120824885916828,0,0,0,0,0.0720044004442576,0,0,0,0,-0.0780982294451895,0.124038340847578,0,0,0,0,0,0,0,0,0,-0.0643832861365549,0.047900502702051,0.0586224199740018,0,0,0.0372119480876799,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0.00785418728056626,0,0,0,0,0,0,0,0,0,0,0,0.030507109184962,0,-0.00678053251414294,0,0.142998863766292,0,0,0,0,0,0,0,0,0,0,0,0,0.119954575780897,0,0.269476128087445,0,0,0,0,0.0497037359950683,0,0,0,0,0,0.386038128839624,0.0188143665781553,0,0,0.0496077972127715,0,0.0898017528364619,0,0
X000002.CH.EQUITY,0,0,0,0.30123096929471,0,0,-0.0210847236471921,0,0,0,0,0.0217170951759868,0,0,0,0,0,0,0,0,0,0,0,0,-0.0762750205140237,0.0713487724225416,-0.171769054048247,0,0.141079726183237,0,-0.129667416416129,0.626901132039233,0,0.172740746418812,0,0,0,0,0,0,0,-0.0428280215568618,0,0.131295824420408,0,0,0.0181383924122706,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.00239598113047574,0.0543003391986418,0,0,0,0.173719216613111,0,0,0,0,0,0,0,0.331909953482825,0,0,0,0,0,0.0317446379725044,0.0989863309135048,0,0,0,0,0,0,0,0.113178766090532,0.143809795798618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508712313608865,0
