,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.448779071811567,0,0.102894069959656,0.0674675449620082,0,0.0577409446072162,0,0,0,0,0,0.0414853410727488,0,0,0,0,0.0455457081549766,0.0477220130260385,0,0,0,0,0,0,0.116489170876652,0,0.01334172907864,0,0,0,0.017743688888175,0,6.93889390390723e-18,0,0,0,0,0.00165568142224456,0,0,0,0,0,0,0,0,0,0,0.0126089592819182,0
X601939.CH.EQUITY,0.150142492967103,0,0,0.276922933656328,0,0.320833869462446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073246812478138,0,0,0,0,0,0.0905023445729752,0,0,0,0,-3.46944695195361e-18,0,0.03640085564398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329504316822349
X601318.CH.EQUITY,0,0.0860142702827651,0,-1.38777878078145e-17,0,0,0,0,0.00711072975982909,0.0591621603127143,0,0,0,0,0,0,0,0.114063940667684,0.0256168041404635,0,0,0,0,0,0,0,0,0,0,0,0,0.0887726838482587,0,0.167777707191176,0.0316731291877221,0,0,0,0.109687908175426,0,0,0,0,0,0,0.219715183603998,0,0,0,0,0
X601288.CH.EQUITY,0.126916649343479,0.319651080379814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0882033453227535,0,0,0,0.0620569471007357,0,0,0.0236904624710296,0,0,0.0944916757330456,0,0,0,0,0,0,0,0,0,0,0.0697589590406049,0,0,0,0,0,0,0.125360446140508,0,0,0,0,-0.100032199344613
X5.HK.EQUITY,0,0,0,0,0,0.403698503114968,0,0.208803604865484,0,0,0,0,0,0,0.255157343960503,0,0,-0.445375030512947,0,0,0.000225810106401192,0,0,0,0,0,0,0,0,0.140233770938181,0,-0.202641458720094,0,0.643285942649138,0,0,-0.424207452697783,0,0,0,0,-0.0467189781854273,0,0,-0.432466934124914,0,0,0,0,0.266968639761182,0
X601988.CH.EQUITY,0.0129850354837354,0.271164126422843,0,0,0,0,0,0,0.0265941210769758,0,0,0,0.109310666576903,0,0,0,0,0,0,0,0,0,0.607798102603858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296710870398548,0.0494674218821846,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0136608128995126,0,0,0,0,-0.00215707149904324,0,0,0,0,0.047707372773791,0,0,0,0,0,0,0.731060088695915,0,0,0,0.139067216048739,0.00315994353095007,0,0,0,0,0,0,0,0,0,-0.00173547053739586,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.182990770037067,0,0,-0.101401317947212,0,0,0.0904711437337995,0,0.0874820060961622,0,0,0,-0.118794438864079,0,0.270301978173063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325296588878391,0,-0.0220429332011698
X601628.CH.EQUITY,0,0,0.144557924278919,0.0728662562314184,0,0,0,0,0,0,0.0492314764616867,0,0,0,0,0,0.0666332110732858,0.0941890733780672,0,0,0,0,0,0,0,0.08129636803394,0,0,0,0,0,0,0,0.034949732817922,0,0.230250518983451,0,0,0,0,0,0,0.133122906786853,0,-0.0404742192037514,0.0848505255114844,0,0,0,0,-0.0017301030636931
X601328.CH.EQUITY,0,0,0.0665043651929533,0,0.000896449328453349,0,0.0468487264078836,0.00578649367634388,0,0,0,0.116049343414359,0,0,0,0,0,0,0,0,0.0128688485602861,0.200599999430986,0,0,0,0,0,0,0,0,0,0.150591339495389,0,0,0,0,0,0,0.170696142498687,0.267143506237404,0,0,0,0,0,0,0,0,0,0,0
