,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.357115844666341,0,0,0.0843792232318704,0,0,0,0,0,0,0,0,0.0392713591381624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.0333883519482773,0,0,0.201014414760759,0,0,0,0.0287006760146063,0,0,0,0,0,0,0,0,0.20736640771179,0,0,-0.00158346065177166,0
X601318.CH.EQUITY,0,0,0,0,0,0.028733175777982,0.0497581779566296,0,0.1236717528037,0,0.0757523904287815,0,0.0373117867969156,0,0,0,0,0,0.208703875810529,0,0.273092849273052,0,0,0,0,0,0,0,0,0.0980530392282483,0,0,0,0,0,0,0,0.0533238902876118,0,0,0,0,0,0.0306379464807787,0,0,0,0,0,0,0,-0.124640392476124
X601939.CH.EQUITY,0,0.08655194275092,0,0.16856134896913,0,0,0,0,0,-0.0162419689930612,0,0,0,0,0,0,0,0,0,0.0362454666159157,0,0.856694491849788,0.0459174220327433,-0.230678344877487,-0.169251820824083,4.33680868994202e-19,0,0,0,0.0366931416789553,0,0,-0.0196904122244941,0,0,-0.0442134794622939,0,0,-0.0310329825827722,0,-0.0894430734800087,0,0,0,0,0,0,0,0,0,0,0.0845255144445756
X601288.CH.EQUITY,0.114858933298173,0,0.0740512719148764,0,0.085583723899405,0,0.411984160963761,0,0,0,0,0,0,0,0,0.048628443763651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206789788241041,0,0,0,0,0,0,0.111146800499949,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114391796306733,0,0,0,0,0.17152680469077,0.420362413521372,-0.030620682451764,0,0,0,0,0,0.0104327192551739,0,0.378769837461621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00768434008249354,0,0,0,0,-0.0683223389204559
X600036.CH.EQUITY,0,0.173306352872948,0,0,0.100824656002552,0,0.0680499423000864,0.0816229181522708,0,0,0,0,0.267422729692106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258284403942414,0,0,0,0.0362570892397858,0.0885643677869095,0,0,0,0,0,0,0.105387028726176,0,0,0,0,0,0,0,0.0273826763654562,0,-0.0484653959654544,0,0,0
X601988.CH.EQUITY,0.177202994241228,0,0.0286819389266103,0,0,0.433621348705233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00100324718517091,0,0.116715448115618,0,0,-0.0981745831106143,0,0,0,0,0,0,0,0,-0.035316372027174,0,0,0,0,0,0,0,0.322397235975361,0,0.0267672746417169
X1299.HK.EQUITY,0,0,0,-0.0149017599154446,0,0.0240571180251892,0,0,0,0.301466986063391,0,0,0,0,0,0,0.0955410424586961,0,0,-0.0296742704001991,0,0,0,0,0,0.114583075253568,0,0.0570077938903389,0,0,0.0106402065310617,0,0,0,0,0,0,0,0,0,0.136124927185757,0,0.119455295427702,0,-0.0720813658042944,0,0,0,0,-3.3881317890172e-21,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837912049993886,0,0,0,0,0.153217883115884,0,0,0,0,0.641845679551981,0.063851730288697,0,0,0,0,0.0133580204045494,0.0704497600912807,0,0,0,0,0,0,0,0,0.141791248170266,0.0646148974284278,-0.156509908293787,0,0.119941849526461,0,0.0895075531767102,0,0.211218277592627,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0755496292550277,0,0,0,0,0,0,0,0,0,0,0,-0.0927316632448447,0,0,0,0.477815723815967,0.270185617431733,0,0,0,0,0,0,0.159903742815193,0.25096580761208,0,0,0,0,0.208188470991409,0,0,3.46944695195361e-18,0,0,-0.0351089031202838,-0.332819093838426,-1.73472347597681e-18,0.00581576131852485,0,0,0,0,0
