,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,1.38777878078145e-17,0.337101590993693,0,0.0408767199181064,0,0,0.202493431841743,0,0,0,0.0397872347751082,0,0,0,0,0,-0.00147701462786084,0,0,0,0,0,-0.0215939595896537,0,0.260335375853287,0,0,0,0,0,0,0,0,0,0,0.055682922274959,0.125416592872268,0,0,0,0,0,0,0,0,0,0,-0.0404920661941844,0,0,0
X601318.CH.EQUITY,0,0,0.273901247948555,0,0,0,0,0,0.071888252332001,0,0.015759017253654,0,0,0,0.200892279382057,0,0,0,0,0,0,0.0825294974680957,0,0,0,0,0,0,0.135970353286691,0,0,0,0,0,0,0,0,0,0,0,0.0597586674659353,0,0,0,0.0759426817357676,0,0,0,0,0,0,-0.0624638677594027
X601939.CH.EQUITY,0.366966905725543,0.280588878258489,0,0,0,0,0.0249113517661722,0.405578243141418,0,0,0,0,0,0,0,0.029807066944047,0,0,0,-0.0755083231656453,0,0,0,0,0,0,0,0,0.0666671951673321,0,0,0,0,0,0,0,0.0293962584716732,0,0,0,-0.0708826443548413,0.0870867469693417,0,0,0,0,0,0,0,-0.0419103901411442,0.152026742442419,0
X600036.CH.EQUITY,0,0.0341118350418422,0,0,0,0.22071284880147,0,0,0.0141715840618979,-0.0642423465598501,0,0,0.0631987176759915,0,0,0.0357419037710979,0,0,0.141469654619331,0,0,0,0,0,0.438398630408104,0,0,0,0.107258743410446,0.0195257558354395,0,0,0,0,0,0,0,0,0,-0.0855725049017738,0,0,0,0,0,0,0,0,0,0,0,-0.0453580417710771
X601288.CH.EQUITY,0,0,0.094595722687833,0,0,0,0,0.478292932374838,0,-0.0487102568909389,0,0.0377417251334536,0,0,0,0,0,0,0,0,0,0,0,0.114983514442475,0,0.0849100785148196,0,0,0.140164075486089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00599787219621593,0.0188109017465621,0.0234309906509577,0.014853609090772,0
X1299.HK.EQUITY,0,0,-0.0966338530188676,0,0,0,0,0,0,0.209033825581686,0,-0.0672929044612853,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.152956404580909,0,0,0,0,0,0,0.030592895311471,0,0,0,0,0,0.128786674504968,0.0232227340145354,0,0,0.19987731210322,0.208209306428168,-6.93889390390723e-18,0.00824210221089514,0,0,0,0,0.191247304345841,0,-0.064890244238111,0
X601628.CH.EQUITY,0.107696169157376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171668238339492,0,0,0,0.232875192590262,0,0,-0.12918215256629,0,0,0,0,0,0,0,0,0,0,-0.0168990030179111,0,0.577090916516862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153835198201881,0
X601988.CH.EQUITY,0,0,0.0749605546344024,0,0.440701933017909,0,0,0,-0.0924976300745515,0,0,0,0,0,0,0,0.279611804826856,0,0,0,0,0,0.0456181054924657,0,0,0.0832818510346522,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.00190682257135098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.07546895914517,0,0,0,0,0,0,-0.0529715843691162,0.159746055135519,0,0,0,0,0,0,0,0,-0.122607697322081,0,0,0,0.260733716294189,0,0,0.0920234517214168,0,0,0.0332995809661218,0,0,0,0,0,-0.0480700052438164,0.175321335313425,0,0,0.226749383372428,0,0.267878501780552,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.186246374465274,0,0.294683235404801,0,0,0,0,0,-0.0346146251960107,0,0,-0.0463101085415935,0,0,0,0,0.422931123017339,-0.117613711463086,0,0,0,0,0,0,0,0,0,0,0.0218822903942069,0,0,0,0,-0.133280628763784,0,0.125901551982675,0,0,0,0,0.0552195873003469,0,0,0,0.0725152673761231,0,0,0.138233460434762,0
