,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601658.CH.Equity,0.146718992759883,0.0444283630300467,0.325878593436708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212402558998647,0.00634012453580643,0,0,0,0,0,0,0,0.149450928800179,0,0,0,0.181293384873817,0,0,0,0,0,0,0,0.102394371297457,0,0,-0.0713394419411917,0.064224334291361,0,0.0299041850240294,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0334897919496863,0,0.1164476942005,0,0,0,0,0,0,0,0.029648198337434,0,0,0,0,0,0,0,0,0.060487728220265,0.546630273552053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493474604008756,0,0,0,0.125698200342314,0,0.0358002203367949,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.691827196617699,0,0,0,0.0591234331100906,0,0,0,0,-0.096018700184841,0,0.0485862380624672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342749696697544,-0.0440881217005273,0,0.191926641510055,0,0,0,0,0,0,0,0,0,0,0,-0.0375972146413087,0
X000002.CH.EQUITY,0,0,-1.73472347597681e-18,-0.273500834105584,0.168060868319871,0,0,0,0.31346034424197,0.0190908229020698,0,0,0.155545937893624,0.410368669967403,0,0,0,0,0,0,0.0587907701385038,0,0,0,0,0,0,0,0,-0.0669798256135383,0.0697890347037159,0,0,0,0,0,0,0,0,0,0,0,0,0.00210911694235463,0,0,0,0,0.00401651222940675,0,0.0181852759034077,0.015219029686343
X000001.CH.EQUITY,0,0,0,0,0,0.549341468823286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564610274632492,0,0,0,0,0.200355633193903,0.00635716151018709,0,0.129206058187221,0,-0.230490712218639,0.0813819247622552,0,0,0,0,0,0,0.0620515886032859,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0213594820103405,0
X601328.CH.EQUITY,0.314556314606523,0,0.0483809886965104,0,0,0,0,0,0,0,0.049187056684382,0,0,0,0,0,0,0,0.129767593271479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712664580982764,0,0,0,0,0,0.0466735516037461,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.519859623364981,0,0.136042437665021,0,0,0,-0.00843071413966129,0,0,0,0,0.171119421716914,0,0,0,0,0,0,0.0932354287454524,0,0,0,0,0,0.0260986511389175,0,0,0,0,-0.0532102899881633,0,0,0,0.207016976874898,0,0,0.00860123696296435,0,0,0,0,-0.14729207799291,0,0.0172944082231041,0,0,0,0,0,0,-0.0497328488503568
X600000.CH.EQUITY,0.0551111690483988,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.759679418212131,0,0,-0.0507353525158935,0,0,0,0,0,0.124075395350801,-0.0416611532165605,0,0,0,-0.00217021259670783,0,0,0.0234788851871626,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.621241130511055,0,0,0.162259215959937,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0.201806514743429,0,0,0,0,0,0,0,0,0,0,0,0,0.231419785111612,0,0,0,0,0,0,0,0,0,-0.0340509558102739,0,0.0703261140355388,0,0,-0.045622075354935,0.165883186386862,0,0,0.024456934304322,0,0,0,0,0,-0.0287693686935484,-0.0687078718762566,0,0,0.0858122301974227,0,0.110595552534796,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0760616550508854,0,0,0,0,0,0.156020806381091,0,0,-0.0385272125061749,0,0,0,0,0.0434551874665937,0,0,0.0323943376727129,0.167303642445135,0.143077432927145,0,0,-0.382346871891028,0,0.27132768915122,0,0.327327436313513,0.14836869023184,0
X1109.HK.EQUITY,0,0,0,0,0,0,0.015844927831697,0.0363143712210201,0,0.103321167815011,0,0,0,0.0984835128318291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945880965060595,0.115096835116375,0,0,0,0,0,0,0.0711049734725629,0.00157529007145491,0,0,0.248087674416159,0,0,0,0,0,0,0,0,0.153040479712934,0
X300059.CH.EQUITY,0,0,0,0,0.0151225217158695,0,0,0,0,0.0715101820801403,0,0,0,0,0,0,0,0,0,0,-0.057071284054256,0,0,0,0,-0.00890166398975798,0,0,0,0,0,0,0,0.47488877885275,0,0,0,0,0,0.00263513114955746,0,0,0,0,0,0,0.218607749286595,0,0,0.0399959036962695,0,0
X600016.CH.EQUITY,0.0627590734778261,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.076952425296706,0,0,0,0.107588833837178,0,0,0,0,0.0792115883683143,0,0,0,0.344277762911298,0.0997048930763803,0.0330842080574399,0,0,0,0,0,0,0,0,0,0,-0.201986688966593,0,0,0,0,-0.11694314864977,0,0.293824579302443,0,0.0394314960860635,0,0,0,0.112976263752763
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0836128035050609,0,0,0.258055161741941,0,0,0.0892066421455121,0,0.104930572831726,0.0172891319979733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00644367888084769,0,0,0,0,0,0.11591583665168,0.0482239803303294,0,0.430018351985127,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.6223395001305,0,-0.272543017320382,0,0,0,0,0,0,0,0.12740919484674,0,0,0,0,0,0,0,0.122805814607023,0,0,0,0.0798719282565803,0,0,0,0,0,0,0,0,0,-0.192654570627526,0.201409628231089,0,0,0,0,0,0,0,0,0,0,0,0.184163712026331,0
X2388.HK.EQUITY,0,0,0.000612605905890278,0,0,0,0,0,0.120472811688667,0,0,0,0,-0.0668160624476428,0,0,0,0,0,0,0.255166129096261,-0.0278197396272455,0,0.0428263695220739,0,0,0,0,0,0,-0.247866547054299,0,0,0,0,0,0,0.409624830779472,0,0,-0.0523602984703041,0,0,0.113712957597063,0,0,0,0,0,0,-0.1795883908958,0
X600048.CH.EQUITY,0,0.106029296011368,0,0,0,0,0,0,0,0,0,0,0,0,0.627656703388126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191758028490096,0,0,0,0,0,0,0,0,0,0.0338256729174964,0,0,0.0666538823933641,0,0,0,0.0274301881605466,0,0,0,0
