,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.295421094894432,0.027355949199734,0,0,0,0.447052983791008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105015669983142,0.0519792110860734,0,0,0,0,0,0,0,0,0,0,0.0796382622515333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.189387143272921,0,0,0,0,0,0.17780286479384,0,0,0,0.0808989119026986,0,0.0932023220812696,0,0,0.0195017101507115,0,0,0.19558591519201,0,0,0,0,0,0,0,0,0,0.0675172554628483,0,0,0,0,0,0,0.0593166354809026,0,0,0,0.02551881436169,-0.0385196763756606,0,0,0,0,0.0509732799821022,0,0,0,-0.0880192640462736
X601939.CH.EQUITY,0.455163548168948,0.133284455855573,0,0,0,0,0,0.244163413246717,0,0,0,0,0,0,0,0,0.0117328191085484,0,0,0,0,-0.139386028137741,0,0,0,0,0,0,0.160630811518643,0,0,0,0.118898328884792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11717097134505,0.156792830070198,0
X600036.CH.EQUITY,0,0.128448542125591,0,0,0,0,0.0789851617695458,0.0847571931881691,0,0,0,0,0.106708633618662,0,0,0,0,0,0,0,0,0,0.0133666144977826,0,0,0.0984977710633673,0,0,0.0727717278617416,0,0,0,0,0,0,0,0,0.0419693235162083,0,0.00552500655114782,0,0,0,0,0,0,0,0,0,0.349305921345267,-0.221112742724987,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.562210302992806,0,0,-0.0818884712613908,0.0379939526964574,0,0,0,0,0,0,0,0,0,0.0596648682078038,0.0756985314663443,0,0,0.105363075021752,0,0,0.112915759803889,0,0,0,0.055437400814654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053041128763628,0,0,0.00567818632359286,0
X601628.CH.EQUITY,0.0836216786607061,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.00411861576779407,0,-0.100521047206179,0,0,-0.239223428138149,0,0,0,0,0,0.187360441168109,0,0.0886055648553371,0,0,-0.0797760818662031,0,0,0,0,0,0,0.558782325074983,0.056567334536283,0,0,0,0,0,0,0,-0.0673379258494659,0,0,0.0739531042825926,0,1.73472347597681e-18,0,0,0.0189312973662399,0
X1299.HK.EQUITY,0,0,-0.0532462137714989,0.036651392366662,0,0,0,0,0,0,0.149341051857592,0,0,0,0,0,0,0,0,0.16592853660165,0,0,0.21263749043765,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0606015141598472,0,0,0,0.160536215898517,0.0342829142140675,0,0.149712651718437,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.138366691822165,0,0.0943637844855079,0,0.372662306156571,0,0,0,0,0,0,0,0.218393056969537,0,0,0,0.111060162010814,0,8.67361737988404e-19,0,0,0,0.0171788791689448,0,0,0,0,0,0,-1.73472347597681e-18,0.120450395538921,0,0,0,0,0,0.0108920796575874,0,0,0,0,0,0.00589696188150092,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.129820352286317,0,0,0,0,0,0,0,0,0,0,0,-0.0646864922839448,0,0,0,0,0,0,0.226709802437855,0,0.182068700386897,0,0.143967406988386,0,0,0,0,0,8.67361737988404e-19,0,0.0564715512789079,0,0,0,0,0,-0.0784863330443747,0.182860205865138,0.0422100465262367,0,0.284453561196781,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0707170507970914,0.165758493580545,0,0,0.104112094314591,0,0,0,0,0,0,0,0,0,0,0.138455799642202,0,0.422527352717116,0,0,0,0,0.0486664597183422,0,0,0.00623416019312894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216804306303857
