,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X267.HK.EQUITY,0,0,0,0,0,0.231776313681177,0,0,0,0,0.130783789800069,0,0,0,0,0,0.0474699231867136,0,0,0,0,0,0,-0.044089479358253,0,0,0,0.00849022232916205,0,0,0.0952301400898523,0.298841750374756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121905189605518,0,0,0.135201013133234,0,0,0
X601211.CH.EQUITY,0,0,0,0.0586648970248861,0,0,0.0190377489921155,0,0,0.0602780105600985,0,0,0,0,0,0,0,0,0,0.362740042975614,-0.0758699185327555,0,0,0,0.101129887857087,0,0,-0.0819782862033691,0,0,0,0,0,0.1472891506253,0,0,0,0,0,0,0.150941040417606,0,0,4.33680868994202e-19,0,-0.0703413520022605,0,0,0,0,0,0
X002736.CH.EQUITY,0.128062328927223,0,0,0.134057197795341,0,0,0,0,0,0.0308939813392204,0.0551621423705308,0,8.67361737988404e-19,0,0,-0.0436831723060746,0,0.10182640305187,0,0,-0.0390920497691849,0,0,0,0,0.0383145418096665,0,-0.0417188385707644,0,0,0,0,0,0.220135484400678,0,0,0,0,0,0,0.173416263460235,0,0,0,0,0,0,0,0.0327845683304612,0.106181370654044,0,0
X12.HK.EQUITY,0,0,0,0,0,0.0270116855231411,0,0.456713496944014,-0.0739982393478589,0,0,0,0,0,0,0.113556568220379,0,0,0,0,0.379076839892164,0,0,-0.030221976128034,0,0,0,0,0,0,0,0.0404073919016414,0,0,0,0,0,0,0,0,0,0,-0.205821318372224,0,0,-0.0741797743112123,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.153833664261751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100855111730709,0,0,0,0,0,0,0,0.00882399729203236,0.377198308566232,0,0.279719428256565,0,0.161226797217324,0.0160175075435499,0,0,0,0,0,0,0,0.0218548376651662,0.0658698759440594,0,0.0937468688712121,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0729692758459266,0,0,0,0,0.111122284921773,0,-0.0840200954761536,0.194800083425701,0,0,-0.276055076650821,0,0,0,0,0,0,0,0.0541489073898201,0,0.0684092326181767,0,0,0,0,0,0,0,0,0,0,0,0,0.0991972169651564,0,0.180840453967281,0,0,0.737309359824504,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,-0.077442161771869,0,-0.0474737706582396,0,-0.0938300724290279,0,0,0,0,0.04313166987583,0,0,0,0.784515457507238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102821196119366,0,0,0,0,0,-0.119118654440013,0,0,0,0,0,0,0,0,0.036905985110359,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.168852360754444,0,0,0,0,0,0,0,0,-0.317906479490152,0,0,0,0,0,0.0243416935644232,0,0,0,0,0,0,0,0.331299215219923,0.803104117466244,0,0.104802957757174,0,0,0,-0.671988539134915,0.0899516896028477,0,0.323580976335107,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,-0.119453705351456,0,0,0,0,0,0,0,0,0.432357446294665,0,0,0,0,-0.355920701284106,0.0790331235149394,0,0.363025839767145,0,0,0,0,0,0.228295643645758,0,0,0,0,0,0,0,0,0,0,-0.0764279844138878,0,0,0,0,-0.115379299045419,0,0,0,0,0,0.465060419748017,0,0,0,-0.0165526700662522
X823.HK.EQUITY,0,0,0,0,0.273079684426934,0,0,0,0,0,0,0,-0.210399940387536,0,0,0,0,0,-0.00030806632809653,0,0.204452006040452,0,0,0,-0.0701280627068286,0,-0.274180624870059,0,0,0,0,-0.252077370811081,3.46944695195361e-18,-0.059043439333748,0,0,0.219877243270987,0,0,0.232241720327645,0,0.230238039822879,0,0.286060530006618,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0.0127264646934538,0,0,0,0,0,0.330712334261556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982979078501531,0,0,0.360449052644608,0,0,0,0,0.145972484087426,0,0,0,0,0,0,0,0,0.171251317854406,-0.0222024186596692,0.0903041870104802
X601169.CH.EQUITY,0.0461819158117329,0,0,0,0.0449011000030415,0,0,0,0,0,0.12421496175434,0.00245899324217643,0,0,-0.0599430947505792,0.110771840577254,0,0,0,0,0,0,0.0556290481555516,0,0,0.00294088778471985,0,0,0,0,-0.00840094445075219,0,0,0.042907725489696,0,0,0,0,0.0281697916730321,0,0,0,0,0,0.296391814903876,-0.00644322963745694,0.161067126438595,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135483626870856,-0.0948793009205493,0,0,0,0,-0.312470989176789,0,0,0,-0.0829360312953838,0,0,0,0,0,0,0,0,0,0,0,0.0494084053942005,0.24089307781525,0,0,0,0.222815486724404,0.487497526418501,0,0,0,0,0,0,0,0,0,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.154229059480125,0,0,0,0,0,0,0,0,0,0,0,0.477970815655571,0,0,0,0,0,0,0,0.0498753897552575,0,0,0,0,0.0753259871091561,0,0,0.155868558717905,0,0,0,0,0,0,0,0,0,-0.0484730701330514,0.0862264687925458
FXI.US.EQUITY,-0.159247704055121,0,0,0,0,0,0,0.0668756649198607,0.0848144097176811,-0.16046752167394,0,0.226880221031152,0,0,0,0,0,-0.512987925694348,0,0.129676541673543,0,0,0,0.12824764611993,0.234307294061906,0.213957401146881,0,0,0,0,0,0.240804149987393,0,0,0,0,0,0,0,0,0,0.0996989829963874,0,0,0,0.327327662305199,0,0,0,0,0,0.0307174968092328
CN210SLOPE,-0.488560159019828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115304901090536,0.0957210148382553,0,0.226239745960995,0,0,0,0,0,0,0,0,0,0.423685830809814,0,0,0,0,-0.0908021546364445,-0.374377396550383,0,0.163434109224504,0,0,0.164188478280175,0,0
