,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.131899682290806,0,0.177850855536687,0,0,0,0,0,0,0,0.323398266371754,-1.38777878078145e-17,0,0,0,0,0,0,0,-0.167198449982881,0,0,0,0,0.103971495709205,0,0,0,0,0,0,0,0,0.0675151893283361,0,0,0.171548887465066,0,0,0,0,0,0,0,0,0,0.138106904909996,0.0112486465051441,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0574808094713473,0,0,0.192198950649308,0,0,0,0.184877738183426,-0.0100720692591409,0,0.257468559464164,0,0,0,0,0,0,0,-0.0426115090900007,0,0,0,0,0,0,-0.160710943770581,0,0,0,0.289137391083922,0,0,0.0359524504287765,0,0.199567229324416,-0.226347357605467,0,0.140838579018594,0.130025334062663,0,0,0,0,-0.0440388626190896,0,0,0
X601939.CH.EQUITY,0.617452603018548,0,0,0.0278760430504902,0.0341600119986774,0,0,-0.0754606312598673,0,0,0.173229723299133,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.037079180579893,0,0,0,0,0,0,0,0.2742842960327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.323179670128643,0,0.230077037604654,0,-1.73472347597681e-18,0.316425281136585,0,0,0,0,0,0,0,0,0,0,0,0.089415399523139,0,0,0.0180490564108589,0,0,0,0,-0.0796749332866386,0,0,0,0.0475222101340037,0,0,0,0,-0.122736986766214,0,0,0,0,0,0.181396018788684,0,0,0,-0.101931402106554,0,0,0.0502051700545448,0,0,0,-0.0538699952154889
X5.HK.EQUITY,0,-0.0874851828609449,0,0.0940176133575809,0,0.128290073289988,0,-0.137215181326113,0,0,0,0,0.180706035787757,0,0,0,0,0,0,0,0,0.522331325467841,0,0,0,0,0,0,0,0,0.302345261329075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167991277345104,0,0,0.0541558423234532,0
X601988.CH.EQUITY,0.152831964557275,0.0866204637845821,0.362309408179635,0,0,0,0,0,0.163764284902797,0,0,0.0527136903442133,0,-0.13214704403356,0,0,0,0,0,0,0,0.11283955807598,0,0,0,0.00207961399416466,0,0,0,0,0,0,0,0,0,0,0,0.0987442238410621,0,0,0,0,0,0.0892545609422079,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.170697867641187,0,-0.0229602401686738,0.0234776934800328,0,0.28310111744618,0,0.218393368931464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369599802441367,0,0.0468583460087212,0.0369657360764005,0,0.113456116135683,0,0,0,0.0323497650364235,0,0,0.0915731587912007,0,0,0,0,0,0,0,0,0,0.0408549986780233
X1299.HK.EQUITY,0,0.0147220982125151,0,0,0,0,0.0107043756167668,0,0,0,0.13732612997295,0,0,-0.167550959241587,0,0.0681256249219146,0,0.210267703382706,0,0,0,0.00822222136113035,0,0,0.245303395252705,0.100660982911929,0.0541871548031006,0,0,0,0,0,0.0780451855993445,0.0773450424758899,0,0.00810619545725159,0,0,0,0,0,0,0.0177678142052538,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.109470272722301,0.348337630130948,0,0,0,0,0,0,0,0.0588332014510644,0,-0.052043515592472,0,0,-0.0623417809034454,0,0,3.46944695195361e-18,0,0,0.0448464965851015,0,0,0,0,0,0.126782143521813,0,0,0.0239242075438702,0,0,0,0,0,0,0,-0.0631702876002957,0,0,-0.038740317551029,0,0.0188773539820974,0,0,0,0,0.207393432504779,0,0,0,0.210270847241429
X601658.CH.Equity,0,0,0,0,0,0,-0.115350271908013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239590432452424,0,0,0,0.199306725920183,0,0,0,0,0,0,0,0,0.626022705398461,0,0,0,-0.510773580096857,0.380143517689723,-0.0157895099899079,0,0,0,0.0365098387149482,0,-0.0855878680797314,-0.232469529756133,0,0,-0.332323024742151
