,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.196077510130835,0,0,0,0,0,0,0,0,0,0,-0.0551956659542648,0,0,0,0,0,0,0,0,0.0815658947182364,0,-0.202787492068431,0,0,0,0,0.530698150533141,-0.166325252527331,0,0.00489264432814747,0,0,-0.0165372637951958,0,0,0,0,0.180500292148697
X601318.CH.EQUITY,0,0,0,0,0,0,0.126250581987658,0,0.0412519603471143,0.0309247447368646,0,0,0,0,0,0.0476454800090517,0,0,0,0,0,0,0,0,0.161155507270934,0,0,0,0,0.0517146724518456,0,0,0,0,0,0,0,4.33680868994202e-19,0.456974496189485,0,-0.0495412923452149,0.0468801904555216,0,0,0,0,0,0,0,0,-0.0176106887035246
X601939.CH.EQUITY,0.368381487297139,-0.242280712803799,0,0,0.0605472107949755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991253935980488,0,0,0,0,0.224940571575557,0,0.0547564663319247,0,-0.0209007059799783,0,-0.244891505246851,-0.0199490504173905,0,0.602790847393963,0,0,0,8.67361737988404e-19,0,0,0.166748834199548,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.00687380512842899,0.35333951839983,0,0,0.180460581367143,0.025516127501122,0,0,0,0,0,0,0,0,0,0,0.047890208763357,0,0,0,0,0,0,0.270425400367651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872118263365642,0,0,0,0,0,0.0346706796768554,0,-0.0316906384276054,0.0964381052445446
X5.HK.EQUITY,-0.0930255344038207,-0.0474463015752027,0,0,0,0,0,0.118081921640313,0,0,0.0783519043426616,0,0,0,0,0.218267176142526,0,0,0,0,0.286771557595063,0,0,0.402423370570748,0.00173749648820301,-0.0337167156059043,0,0,0,-0.305541377290441,0,0,0,0,0,0,0,0,0,0,-0.0751765504582347,0.239378068846506,0,0,0,-0.138667521061215,0,-0.233494673185789,0,0,0.107785310152496
X601988.CH.EQUITY,0.0525885742155348,0,0.0749737062558052,0.711296045208858,0,0,0,0,0,0,0.105493881665241,0,0.0650600719950062,0,0.111312546220439,-0.162250563149252,0,0,0,0,0,0.0217913381211547,0,0,-0.0101824954363215,0,0.101028830271183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304377557558853,0,0,0,0,0
X600036.CH.EQUITY,0.0542316649845686,0.373722356256996,-0.115907064155402,0,0,0,0,0,0,0.474462373800452,0,0,0,0,0,0,0,0.0208199310109136,0.0612076839664113,0,0,0,0,0,0,0.0831179485258944,0,0,0,0.373542111312877,0,0,0,0,-0.36492225031648,0,0,0,0.00923533068579571,0,0,0.0348448125117443,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.190991143586202
X1299.HK.EQUITY,0,0,0.0190985698166526,0,0.182049835168693,0,0,0,0,0,0,-0.0485568612862779,0,0,0,0,0.172466896274482,0,0.0125770320166518,0,0,0,0.0373241385683013,0,0,0.259463866226226,0,0,0,0,0.187404634616885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347587940288927,0,0,0,0,0
X601628.CH.EQUITY,0,0.114005257121916,0,0,0,0,0,0,0,0,0,0,0.0303097708021792,0.244587340679367,0,0,0,0,0,0,0,0,0.124836601162431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117740089427138,0,0.196415841742155,0,0,0,0,0,0,0,0,0,0.0061582773696529,0,0
X601328.CH.EQUITY,0,0.108783051891507,0,0.291766387103618,0,0,0.392384658561632,0,0,0,0,0,0,0,0,0,0,0.241954673310783,0.0101534597320036,0,0,0,0,0,0,0,0.0886693635790444,0,0,0,0,0,0,-0.170017892151327,0,0,0,0,0,0,0,0,0,0.0271373860310532,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.255778628194981,0,0,0.303545605477317,0,0,0,0,0.348681691164175,0,0,0,0,0,0,0,0,-0.277817128071335,0,0,0,0.0965434236479102,0,0,0,0.0317816366922186,0,0,0.157016429892225,0,0,0,0.254852696787581,0,0,0,0,0,0,-0.115191814900372,0,0,-0.0211261994089126,0,0,0.0862440926634065
X600000.CH.EQUITY,0,0,0,-4.33680868994202e-19,0,0.194632968990897,0.332296187524257,0,0,0.161090262526344,0,0,0,0.48737109215863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961351144972573,0,0,0,0.0148845217387384,0,0,0,0,-0.307463024434567,0,0,0,0,0.0551307601714491,0.0382354038553434,0,0,0,0.0649570388429892,0,-0.0329770282588141
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404909331123238,0,0,0.172001276743527,0,0,0,0,0,0,0,0,0.0462942934010559,0,0,0,0,0,0,0.135356935488354,0,0,0.271279984947825,0,0,0,0,0.0042135421249097,0,-0.135138434405879,0
X601601.CH.EQUITY,0,0.28996115055511,0,0,0,-0.26191280732428,0.0170107313679804,0,0.297974855557875,0,0.0566675442000569,0,0,0,0,0.190861963922662,0,-0.0303640614156981,0.038134512463427,0,0,0,0,0,0,0.0861904597544831,0,0,0,0,0,0,0,0,0,0,0,0.0880724909778332,0,0,0,0,0,0,0,0,0,0,0,-0.0258214521609422,0
