,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.190063179793851,0,0,0,0.51257988719617,0,0,0,0,0,-0.00264549087398923,0,0,0,0,0,0,0,-0.156551387964512,0.495474273630098,0,0,0,0,0,0,0,0,-0.018998768532007,0.098741349321475,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0465421566361759,0,0,0,0.0620806195955616,0,0,0,0,0.160549207843071,0.0727324803607102,0.104991703724765,0,0.00889762025359371,0,0,0,0,0.101473067854883,0,0.0743670279202261,0,0,0,0,0,0,0,0.266105720494518,0,0,0,0.129708284111875,0,0.0345350532294686,0,0.109328743492691,0,-0.017236889737149,0,0,0,0,0
X601939.CH.EQUITY,0.644198070188887,0,0,0,0,0,0,0,0,0.0112544315420866,0,0,0,0,0,0,-0.201277570860855,0,0,0,0,0,0.202267964468666,0,0,0,-0.259783080073202,0,0,0,0,0,0,0,-0.14596428193609,0,0,0,0,0,0.608541142343031,0,0,-0.0700764519796279,0,0,0,0,0,0,-0.0911588189360548
X601288.CH.EQUITY,0,0,0,0,-0.00368326174147692,0,-0.0364406154417811,0,0.129086810913891,0,0.346674901913244,0,0,0,0.232181124121717,-0.0690848040626035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598333202536347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0532368282904931
X5.HK.EQUITY,0,0,0,0,0,0.145542236168948,0.395608811110087,0,0,0,3.46944695195361e-18,0,0,0,0.170932934116608,0,0,1.38777878078145e-17,0,0,0,0,0.0897775743493775,0,0,0.0351276810665913,0.0436602488798993,-0.138096470858529,0,0,1.73472347597681e-18,0,0,0,0,0,0.0535376658866654,0,0,0.131047375369818,0,0,0,0,0,-0.186026055455432,0,0,0.123723750238058,0,0
X601988.CH.EQUITY,0,0,0,0,0.253211045336131,0,0,0,0.173402142782976,0,0,0,0,0,0.140311038882603,0,0,0.0583082407719302,0,0,0,0,0,0,0.111355232732858,0,0,0,0,0,-0.151214073281901,0,0,0,0,0,0,0,0,0,0.0158002261309386,0,0,0,0,0,0,0,0,0.123812552577265,0
X1299.HK.EQUITY,0,0,0,0,0.132214050321505,0,0,0,0,0,0,0,0,0,0,0.074376380359649,0,0.0943772820516343,0,0,0,0,0,0,0,0.168149015493021,0,0.0753770087929043,0,0.0428056386723553,0,0,0.117830050375088,0,0,0,0.222513275774566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130169192070145
X600036.CH.EQUITY,0,0.0581606339190168,0,0,0,0,0,0,0,0.527983608689525,0,0,0,0,0,0,0.0673977534834702,0,0,0,0.240319285297519,0,0,0,0,0,0,0,0.145912496257669,0,0,0,-0.194822390156267,0,0,0,0,-0.165026241881818,-0.00213545267620691,-0.0227264222248701,0,0,0,0,0.193432172997874,-0.0518747411178659,0,0,0,0.0287872745900844,0
X601628.CH.EQUITY,0,0.21415675589292,0.00433507819123808,0.0810255158098297,0,0,0,0,0,0,0,0,0,-0.034531396563583,0,-0.051307648517689,0.202412304771055,0,0,0,0,0,0,0,0,0,0,0.0385700518335831,0,0,0,0,0,0,0.159127126744412,0.0757435936348193,0,0,0,0,0,0.218631691233445,0,0.082717140017093,0.097578989323057,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.703361814600728,0,0,0,0,0,0,0,0,0,0,0,0,0.13283858052809,0,0,0,0,0,0.0350904416721785,0,0,0,0,0,0,0,0,0,0,0,-0.00872206404643608,0,0,0.0203992212006946,0,0,0.00342760526367957,-0.182891190656813,0,0,0,0.047656410905258,0
