,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.445566773144917,0,0,0.0124138186938734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232428202560717,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.183714706968283,0,0.045608407949575,-0.0135097921801795,0
X601318.CH.EQUITY,0,0,0,0,0.147959602958955,0,0.0357020652573155,0.0952017829033116,0.067559174592497,0,0.0826206754614723,0,0,0.0139811153835658,0,0,0,0,0.125521919527078,0,0.368241435427157,0,0,0,0,0,0,0.121882926231578,0,0,0,0,0,0,0,0,0,0.0414654706855542,0,0,0,0,0,0.0235992460154789,0,0,0,0,0.0141797716152659,0,0,-0.136833017525246
X601939.CH.EQUITY,0,0.0854235695547258,0,0.165728776238888,0,0,0,0,0,-0.0163930369485189,0,0,0,0,0,0,0,0,0,0.0353712314843278,0,0.844825001912747,-0.227864068194535,0.0450742529751954,0,0,0,0.0433172590934563,-0.167342868719082,0,0,0,-0.0194035451741213,0,-0.0434557267198266,0,0,0,-0.0307134840927711,0,0,0,-0.0871968461079605,0,0,0,0,0,0,0,0,0.0828511035834391
X601288.CH.EQUITY,0.113406983219568,0,0.0753069493061523,0,0,0.0875742505612539,0.407043287909597,0,0,0,0,0,0,0,0,0.0488358577774731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212348454644087,0,0,0,0,0,0,0.118609942977069,0
X600036.CH.EQUITY,0,0.180588265148609,0,0,0,0.0689130319094508,0.0920761832883099,0,0,0,0,0,0,0.208103963284765,0,0,0,0,0,0,0,0,0,0,0.0285823609913286,0.316870358492944,0,0,0,0,0,0.0880262501001948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0646234523653321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133199596661692,0,0,0,0,0.227905902101589,0,0,-0.075986078503093,0,0,0,0,0,0,0.101789578335843,0,0,0,0.631141266656594,0,0,0,-0.0628366816005328,0,0.118638122425316,0,0,0,0,0,0,0,0,-0.0564824279873538
X601988.CH.EQUITY,0.0906075058101158,0,0,0.229776740306162,0.335126930255489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255308713313542,0,0,0,0,0,0,0,0.120366590512645,0.0666190792115365,0,0,0,-0.0229358643733764,0,0,0,0,0.176772896892882,0,0,-1.0842021724855e-19,-0.161243036514473,0,0,0,0,0,0,0,0.203435174180785,0,0
X1299.HK.EQUITY,0,0,0,-0.0455045946601425,0,0,0,0,0,0.139298095841802,0,0,0,-0.169780890909849,0,0,0,0,0,0,0,0,0,0,0,0,0.239671714376942,0,0.0187634458413329,0,0,0,0,0,0,0,0,0,0,0.0979759251074043,0.128374592282318,0.0625071207820566,0,0.0745583059654235,0,0.0265135542721736,0.171550358295679,0,0.13905888444898,0,0,0
X5.HK.EQUITY,0,0.0170484027224665,0,0,0,0,0,0,0,0,0,0,0,0,0.0967177717747381,0,0,0,0,0,0,0,0.0557094964087763,0,0,0,0.122718245551078,0,0.618143519343058,0,0.0336770233224931,0.135975025989755,0,0,0,0,0,3.46944695195361e-18,0,0,-0.111756636576481,0.0919908096400291,0.189383708916112,0,0,0,0.106753198919933,0,0.1823633500426,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0566442078608217,0,0,0,0,0,0.00813763455857257,0,0,0,0,0,-0.160572252155395,0,0,0.446525315908565,0,0.130286472525105,0,0,0,0.247832545208102,0,0,0.181234931028762,0.197103598345059,0,0,0,0,0.230887657583472,0,0,0,0,0.0144270811945393,0,-0.379864350290897,0,3.46944695195361e-18,0,0,0,0.053077193414353,0
