,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.347785552146023,0.0821905949466636,0,0,0,0.128465312847905,0,0,0,0,0,0,0.263244359822394,0,0,0,-0.0310721616880013,0,0,0,0,0.0367148924994947,0,0,0,0.0763889565793752,0,0,0,0,0,0,0,0.0132098563772766,0,0,0,0,0,0,0,0,0,0,0.0199829216902944,0.0358309432774548,0,0,0
X601939.CH.EQUITY,0.041493405365102,0,0,0.0546161365502216,0,0,0,0,0,0,0,0.0473934913217705,0,0.193020650576653,0,0.4059789706366,0,0,0,0,0,0,0,0,0,0,0,0,0.000816871646392381,0,0,0,0,0.106887264139173,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.13689549874578,0,0,0,0,0
X601318.CH.EQUITY,0.0486136538135002,0,0,0,0,0,0.164205039749672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120749396216597,0,0,0,0,0,0,0,0,0.131921166047403,0,0.076147991578191,0.0272632991382138,0,0,0,0,0.119788971942488,0.033948696188245,0.259302155934028,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.3712443142733,0,0,0,0.372357893413418,0,0,0,0,0,0.0910562107067055,0.0113460763812965,0,0,0,0.0528801983528571,0.0554329704280778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123766064969573,0,-0.0207514009752748
X601988.CH.EQUITY,0,0,0,0.226758022885199,0,0,0,0,0,0,0.0919411565981643,0,0,0.187753982555514,0,0,0,0,0,0,0.104201603051901,0,0,0,0,0.0231899530889091,0,0,0,0.0954746862591154,0,0,0,0,0.10826223063694,0,0,0.0936932531083616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.180391752858071,0,0,0,0,0,0,0.368257912234277,0,0,0,0,0.161567998103309,0.683627999580433,-0.41508817857114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397547646939664,0,0,0,0,0,0,-0.145499064442423,0.175585125503854,-0.00921894724480918
X600036.CH.EQUITY,0.133663682355313,0,0.0815823072193101,0,0,0,0,0.0289210684031454,0,0,0,0.0815634749375826,0,-1.38777878078145e-17,0,0.0724723454321033,0,0,0,0,0,0.18892251702439,0,0,0.0159428664848916,0,0,0,0,0,0.0612343599782343,0,0,0,0,0.170239568763099,0,0,0,0,0,0,0,0,0,0,0.00581178441039481,0,0,0.0214533672775042,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.145622352774302,0.174105880842463,0,0.00301447738984766,0,0,0,0,0,0,0,0.279504289994801,0,0,0.266612979303582,0,0,0.217169076955668,0,0,-1.0842021724855e-19,0,0,0,0.143536225254404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0811135163652267,0,0,0,0,0,0,0.0187969989113246,0,0,0,0.260316029522922,0,0,0,0,0,0,0,0,0.24809211654812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520554082819873,0,0,0.0383836684600007,0,0,0.0940128589824149,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.161717708563196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000387747407039651,0,-0.309853754802253,0,0,-0.201966241667847,0,0.206079602254157,-0.0524331690706614,-0.279269190734001,0,0,0,1.42682127139182,0,0,0,0,-0.0967728972746097
