,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.360924864105568,0,0.310466633753958,0,0,0,0,0,0.0477120446218299,0,0,0,0,0.0513276176106442,0,0,0,0,-0.0444546285681542,0,0,0,0,0,0,0,0.044157564997316,0,0,0,0,0,0,0,0,0,0,0,0,0.0902075760926711,0,0,0,0.0582176779785987,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.108477184662594,0,0,0,0,0,0,0,0.179219686503108,0,0,0,0,0,0,0,0.179214359280894,0,3.46944695195361e-18,0,0,0,0,0,0.0678332563546176,0,0,0,0,0,-0.0561989189866793,0.136484523925629,0,0,0.0316612855973008,0.156517709349751,0,0,0,0,0.0391610318547184,0,0.0204911489709345,0,0,0,0.0582829309025366,0,0,0.136092258888883,0,0
X601939.CH.EQUITY,0,0,0,0.340427601801784,0,0.0711658697091254,0,0,0,0,0,0,0.434310668082097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544549035826301,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.396055622700388,0,0,0,0,0.266323579048991,0,0,0,0,0,0,0,0,0.0307878881947642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206732867886913,0,0,0.0046088525197555,0,0,0,0.0317975065680471,0.0772822667072483,0,-0.0178131458148325
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.193422945161679,0,0,0,0,0,0,0,0,0,0.528740970787102,0.0228362518593078,0,0,0.038030703045564,0,0,0,0,0.176132246921787,0.0488764104037238,0,0,0,0,0,0,0,0,0,-0.0463349034417506,0,0,0,0,0,0,0,0,0,0.0872108189030036,0,0,0
X601988.CH.EQUITY,0.38634890561406,0,-6.93889390390723e-18,0.00304126940821388,0,0,0,0,0,0,0.0657643165348628,0,0,0,0,0,0,0,0.0148368687759302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162118748282256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330851058147005,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.143141796940727,0,0,0.015819153124228,0,0,0,0,0,0.573493486198622,0,0,0,0,0,0,0,0,0,0,0.0717267906520787,0,0,0,0.0621451446424459,0,0,0,0.065942492646703,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0125586415357679,0,0,0.0516729239775007
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0750546833152668,0,0,0,0.428393617526485,0,0,-2.77555756156289e-17,0.120448972016146,0.0536338132889679,0,0,0,0,0,0,0,-0.0349391879794282,0.406735179727863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.257051984410818,0,0,0,0,0.0609400907998239,0,0,0,0,0.0128899281809575,0,0,0,0,0,0,0,-0.0798844139090015,0.0981812791294269,0,0,0,0.156856657792676,0,0,0,0,0.151980503733248,0,0,0,0,0,0,0.0712079592706034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663695162857201,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21471698873318,0,0,0,0,0,0,0,0,0,0.347846837346132,0,0,0,0,0.0275322360427693,0,0,0,0,0,0,0,0,0,0,0,-0.869861241010724,0.22734839283592,0,0,-0.367570926701701,0.612792653986145,0.394151627544731,0,-0.102207020745694,-0.11341814922878,0,-0.394690179992197
