,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.651644042739994,0,6.93889390390723e-18,0.0209619721333194,0,0.0614850465343495,0,0,0,0,0,0.0738481195633444,0,0,0,0,0.0486807030644964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056298744843832,0,-0.0374450060321502,0.0433546657466699,0.0199121758738499,0,0,-0.0201468703596861,0,0,0,0
X601939.CH.EQUITY,0.174328722820607,0,0,0.614367287933352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283820582156305,0,0,0,0,0,0.114479243373144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.00998079984463447,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0127580770071725,0,0,0,0,0,0,-2.16840434497101e-19,0.0856618070053879,0.295224657319176,0,0,0,0,0,0,0.141298559689515,0,0,0,0,3.46944695195361e-18,0,-3.46944695195361e-18,0.0481459597541977,0,0,0,0.0032242144431742,0,0.0667530434939961,0.192061172269156,0,0.0138952639575583,0,0,0,0.0199419352062412,0,0,0.0642714803056539,0,0
X601288.CH.EQUITY,0.211900144421311,0.225647249745672,0,0,0,0.0589672176357917,0,0,0,0,0,0,0,0,0,0,0,0.140294902919034,0,0,0,0,0,0,0.0471969415044751,0,0.1217490886129,0,0,0.0648358937586372,0,0,0,0,0,0,0.0103220666641182,0,0.0568939391447468,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,-0.106815765817366
X5.HK.EQUITY,0,0,0,0,0,0.314558496152362,0,0.468438796986561,0,0,0,0,0,0,-0.0957230850923498,0.0986689089853558,0.191166500208778,-0.0333320919445465,0,-0.286323365395781,0,0,0,0,0,0.421044259005808,0,0,-0.0277529910509377,0.120480940984712,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206426494996282,0,-0.47249497999073,0,0,-0.158794602046422,0.107258426631016,0
X601988.CH.EQUITY,0.116245330743845,0.0103470663687038,0,0,0,0,0,0,1.73472347597681e-18,6.93889390390723e-18,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0.584137731100147,0.0365032971702089,0,0,0,0,0.0119242716286436,0.149334757476985,0,0,0,0,0,0,0,0,0,0.0616079413594446,0,0,0,0,0,0,0,0,0,0.087084056856393,0
X600036.CH.EQUITY,0,0,0,0,-0.0265027745839531,0,0,0,0.0298096791100854,0,0,-0.0023658429744185,0,0,0,0,-0.0202022637809357,0.0418640251705008,0,0,0,0,0,0,0.758991971735651,-0.00659118898450281,0.0300177309335275,0,0,0.102037994990288,0,0,0,0,0,0,0,0,0,0,0,0,0.0652515343709685,0.0704657643936809,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.211033052023054,0,0,0,0,0,0,0,0.230867560140283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193107752645534,0.125757745426442,0,0,0,0,0.128552732262612,0,0,0,0,0,0,0,0,0,-0.0434602880080602,0,0.059114466378108,0,0,0,0,0.0909159532910304
X601628.CH.EQUITY,0,0,0.218319022036216,0,0,0,0.0307741507663244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505686968609515,0,0,0,0,0,0,0,0,0,0,0,0,0.402711258608502,0.231693849701656,0,0,0,0.0293128476865222,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.17181218541167,0,0,0,0,0.115083535995435,0,0,0,0,0,0,0.2567176081278,0,0,0,0,0,0,0,0.224863007767289,0,0,0,0,0.0656292797160123,0,0,0,0,0.00607938874589662,0,-0.00585965014568802,0,0,0,0,0,0.198596751572337,0,0,0,0.00222025017267393,0,0,0,0.0278525632398322,0,0,0
