,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.104665865019767,0,0.0445176134749742,0,0,0,-0.106669407609997,0,0,0,0.520700731438823,0,0,0,-0.0193561627702552,0,0,0,0,0,0,0,0,0,0,0,0,0.0142067993456187,0,0,0,0,0,0,0,0.0821599645127273,0,0,0,0,0,0.22657733233643,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.212692533924445,0,0,0.0467954014338555,0,0.10886409159581,0,0,-0.0326865609375527,0.0611552230030468,0.106150820537668,0,0,0,0,0,-0.0280806047038305,0,0,0,0,0,0,0,0,0,0,0,0,0.157500743340252,0,0,0,0,-0.352222337805021,0,0.323982135842016,0.221556780252283,0.0359290982898316,0,0,0,0,0.201238025164604,0,0,0
X601939.CH.EQUITY,0.329648708451375,0,0,0.331399019656209,0,0.10358762234523,0,-0.0604156269871584,0,0,0,0,0,0,0.10790848398007,0.0666548471004807,0,0,0,0,0,0.00490730531486059,0,0,0,0,0,0,0,0,0,-0.00884123970811494,0,0,0,0,-0.130783695501332,0,0,0.337786379898063,0,0,0,0.0177711047592443,0,0,-0.0421434222232548,0,0,0,0,0
X601288.CH.EQUITY,0.467088791360218,0,0.0896126695380592,0,0,0.178696611743985,0,0,0.0298777116639775,0,0,0,0,0,0,0,0.0344934275427851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173874172444519,0,0,0,0,0,0,0,0,0,0.143985269661922,0,0.0502125780136777
X5.HK.EQUITY,0,0,0.0435265450500099,0.195779006302663,0,0.142083669278242,0,-0.361302829993844,0,0,0,0,0.0642356727093391,0,0,0,0,0,0,0,0.379264655539102,0,0,0,0,0.448453527938233,0,0,0,0,0,0,0,0.063170225210582,0,0,0,0,0,0,0,0,0,0,0,0,0.18663255829813,0,0,-0.0806434215765306,0,0
X601988.CH.EQUITY,0.280527082058222,0.106504080600445,0.370460800532453,0,0,0,0,0,0.141831827580579,0,-2.77555756156289e-17,0,0,-0.0900237926799693,0,0,0,-0.0544137123016281,0,0,0,0,0.187330201245115,0,0,0,0.0389700198330965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379854086536761,0,0.133980547953609,0,0,0,0,0,-0.0770444412248465,0,0.00548177012281615
X600036.CH.EQUITY,0,0.0813896248750202,0,0,0,0,0,0,0,0,0,0,0.124624319822011,0,0.38170770701364,0.0234101567380915,0,0,0,0,0,0,-1.73472347597681e-18,-8.67361737988404e-19,0.0639821951190652,0,0,0,0,0,0,0.0750592575948434,0,0,0.0468991912962479,0,0,0,0.142229714398284,0,0.112064706440001,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0310024632702971,0,0,-0.0262563502224107,0,0,0,0,0.284880762028228,0,0.149320613373463,0,0.149620249927741,0,0,0,0,0,0,0,0,0,0,0.014524066485815,0,0,0.0157276332728881,0,0,0,0.202496991256429,0,0.0426139253891311,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.352029377799524,0,0,0,0,0,0,0,0.0295065773378798,0,0,0,0,0,-0.0152920523036232,0,0.0681396351994621,0,0,-0.0152332065712739,0,0,0,0,0,0,0,0,0.0394523291219438,0,0,0,0,0,0,-0.169088270520749,0,0,0,0,0,0.208221902287031,0,0,-0.0872760927961393,0.132672319386594,0,0,0,-0.00335527700144653,0.142839219286328
X601658.CH.Equity,0,0,0,0,0,0.323057301815113,-0.110040813485221,0,0,0,0,0,0,0,0,-0.151140750786388,0,0,0,0,0,0,0,0.360527924332588,0,0,0.455646768699906,-0.138921909890513,0,0,0.0879019597450658,0,0,0,0,-0.434499582979968,0,0.12983349414549,0,0,0,-0.0534198957497392,-0.169340283480767,0,0,0,-0.00403794244557942,0,0,0,0,-0.551361468613373
