,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0849130428137114,0,0.626454503922518,0,0,0.000507861246977215,0,0,0,0,0,0,0,0,0.00608470825308019,0.12411957664318,0,0,-0.0121371688699789,0,0,0,0,0,0,0,0.0920471779420982,0,-0.0374737848088926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214470353713636,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.00164617899994296,0,0.0129618691818029,0,0,0,0,0,0.15947771300474,0,0,0,0,0.468882202384556,0,0,0,0,0,0,0,0,0,0,0,0.0478932132252029,-2.71050543121376e-20,0,0,0,0,0.0674753249651574,0,0,0,0,0,0.112432636462904,0,0,0,-3.46944695195361e-18,4.33680868994202e-19,0,0,-0.149072972695381
X601939.CH.EQUITY,0,0,0,0,0.441079426912916,0,0,0,0,0.114077288640027,0.25541551978688,0,0.0385177374522899,0,0,0.168495138563877,0,0.00815897624847327,0,0,0,0,0,0.00660540235744122,0,0.0419288939771585,0.0349461904911364,0,0,0,0,0,0,0,0.0531157208343491,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0846387244013808
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.165184026009656,0,0.0717836432422907,0,0,0,0,0,0,0.328682158960998,0,0,0,0.20334374105382,0.0880368502925272,0,0,-0.00204374870020129,0,0,0,0,0,0.162261753091012,0.0319224692623209,0,0.0642708384280624,0,0,0,0,0,0,0,0,0,0,0.158635398031176,0,0,0,0,0
X601288.CH.EQUITY,0.27300086868775,0,0.237207873590455,0,0,0,0,-0.106953895740341,0,0,0,0,0,0.0251160080479647,0,0,0.0287983460908986,0,0,0.00844041539564477,0,0,0,0,0,0,0,0,0,0.171407924184881,0,0,0,0,0,0,0,0,0,0,0.116855499445512,0,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.0344433438328851,0
X600036.CH.EQUITY,0,0.249153073922742,0,0,0,0,0,0.0387403084356062,0,0,0,0,0,0,0.252376518861742,0,0.000436934610102131,0.123888069147151,0,0,0,0.0100023005840809,0,0,0,0.260501501488412,0,0.0571633860185579,0.0832968298799939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.218994014706417,0,0,0,0,0,0,0,0,0,-0.0427325267705123,0,0,0,0,0.0740804006841201,0,0,0,0,0,0,-0.0197154654538276,0,0,0,0,0,-0.081536550173757,0,-0.119315543174993,0,0,0,0,0,0,0,0,-0.0181049753501617,0,0,-0.0245543790589029,0.965258303165504,0,-0.0843395833434911,0
X1299.HK.EQUITY,0,0,-0.281301085975398,0,-0.0898036145353008,0,0,0,0,0.250146385510199,0.0208763930821578,0,0,0.0922170847569144,0,0,0.0729759563220911,0,0,0,-0.0814038177146626,0.125502374498195,0,0,0,0.100588298232081,0.590678826289026,0,0,0,0,0,0,0,0,0,0,0.0235941505849674,0,0.0657091375928264,0,0.0505006619164883,0,0,0.0768630990474808,0,0,0.115862911323575,0,0,-1.73472347597681e-18,-0.182273787692412
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.23789893140708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610611314645452,0.022410994456626,0.367919588794838,0,0.115563397937353,0,0,0,0,-0.0627614986684227,0,0.0828431828388706,0,0,0,0,0.147106550117262,0,0.323003020711976,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.0856427098758551,0,0,0,0,0,0.0293674885113344,0,0,0,0.14213445774063,0,0,0,0,0.00268784139538666,0,0,0,0.104246794069279,0.0845413382813074,0.0139655639663562,0,0,0,0,0,0,0,0.1108184336406,0,0,0,0,0,0.0480732936637136,0.0998277303705781,0.290561552977422,0,-0.294957264855061,0,0,0,0.0070047188030152,0,0.274986765323346,0,0,0,0,0
