,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.178997644107947,0.0768597905349189,0,0,0.384192714283555,0,0,0,0.0317467559205513,0,0,0.0304217905427759,0,0,0,0,0,0,0,0,0,0.207862580653388,0,0,0,0.0603757416097193,0,0,0,0.103740442439358,0.0404289137288503,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0843901021532252,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.127131317740514,0,0.0232446358256931,0,0,0.148900882271736,0,0,0,0.287419965964858,0,0.0354398442913369,0,0.0123874262187699,0,0,0.0951308418687107,0,0.0985034740141523,0,0,0,0,0,0.0210611040713533,0.160994842261018,0,0,0.0362913607584172,0,0,0,0,1.73472347597681e-18,0,0,0,0.095059619255589,0,0,-0.129035719569158,0,0.146780236461553,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0551940427629874,0,0,0,0.138982636259946,0,0,0,0,0,0,0.0469730381106304,0,0,0.0618516354668298,0,0,0,0,0,0,0,0,0.0218623076955398,0.442807892734056,0,0.128200207809834,0,0,0,0,0,0,0,0,0,0,-0.131432208975016,0,0,0,-0.0228263911474056,0,0,0,0,0,0,0,-0.058057905659494,-0.061508618495867
X601939.CH.EQUITY,0.497219938155425,0.122031882107094,0,0,0,0,0,0,0.0883064282557174,0,0.214322740247442,0,0,0,0,0,0,0.192994517471388,0,0,0,0,0,0,0,0,0,0.0862922379006103,0,0,0,0,0,0,0,0,0,0,0.118477953729993,0,-0.101567881088446,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0.0729670313272886,0,0,0,0.462037691626096,0,0,0.0297271783664132,0,0,0,0,0.0517413016903178,0,0,0.092578688541749,0,0,0,0.000365523804179185,0,0.112599776454385,0,0,0.0697477020394565,0,0,0,0,0.100590919371585,0,0,-0.0247997169608838,0,0,0,0,0,0,0,0,0,0,0.00605580536321982,0,0,0,0,0.0477917397324094
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0834609126316569,0.0167911515492831,0.29309082640267,0,0,0,0,0.0549409728067493,0,0,0,0,-0.0558479133954883,0.0238087980758167,0,0,0,0,0,0,0,0,0.156945984383024,0,0,0.000709357335790781,0,0,0,0,0,0,0.242444247934307,0.205107778687444,0,0,0,0,0,0,0.150171643646726,0,0,0,0.180277821389346
X601628.CH.EQUITY,0,0,-0.0986988133387776,0,0,0,0,0,0,0.216085022257738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372871677712782,0.103019003665353,0.0224741039819338,0,0,0,-0.0631613438427248,0,-0.0189292445758494,0,0,0.237662528318813,0,0,0.378799919381633,0,0,0,0,0,0.0189379875225214,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0550026828874871,0,0,0,0.526183988601391,0,0,0,0,0,0,0,-0.114012912482312,0,0,0,0,0.222129793281404,0,0.0379847527749265,0,0,0,0,0.0148846841351631,0,0,0,0,0,0,0,-0.149507388716752,0,0,0,0,0,0,0,0.0657743558765781,0,0,0,0,0.0554484312219208,0,0,0,0.0343232133636068,0,0.00246854969620032
X5.HK.EQUITY,0,0.210998340127382,0,0.109584010500819,0,0,0,0,0,-0.129887169166242,0.0564563514554695,0.00218753859977946,0,0,0,0,0,0,0,0,0,0,0,0.308332603720322,0,0,0.113478691038263,0,0,0,0,0,0,0.0390684954688785,0,0,0,0,0.202452988555444,0,0,0,0.0462274701739429,0,0,0,0.123626535398729,0,0,0,0.030763840778947,0
X388.HK.EQUITY,0,0,0,-0.13817757602046,0,0,0,0,0,0,0,0,0,0,0,0,0.154315687597021,0,0,-0.156860821479867,0,0,0,-0.0606943131536177,0,0,0,0,0.147332372972038,0,0,0,0,-0.407581168153582,0,-0.135321324814126,0,0.269768273575602,0,-0.00715055703035713,0.250736668075628,0,0,0,0.305188739619717,0,0,0,0,0,0,-0.0269296449803254
