,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.134275179836157,0,0.111005748616347,0,0.070313362112976,0,0,0.3355018191768,0.0501847528496737,0,0,0,0,0,0,0,0,0,0.123152208539368,0,-0.0723868787380312,0,0,0,0,0,0,0,0,0.196586548316494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.399233259092858,0,0,0,0.136760936315714,0,-0.123944773464813,0,0,0.0484307956881091,0,0,0.393639366149897,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510465824632957,-0.00327021692890678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229986143927664,0,0,0,0,0,0,-2.16840434497101e-19,0.0816996856516169,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.235072127083548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200776981335754,0,0,0,0,0,0.153601411919959,0,0,0.0799683024346344,0,0,0.175380426918362,0.18552591483332,0,0,0,0,0
X601288.CH.EQUITY,0.384281109372205,0.0323081099484107,0,0,0.357947599861865,0,0,-0.0184767424391264,0,0,0.0865580304898924,0,0,0,0,0.0833241795832792,0,0,0,0.0138735369873302,0,0,0,0,0,0,0,0,0,0,0.0247938704745642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0366618213968582
X601988.CH.EQUITY,0,0.040542910554324,0,0.322932717582439,0,0,0,0.0149602045794488,0,0,0.223856527009225,0.0719764813066098,-5.55111512312578e-17,0.100457350442036,0,0,0,0,0,0.163516821193695,0,0,0,0,0,0,0.0492115465812793,-0.0287979883080093,0,0,0,0,0.0062553631271261,-1.38777878078145e-17,0,0,0,0,0,0,0.0719682633874653,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0395474082878935,0,0,0,0.0227313467163249,0,0,0,0,0.42723831117412,0,0,0,0,0,0,0,0,0,0.0210276903810257,0,0,0,0,0.116207663366464,0,0,0,0,0,0,0,0,0,0.0571355440116682,0,0,0,0.0479176984869497,0,0,0,0,0,0,0,0,0.248278649042403,0,0
X1299.HK.EQUITY,0,0,0,0,-8.67361737988404e-19,0.021391539590882,0,0,0,0,0,0,0,0,0.0255969085218132,0.234736055589359,0,0.159690102336832,0,0,0,0.13229817054129,0,0,0,0.170656112652878,0,0,0.0914557004118619,0,0,0,0,0,0,0,0,0,0,0,0.0804476349957103,0,0,0,0,0,0,0,0.196561003702592,0,0,0
X5.HK.EQUITY,0,-0.140015170094437,0,-0.153455016667747,0,0,0,0,0,0,0,0,0,-0.0157611323636877,0,0,0,0,0,0,0,1.26583488028418,0,-0.798661915963741,0,0,0,0.466239360167771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389732866756216,0,0,0,0,0,0,0,0,0.120412312559825,0
X601628.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.342118677383003,0,0,0,0,0,0,0,0.00761997314778512,0.0541499296742117,0,0.0130821958137316,0,0.202248874210548,0,0,0,0.0659203115213062,0,0,0,0,0,0,0,0,0,-0.0507102813312452,0,0,0,0.155356004202354,0,0,0,0,0,0,0.0218705119581638,0.06297603331015,0
X601658.CH.Equity,0,0,0,0.354094787242418,0,0,0,0.0840514217295854,0,0,0,0,0,0,0,-0.200798824103629,0,0,0,0,0,0,0,0,0,0,0.0278150188938829,0,0.859507876530938,0,0,0,0,0,0,0,0,0,0,0,0,-0.295703641840552,0,0,0,0,0.136742723449949,0,0,0,0,0
