,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.593158108360102,0,0.0212698482582597,0,0,0,0,0,0,0,0.105144815569346,0,0,0,0,0,0,0.13111198474805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257857968053296,0,0,0,0,0.0844082183467838,0,0.0501987020359051,0,-0.00253815424241055,-0.019317693631628,-0.0447535234598007,0,0.0326398205372533,0.0118085452527709,0
X601318.CH.EQUITY,0,0,0,0.198415244889759,0,0,0,0,0.0744164030957138,0,0,0,0,0,0,0,0,0,0,0.190765252292796,0,0,0,0,0,0.0264271093787331,0,0,0.0993256480831144,0,0,0,0,0.0646155579560795,0,0,0,0,0,0,0.183401793868378,0.0196519623502606,0,4.33680868994202e-19,0,0,0,0.0898196213165226,0,0,0
X601939.CH.EQUITY,0.154103236541175,0,0,0.305312895772717,0,0.252390038233319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999391688911099,0,0,0,0,0.0806840506183516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499019388165845,0,0,0
X601288.CH.EQUITY,0.203696457261792,0,0.211265928881008,0,0,0.0269347602568605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119789827241535,0,0.0362193359290557,0,0,0,0.120442072012613,0,0.103226345149039,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,6.93889390390723e-18,0.0870723454578544,0,0,0.0434631013117322,0,0,0,0,0,0,-0.0885076331346238
X5.HK.EQUITY,0,0,0,0,0,0,0.450829760988928,0,0,0,0,0,0,0,0.119171026842046,0,0.21011304315438,0.165513534631324,-0.0925622767728734,0,0,0,0,0,0.315122947651283,0,0,0,0,0.037821704886316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449367270989033,0,-0.709603664607173,-0.154813204612776,0,0,0.145305646479711,0
X601988.CH.EQUITY,0,0,0.110753023326767,0,0.0360873941866535,0,0,0,6.93889390390723e-18,0,0,0,0.0650184312698501,0.0579668991095133,0,0,0,0,0,0.00591276429505919,0,0,0.620376891641073,0.0150859010456551,0,0,0,0,0,0.107742922158836,0,0,0,0,0,0,0,0,0,0,0.0461321602056263,0,0,0,0,0,0,0,0,0.0852849424157462,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.043150062589395,0,0,0,0.261099872160855,0,0,0,0.172398533437899,0,0,0,0.0743765056961155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00994813104857945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789035571774402,0,0,0.0054688783429602,0.068509115700784,0,0,0,0,0,0,0,0,0,0,0,0,0.0148507092333183,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.212571278900893,0,0,0,0,0,0.0309698243904473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574808091681524,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.398404380888309,0,0,0.230527686881264,0,0.00121403661218806,0.0277536992582405,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.111989223158039,0,0,0,0,0.150364122674601,0,0,0,0,0,0.18985231293505,0,0,0,0,0,0,0,0.267046478942315,0,0,0,0,0,0,0.040950375061459,0,0,0.000208287994090778,0,0,0,0,0,0,0,0.0397188700007848,0.206490958657388,0.0223315659945122,0,0,0,0,0,0,0.0119082833855487,0,0
X601166.CH.EQUITY,0.0518014737182751,0,0.160168257225004,0,0,-8.67361737988404e-19,0,0.175669790542167,-3.46944695195361e-18,0.0978078569868489,0,0,0,0.231446235485868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555752312537985,0,0,0,0,0,0,0,0,0,0.0845205390775128,0,0,0,0,0,0.0405594327119839,0
X16.HK.EQUITY,0,0,0,0,0,0,-0.0486718362479417,0,-0.123922490293092,0,0,0,-0.110459147625154,0,0,0,0,0,0,0,0,-0.135950086363649,0,0,0,0,0.157993324970018,0,0,0.127518179049294,0.153596627279861,0.275432225429359,0.32412000807999,0,-1.0842021724855e-19,-0.0850951029768933,0,0,0.0723442628775736,0,0,0,0,0.000761857588757825,0,0.183317880244954,-0.0215120826488318,0,0,0.0603847831531813,0
X11.HK.EQUITY,0,0,0,0,0,0,0.251251418834311,0,0,0,0,0,0,0,0,0,0.184897453471916,0.206887957089461,0.0750419468592241,0.149659853416592,0,0,0,0,0,0,0.148136320202874,0,-0.167308751268709,0,0.00820818912775004,0,0.210806660910208,0,0,0,0,0,0,0,0,0.0526407105015888,0,-0.0379143074851984,0,0,0,0,0.0405245681900983,0,0.0139306720917947
