,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.484855057894497,0.0899663316787325,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0816440382632741,0.0668237481239717,0,0,0,0,-0.143766206098212,0,0,0,0,0,0,0,0,0.0247258175092163,0,0,0,0,0,0,0.0485379604768032,0,0,0,0,0,0,0,0,0,0,0.100387187067723,0.182395129129208,0.039211308841161,0,0
X601318.CH.EQUITY,0,0,0.210127001976684,0.109194357665425,0,0,0,0,0,0,0,0,0,0,0.296311256463703,0.071049540363336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140467600597051,0,0,0,0,0,0,0,0.099704515110152,0,0,0,0,0,0,0,0.0238476133628049,0,0,0
X601939.CH.EQUITY,0.331715385712767,0,0,0,0,0,0,0,0,0,0,0,0,0.456197381973824,0,0,0,0,0.148644606024127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104728568544328,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0
X601288.CH.EQUITY,0.347928830477644,0,0.0170942551023372,0,0.506047313216897,0,0,0,0,0,0.0105267380266598,0,0,0,0,0.0488270723484592,0,-0.0318659081071452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000441677931358174,0,0,0,0,0,0,0,0.0857716660380388,0,0,0
X601988.CH.EQUITY,0,0,0,0.109223136842004,0,0,0,0,0,0,0,0.49998961065802,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.020823229391536,0,0.00742930069561654,0,0,0,0,0,0,0,0,0,0.104774831108301,0,0,0,0,0,0.112227933766372,0,0,0,0,0.031267003315146,0,3.46944695195361e-18,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.211627426440168,0,0,0,0,0,0,0,0.342908698335864,0,-6.93889390390723e-18,0,0.504825692246924,0.223846457552813,-0.646665829301461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.321547885275351,-0.0100122088435681
X600036.CH.EQUITY,0.0937124102848482,0.0304329697784772,0,0,0,0,0,0,0,0,0.156468297772797,0,0,0,0.0502167250764452,0,0,0,0.0729461760051275,0,0,0,0,0,0,0,0,0,0,0,0.107841038500517,0,0,0.239498652039825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213287280949164,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121513713818278,0.0260882951565655,0,0,0,0.0888955881897713,0.0843145464815656,0,0,0,0,0,0,0.0707801013950217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313056424774747,0,0,0
X601628.CH.EQUITY,0,0,0.264630786106568,0.0322125769505214,0.226387414957783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539740797576579,0,0,0.132113448008818,0,0,0,0,0,0,0,0.110452479019794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.131366533159585,0,0,-0.0319127101586015,0,0,0,0,0,0,0,0,0,0,0,0,0.0625646664966227,0,0,0,0,0,0.571828257103859,0,0,0,-0.161946083504552,1.38777878078145e-17,0.466948296865933,-0.351595495343422,0,0,0,0,0.795060402653091,0,-0.369959661742588,0,0,-0.190732703114729
