,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.204067836152542,0,0.11707702524561,0,0.0127149907106802,0,-0.0647944624400093,0,0,0,0.369186301006956,0.0829126009002521,0,0,-0.121703900919027,0,0,0,0,0,0,0,0,0,0,0,0,0.0598327482058048,0,0,0,0,0,0,0.153300550263281,0,-0.0602553415369316,0,0,0,0,0.100560121903434,0,0,0,0.0709536670675261,0,0,0,0,-0.0150155004944148
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.110960844510023,0,0,0,0.0013044402949525,-0.153343410553274,0,0.0898143716489741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220085139302881,0,0,0,0,0,-0.24187642002669,0,0.438368376167718,0.0364142667233035,0.120239732349907,0,0,0,0,0,0.177310170922124,0,0
X601939.CH.EQUITY,0.20258744125752,-0.0177035533376173,0,0.351033896246191,0,0.0569066542354243,0,-0.0700952906471907,0,0,0,0,0,0,0.129387364297875,0,0,0,0,0,-0.0249588076428738,0.0233442442235337,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419479016431515,0,0,0,0.417487377185096,0,0,0,0.0402216571324474,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.550333986416478,0,0.201331751162459,0,0,0.139878785967105,0,0,0,0,0,0,0,0,-0.160607934311184,0,0.0326313072934179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104449534206052,0,0.0228614611987324,0,0,0,0,0.0702529877184338,0,0,0,0,0,0,0,0,0.151608011322761,0,0,0.103557921073532
X5.HK.EQUITY,0,-0.0680257031779355,0.0200796760000629,0.293317157171636,0,6.93889390390723e-18,0,-0.18021553543039,0,0,0,0,0.138562594307631,0,0,0,0,0,0,0.613382762504909,0,0,0,0,0.179943626401069,0,0,-0.0424616585889364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208012051449841,0,-0.105020412175322,0,0,-0.0212779111047671
X601988.CH.EQUITY,0.223807034733049,0,0.0206154926611858,0.0707570134393592,0,0,0,0,0.0770753432669583,0,0.0426698564107911,0.182116269360007,0,-0.404625068148156,0,0,0,0,0,0,0,0,0.014930627524563,0.414519607494486,0,0,0,0.0731449436261244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308294594208099,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0104496073789952,0,0,0,0,0,0.104755519381216,-0.00306580135122734,0,0,0,0,0,0.275622807995675,0.185297303005651,0,0,0,0.0764058064366359,0,0,0,0,0,0,0,0,0,0,0,0,-0.0026457160472902,0.11844060188686,0,0,0,0,0,0,0,0,0.074001548906591,0,0,0,0,0.127049513754327,0,0,0.0191014502460545,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0371281875838595,0,0,0,0,0.208937731329727,0,0,0,-0.15863030907502,0,0,0.307741041733609,0,0.24423649513668,0,0,0.0510843218007059,0,0,0,0,0.10845150743462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103490428617105,0,0,0,0,0
X601628.CH.EQUITY,0.0774689943512144,0.365300128738139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074151858991602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520916016490715,0,0,-0.198638981391985,0,0,0,0,0,0,0.181608145750872,0,0,-0.0540107056761896,0.159845641120218,0,0,0,0,0.134093669944834
X601658.CH.Equity,0,-0.00679542343883843,0,0,-0.0140289388221817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132001971934997,0,0,0,0,0,0,0,-0.0170031923331709,0,-0.0985198365231637,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216084326084119,0,0,0,0,0
