,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.237812237921407,0,0,0.0875589227094659,0,0.239722945141587,0,0,0,0,0,0.128694520547804,0,0,0,0,0,0,0,0,0,0,0,0,0.0383104974503146,0,0,0,0,0,0.0939623310696073,0,0,0.0234650073958448,0,0,0,0,0,0,0,0,0,0.107460132390795,0,0,0,0,0
X601318.CH.EQUITY,0.168342997908793,0,0,0,0,0,0,0,0.275302529928051,0,0,0,0,0,0,0,0.250980955737593,0,0.057620669936589,0,0,0.0969851643502519,0,0,0,0,0,0.0377724857655856,0,0,-0.0870697417695352,0,0,0,0,0.0942086100419515,0,0,0,-0.0182610909664152,0,0.0535546666249268,0,0.0189545256171508,0,0,0,0.0566898156423325,0,0.0600377327496286,0,0
X601939.CH.EQUITY,0.060954315181437,0,0,0.271795667903163,0,0.0510933322204388,0,0,0,0,0,0,0,0.429009132865387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445742936359611,0,0,0.0667699895281587,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.3522872786871,0,0.0262789716695057,0,0,0.488091800119166,0,0,0,0,0,0,0,0,0.0301365980365306,0,0,0,0,0,0,-0.0290317589506081,0.0174402325897972,0,0,0,0,-0.000288241438010846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101439148192176,0,0.00345144813678989,0,0
X5.HK.EQUITY,0,0,-0.0936110757180598,0,0,0,0,0.0344206610261249,0,0,0,0,0.0026763927509195,0,0,0,0,0,0,0,0,0,0.426436163894236,0,0,0,0,0.0767872694779622,0.415041963902986,0,0.00607929757612269,0.253572506908567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04414347987183,0.188618654177135,0
X601988.CH.EQUITY,0.372376661329259,0,0.000215134229030511,0,0,0,0,0,0,0,0.0954667157303571,0,0,0,0,0,0,0,0.0245921142368249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158508350083522,0,0,0,0,0,0,0,0,0,0,0,0.302649803019969,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.220672339225371,0,0,0.26383575530326,-1.38777878078145e-17,0.0680181833226665,0,0,0,0.174481029156324,0,0,0,0,0,0,0,0,0,0,0.00913959972157238,0,0.114280521342236,0,0.07445536686821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0601620064718019,0,0,0,0.470455379825612,0,0,0,0.122787166475711,0,0.106548492103,0,-2.77555756156289e-17,0,0,0,0,0,0.26940844211714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.227187595685631,0,0,0,0,0,0,0.079841376766972,0,0,0,6.93889390390723e-18,0,-6.93889390390723e-18,0,0,0,0.0549516858783497,0,0,0.068406142658387,0,0,-1.38777878078145e-17,0,0.126455623815268,0,0,0,0,0,0,0.264700077894305,0,0,0.115744827775163,0,-0.14653536851208,0,0,0,0,0,0,0,0,0,0,0,0.135069978793312,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020570637472399,0,0,0,0,0,0,0,0,0.498255140241186,-0.619590496311325,0.305795559495815,0,0,0,0.71845679005313,-0.329157444893877,0,-0.157040407128999,0,-0.423877403818074
