,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0617847919053489,0,0.20579695519248,0.0460974049940866,0.0356914119125486,0,0,0,0,0,0,0,0,0,0,0.203704105082735,0,0,0,0,0,-0.00575463719185873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063473176672435,0.0332608542021485,0,0,0,0,0,0.110100976795569,-0.0350671531623056,0
X601318.CH.EQUITY,0,0,0.0127190702251099,0.289190563369585,0,0,0,0,0.147595814801188,0,0.0245674222134144,0,0.0126564209841486,0,0,0,0,0.038685254371949,0,0.187229234647165,0,0,0,0,0,0,0,0,0.0182375472049694,0,0.111195611265679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418468564341437,0,0,-0.119570994022261
X601939.CH.EQUITY,0,0,0,0,0.126094954528408,0,0,0,0,0,0.0955897202564145,0,0,0.101427037262058,0,0,0,0,0,0,0.00131610078610255,-0.0303322358504362,0.535924029016111,0,0,0,0.167154394061305,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.205726988689744,0,0,0,0,0.133273980249001,0.111461732655862,0,0,0,0,0.179403997092195,0.0888689104183751,0,0,0,0,0,0,0,0,0,0,0.261687051960896,-2.16840434497101e-19,0,0,1.73472347597681e-18,0.0737417531422076,0,0,0,0,0,0,0,0,0,0.0236961046376348,0,0,0,0,0,0,0,0,0,0,0,0.00106843426404117
X601288.CH.EQUITY,0,0.0933700054361871,0.282617371802853,0,0,0.104586146258909,0,0.254531330676205,0,0,0,0,0,-0.0690221278458144,0,0.0951612928077702,0,0,0,0,0,0,0,0,0,0.0453399255479893,0,0.0298001351257743,0,0,0,0,0,0,0,0,-0.0811350663763888,0,0,0,0,0,0,0,0,0,0.155708201625906,0,0.122091103858817,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.00910968861894969,0,0,0,-0.089663656401239,0,0,0,0,0,0,0,0.209710717881148,0,0,-0.122092121225464,0,0,0,0,0.0312950871147527,1.73472347597681e-18,0,0,2.77555756156289e-17,0.711761688454209,-0.0617487996258606,0,0,0,0,0,0,0.115079390112168,-0.0934486141197435,0,0,0.105270614540667,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.0122532877819597,0,0,-0.0332117215200922,0,0,0,0.19723680816512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150409973774911,0,-0.0815557439921732,0,0,0,0.0828153836761795,0,0,0,0,5.42101086242752e-20,0,0,0.125782539919518,0,0,0.132963652866351,0.28164153661544,0.0623741649337662,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0247943422054941,0.255850137246555,0.131455319372585,0,0,0,0,0,0,0,0,0,0,0,0,0.176130563062067,0,0,0,0,0.111563873148749,0,0.117007754825933,0.182718185328887,0,0,0,0,0.0994923726941835,0,0,0,0,0,0,0,0,0,0.00141959183146845,0,0,0,0,0,0,0,0,0,0,0.0523249265576608
X5.HK.EQUITY,0,0.0522975195585327,0,0,0,0.0461759848325227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123942018140178,0,0,0,0.105090968982242,0,0.121686225590514,0,0,0.0076770360578319,0,0,0,0,0,0,0,0.0447182112887718,0,0.27373161465935,0,-0.0583690780447471,0,0,0.158552915820948,0,0,0,0,0.0959281640704683,0,0,0
X601166.CH.EQUITY,0,0,0.0447679303232699,0.0234895325109576,0,0.00837390375310412,0,0,0,0,0.0274576390871386,0,0.125524457860719,0.0835907151849972,0,0,0,0,0,0,0,0,0,0,0.165126739314122,0,0,0.400648993958925,0,0,0,0,0,0,0.0344732069542276,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0
X601658.CH.Equity,0.352889094046633,0.0842419925611181,0.0175559809488962,0,0.0420869604553244,0,0,0,0,0.293445082496169,0,-0.0360980031649838,0,0.168362938945773,0,0,0,0,0,0,-0.0141149769341419,0,0,0,0,0,0,0.169469913115733,0.0556834510840428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120375052739265,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.120506050355023,0,-0.102221624251414,0.157857439237509,0,0,0,0,0,0,0,0.43920239094041,-0.116402074836805,0,0,0,0,-0.121076320626183,0.215833930367218,0,0,0,0.181095079141195,0,0,0.0279464194408945,0,0,0,0.178943312471184,0,0,0,0,0,0,-0.0216211989470344,0.00352282634435817,0,0,0,-3.46944695195361e-18,-0.16955631661553,0,0,-0.0445172028155979,0,0.158246007817567,0
