,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.263216010510528,0,0.256391523946962,0,0,0,0,0,0,0,0,0.27160988798205,0,0,0,0,0.0355327709346239,0,0,-0.144125896871551,0,0,0,0,0,-0.059025645125038,0,0,0,0,0,0,0,0,0,0,0,0,0.0669994327721829,0,0,0,0,0,0,0,0.073090188559663,0,0,0,-0.0119789911060899
X601318.CH.EQUITY,0,0,-0.0572614186420843,0,0,0.0645134046231656,0,0,0.220664382609205,0,0,0,0.132814800645743,0,0,0,0.215607029503597,0,0,0,0,0,-0.0158839849743072,0,0,0,-0.11548348665408,0,0,0,-0.148491693361093,0,0,0,0,0.222511978797307,0,0,0,0.13630878163253,0.288422631683739,0,-0.245142459636447,0.250081373926999,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.61139601322064,0,0,0,0.02441793032029,0,0,0,0,0,0.137125419360212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350053813686644,0.00594547610155986,0,0,0,0,0.043481654869441,0,0,0.258561516304047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.493043380195755,0,0,0,0,0.246597120265651,0,0,0,0,0,0,0,0,0,0,0,0.0744656776834988,0.00512744702003577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184393767578656,0,0,0,0,0,0,0,0,-0.057973685373325
X5.HK.EQUITY,0,-0.156071519000395,0.0667898143184281,0.153714104698984,0,0.0980764560608058,0,-0.0926561158037873,0,0,0,0,0.178339186630421,0,0,0,0,0,0.496842696315281,0,0.0122216740372409,0,0,0,0,0,0,0,0,0,0.307548959088526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159167894183761,-0.00935635493892,0,0.0959426456038957,0
X601988.CH.EQUITY,0.105858330223214,0.147288902251498,0.299429288592406,0,0,0,0,0,0.103954998940328,0,0,0,0,-0.0549523156126984,0,0,0,0,0.120484278657557,0,-0.0416412108524659,0,0,0,0,0,0,0,0,0,0,0,0,0.164864358245113,0.118131546287587,0,0,0,0,0,0,0,0,0.035465682350577,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.1597832235308,0,0,0.0290421741315076,0,0.135598397673854,0,0.356033478844901,0,0.0420155068270859,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0737079023515565,0,0,0.11388891289979,0,0,-0.0205514841836203,0.0741290458894098,0,0.0271292360156665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0940860731319741,0,0.179384092035875,0,0.0331216163202269,0,0,0,0,0.0581929415746931,0,0.369736756392638,0.0252172459756384,0,0.0575253340309424,0,0,0.016798831306923,0,0.162630443510065,0,0.0645723807756645,0,0,0,0.0036372526581762,0,0,0,0.0211168896216024,0,0,0,0,0.00484786126037016,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.340468173260443,0.153603253896167,0,0,0,0,0,0.113248778094794,0,0,0,0,0,0,0,0,0,0,-0.199779405466761,0,0.115886074952247,0,0,0,0,0.0289010693722536,0,0.00758670388711261,0,0,-0.0247986004358859,0,0.116553638770636,0,-0.130699552756846,0,0,0,0,0,0.0971997831347412,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,-0.0903548897667083,0,0,0,0,0,0,0,0,0,0,0,0.326014738411308,0,0,0,0.115017084001042,0,0,0,0,0,0,0,0,0.468325334508593,0,0,-0.404637237792988,0,0,0.248549105211321,0,0,0.192707321042709,0.117021907419449,-0.184391875296957,0,-0.338643640715222,0,-0.293276831329919
