,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.236252390395277,0,0,0.0871220384073906,0,0.238976858607968,0,0,0,0,1.38777878078145e-17,0.128007406794555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381482684528032,0,0,0,0.0939299608723063,0,0,0,0,0,0.0225403279842225,0,0,0,0,0,0,0,0.106425413981629,0,0,0,0,0
X601318.CH.EQUITY,0.166446872780453,0,0,0,0,0,0,0,0.282458611188976,0,0,0,0,0,0,0,0.233092443382422,0,0.0535051027117191,0,0,0,0.105190514924708,0,0,0,0,0,0.0320200629806614,0,-0.0925552913645381,0,0,0,0.102041510629589,0,0,0,0,0,0,0.0651822641449946,0.0194995786880649,0,0.0537047524139653,0,0,0,0.0430163898112266,0,0,0
X601939.CH.EQUITY,0,0,0,0.282517022400012,0,0.0747249187062087,0,0,0,0,0,0,0,0.416037485616437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558617533098272,0,0,0.0735773971944993,0,0,0.00942464770083704,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.354606398651254,0,0.026521716745343,0,0,0.487137427321231,0,0,0,0,0,0,0,0,0.0301594214670373,0,0,0,0,0,0,0.0175758520504236,-0.0286168715023993,0,0,0,0,0,-0.00027949599685064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104900057231945,0,0,0,0.00349894330179884,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0668050153018009,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.612863243536161,0,0,0,0,0,0.403619161710041,0.0847828209455566,0,0,0.155499362896279,0,0,-0.0734608794017752,0,0,0,0,0.00386003197618691,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.375628846471362,0,0.00023532837779917,0,0,0,0,0,0,0,0,0.0950399400562442,0,0,0,0,0,0,0.0251846773223935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159780107806603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297338398635819,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.280550604289106,0,0,0,0.318902781535941,0.0674562907514212,0,0,0,0.161800342018035,0,0,0,0,0,0,0,0,0,0,0,0,0.000515468048740662,0,0.125184994090754,0,0,0,-0.0576259981927073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165185066797251,0,0.00163839040955563
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378513455783453,0,0,0.0701655536708506,0.171053459914032,0.0133271095501165,0,0,0,0,0,0,0,0.273552348545629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.169291602457699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183493239810113,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.194887223083239,0,0,0,0,0.067678364312694,0,0,0.16395907764548,0,0,0,0,0,0,0,0,0,0,0.10821030685468,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.255770989079022,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0969132419896392,0,0,0,0,1.38777878078145e-17,0,0,0,-0.0901388045535892,0,0,0,0,0.525309967813738,-0.723219059885524,0,0,-0.232736321400681,0,0.869309983256747,0,-0.106062110979704,0,0,-0.339801694110542
