,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.391980805575204,0,0,0.329251327477135,0,0,0,0,0,0,0,0,0,0,0,0,-0.0579029122179627,0,0,0.073964933018567,0,0,-0.183779944940843,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.17778884251823,0,0,0,0,0.0883986794476101,0,0,0,0,-0.142810602012381,0,0,0,0,0.000607882478201868
X601318.CH.EQUITY,-0.0148177662112173,0,0,0,0,0,0,0,0,0.245578697273141,0,0.213424536890966,0,0,0,0,0.161892868972241,-0.0449333373185664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145943181316074,0.344329311658819,-0.00760439963767791,0.0460384783527975,0.129035938649587,0,0,0,-0.0149407696342594,0,0,0,0
X601939.CH.EQUITY,0.314285944142441,0,0,0,0.092875055169239,0,0,0,0,0,0,0,0,0.117548948701761,0,0,0,0,0,0,0.0514798352109744,0,0,0,0,0.262989289778864,0,0,-0.0142465397834247,0,0,0,0,0,0.135790133554055,0,0,0,0.00249096217718937,0,0,0,0,0.0573032220476979,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.27530716997406,0,0.0976017057229676,0,0.0334762245909017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.162224566860041,0,0,0,0,0,0,0,0,0,0,0,0,0.155083122473862,0,0,0,0,0.026528406301161,0,0,0.0259081021015533,0,0.291618162492185,0,0.145187753375105
X5.HK.EQUITY,0,-0.15593558796341,0,0.397437413519993,0,0,0,-0.219953668245253,0,0,0.0596271166232224,0,0,0,0,0.0358297676144203,0,0,0,0.0877168763225002,0,0,0.529823111112771,0,0,0,-0.0599066573135424,0,0,0,0,0,-0.0687517673350661,-0.157089569014532,0,0,0,0,0,0,0,0.0993535751050415,0,0,0,0,-0.0354854174701575,0,-0.155514021445659,0.0119503344350248,0
X601988.CH.EQUITY,0.0252617765268557,0,0,0.0902186509469472,0,0,0,0,0,0.210831626750059,0.14312811280743,0,0,0,0,-0.114408553118404,0,0,0,0,0,0.414739849654337,0,0,0,0,0.0597086000390575,0,0,-0.0269111337329423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1400173535929,0,0,0.00990525457692234,0.0413452281397091
X600036.CH.EQUITY,0,0.32191087793658,0,0,0,0,0,0,-0.118199209936531,0,0,6.93889390390723e-18,0,0.182856530881786,0,0,0,0,0.112105296847388,0,0,0,0.0841686551572653,0,0,0,-0.0582772584824931,0.0376772897363353,0,-0.109662385252051,0,0,0.221969777254185,0,-0.0300376795991426,0,0,0,0,0.224986026728977,0.030891634165005,0,0,0,0,0,0.102165849021649,0.079433406390015,0,0.0401869874914097,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253370619508737,0.179953365700017,0.0608227677499281,0,0.243084451054119,0.166811820079541,0,0.254111269326266,0,0,0.0306986848453099,0,0,0,0.115680386246666,0,0,0,0,0,0,0,0,0,0,-0.210248325435061,0,0,0,0,0,0,0,0,0,0,0,-0.108848267015079
X601628.CH.EQUITY,0,0,0,0.0426022292573034,0.0139032178605051,0,0,0,0,0.0114299749439763,0,0,0.0117148201830872,0,0,0,0.164010905117869,0,0,0,0.00438462973074905,0,0,0,0,0,0,0,0,0,0.00070085866310839,0,0,0,0,0,0,0,0,0.318074754278254,0,0,0,0,0,0,0,0,0,0.157538561336346,0.00873353654005733
X601166.CH.EQUITY,0,0,0.038997527054034,0,0.0332911827525439,0.299949691399868,0.0104870972955833,0,0.158846471326857,0,0,0,0,0,0,0,0.213382508424587,0,0,0,0,0,0,0,0,0,0.0752077236871085,0,0,0,0,0,0.204900871378567,0,0.15815844585467,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178907436259748,0,0.160845991919349
X601328.CH.EQUITY,0.0864582783805488,0,0.0416289296142757,0,0.0939555804650615,0.399538663354993,0,0,0,0,0,0.160005080586117,0.125334209510757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195467692854707,0.0302941240444758,0,0.046799218618055,0,0,0.110000809197675,0,0,0
X600000.CH.EQUITY,0,0.180778017593711,0,0,0,0.0866893170369829,0.22844764284989,-0.0231176892124303,-0.0108590970513265,0,0.123597237455719,0,0,0.0385590843372716,0,-0.0732490703678571,0,0,-0.0144004787610361,0.0349509909713485,0,0.264116660661612,0,0,0,0,0,0,0,0,0,0,0.0293444108227741,0.12343326290172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114451047932445,0,0
